2025-06-08 10:38:42.24 | Robert M. Vigneault | APP_v6.C.94.xlsb | modMenu:SauvegarderEtSortirApplication |  | 
2025-06-08 10:38:43.47 | Robert M. Vigneault | APP_v6.C.94.xlsb | ----- Session terminée NORMALEMENT (modMenu:SauvegarderEtSortirApplication) ----- |  | 

2025-06-08 16:14:13.40 | Robert M. Vigneault | APP_v6.C.94.xlsb | ----- DÉBUT D'UNE NOUVELLE SESSION (modAppli:DemarrageApplication) ----- |  | 
2025-06-08 16:14:13.92 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli:CreateUserActiveFile |  | 
2025-06-08 16:14:13.93 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli:CreateUserActiveFile |  | 0,0078 secondes

2025-06-08 16:14:13.93 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli:SetupUserDateFormat |  | 
2025-06-08 16:14:13.94 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli:SetupUserDateFormat |  | 0,0039 secondes

2025-06-08 16:14:13.94 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli:BackupMasterFile |  | 
2025-06-08 16:14:14.55 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli:BackupMasterFile |  | 0,6094 secondes

2025-06-08 16:14:14.55 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli:EcrireInformationsConfigAuMenu |  | 
2025-06-08 16:14:14.56 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli:EcrireInformationsConfigAuMenu |  | 0,0078 secondes

2025-06-08 16:14:14.57 | Robert M. Vigneault | APP_v6.C.94.xlsb | modMenu:HideDevShapesBasedOnUsername |  | 
2025-06-08 16:14:14.59 | Robert M. Vigneault | APP_v6.C.94.xlsb | modMenu:HideDevShapesBasedOnUsername |  | 0,0195 secondes

2025-06-08 16:14:17.54 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli:DemarrageApplication |  | 4,1445 secondes

2025-06-08 16:15:45.01 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierIntegriteTablesLocales |  | 
2025-06-08 16:15:45.20 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierPlanComptable |  | 
2025-06-08 16:15:45.24 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierPlanComptable |  | 0,0352 secondes

2025-06-08 16:15:45.25 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierClients |  | 
2025-06-08 16:15:45.27 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterClients |  | 
2025-06-08 16:15:45.75 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterClients |  | 0,4844 secondes

2025-06-08 16:15:46.46 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierClients |  | 1,2031 secondes

2025-06-08 16:15:46.47 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierFournisseurs |  | 
2025-06-08 16:15:46.47 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterFournisseurs |  | 
2025-06-08 16:15:46.55 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterFournisseurs |  | 0,0781 secondes

2025-06-08 16:15:46.58 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierFournisseurs |  | 0,1094 secondes

2025-06-08 16:15:46.60 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierDEBRecurrent |  | 
2025-06-08 16:15:46.61 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterDebRecurrent |  | 
2025-06-08 16:15:46.61 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:DEB_Récurrent |  | 
2025-06-08 16:15:46.70 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:DEB_Récurrent |  | 0,0938 secondes

2025-06-08 16:15:46.72 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterDebRecurrent |  | 0,1094 secondes

2025-06-08 16:15:46.73 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierDEBRecurrent |  | 0,1367 secondes

2025-06-08 16:15:46.73 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierDEBTrans |  | 
2025-06-08 16:15:46.75 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterDebTrans |  | 
2025-06-08 16:15:46.75 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:DEB_Trans |  | 
2025-06-08 16:15:46.94 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:DEB_Trans |  | 0,1914 secondes

2025-06-08 16:15:46.94 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterDebTrans |  | 0,1914 secondes

2025-06-08 16:15:47.08 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierDEBTrans |  | 0,3438 secondes

2025-06-08 16:15:47.10 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierFACEntete |  | 
2025-06-08 16:15:47.10 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterFacEntete |  | 
