2025-02-21 17:31:45.14 | Robert M. Vigneault | APP_v6.A.2.xlsb | ADD    4271 | GC | 21/02/2025 | 193r | 9299-2585 Québec Inc. [Informat] [Robert M. Vigneault] | Test | 10,00 | VRAI | 
2025-02-21 17:32:28.02 | Robert M. Vigneault | APP_v6.A.2.xlsb | DELETE-4271 | GC | 21/02/2025 | 193r | 9299-2585 Québec Inc. [Informat] [Robert M. Vigneault] | Test | 10,00 | VRAI | 
2025-03-04 07:15:55.26 | Robert M. Vigneault | APP_v6.B.0.xlsb | UPDATE 4568 | GC | 03/03/2025 | 193r | 9299-2585 Québec Inc. [Informat] [Robert M. Vigneault] | tel avec Lora sur écritures comptables + revoir écriture comptable de rachat avec chiffres à jour | 1,00 | VRAI | 
2025-03-04 07:16:43.50 | Robert M. Vigneault | APP_v6.B.0.xlsb | UPDATE 4568 | GC | 03/03/2025 | 1669 | Ventilabec Inc. [Lora Stoycheva] | tel avec Lora sur écritures comptables + revoir écriture comptable de rachat avec chiffres à jour | 1,00 | VRAI | 
2025-03-04 07:18:24.17 | Robert M. Vigneault | APP_v6.B.0.xlsb | UPDATE 4568 | GC | 03/03/2025 | 193r | 9299-2585 Québec Inc. [Informat] [Robert M. Vigneault] | tel avec Lora sur écritures comptables + revoir écriture comptable de rachat avec chiffres à jour | 1,00 | VRAI | 
2025-03-04 07:18:46.66 | Robert M. Vigneault | APP_v6.B.0.xlsb | UPDATE 4568 | GC | 03/03/2025 | 1669 | Ventilabec Inc. [Lora Stoycheva] | tel avec Lora sur écritures comptables + revoir écriture comptable de rachat avec chiffres à jour | 1,00 | VRAI | 
2025-03-04 07:19:10.18 | Robert M. Vigneault | APP_v6.B.0.xlsb | UPDATE 4568 | GC | 03/03/2025 | 193r | 9299-2585 Québec Inc. [Informat] [Robert M. Vigneault] | tel avec Lora sur écritures comptables + revoir écriture comptable de rachat avec chiffres à jour | 1,00 | VRAI | 
2025-03-04 07:19:38.72 | Robert M. Vigneault | APP_v6.B.0.xlsb | UPDATE 4568 | GC | 03/03/2025 | 1669 | Ventilabec Inc. [Lora Stoycheva] | tel avec Lora sur écritures comptables + revoir écriture comptable de rachat avec chiffres à jour | 1,00 | VRAI | 
2025-03-04 07:20:11.51 | Robert M. Vigneault | APP_v6.B.0.xlsb | UPDATE 4568 | GC | 03/03/2025 | 193r | 9299-2585 Québec Inc. [Informat] [Robert M. Vigneault] | tel avec Lora sur écritures comptables + revoir écriture comptable de rachat avec chiffres à jour | 1,00 | VRAI | 
2025-03-04 07:25:40.15 | Robert M. Vigneault | APP_v6.B.0.xlsb | UPDATE 4568 | GC | 03/03/2025 | 1669 | Ventilabec Inc. [Lora Stoycheva] | tel avec Lora sur écritures comptables + revoir écriture comptable de rachat avec chiffres à jour | 1,00 | VRAI | 
2025-03-04 07:27:32.74 | Robert M. Vigneault | APP_v6.B.0.xlsb | UPDATE 4568 | GC | 03/03/2025 | 193r | 9299-2585 Québec Inc. [Informat] [Robert M. Vigneault] | tel avec Lora sur écritures comptables + revoir écriture comptable de rachat avec chiffres à jour | 1,00 | VRAI | 
