2024-11-09 08:02:38.77 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:UserForm_Activate |  | 31
2024-11-09 08:02:38.77 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modImport:Client_List_Import_All |  | 31
2024-11-09 08:02:38.91 | Robert_M._Vigneault | APP_v5.E.0.xlsb |      modImport:Client_List_Import_All - Le .CopyFromRecordSet est complétée |  | 31
2024-11-09 08:02:38.98 | Robert_M._Vigneault | APP_v5.E.0.xlsb |      modImport:Client_List_Import_All - La mise en forme a été appliquée |  | 31
2024-11-09 08:02:39.07 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modImport:Client_List_Import_All | 0,2988 sec. | 31

2024-11-09 08:02:39.07 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modImport:TEC_Import_All |  | 31
2024-11-09 08:02:39.25 | Robert_M._Vigneault | APP_v5.E.0.xlsb |      modImport:TEC_Import_All - Le .CopyFromRecordSet est complétée |  | 31
2024-11-09 08:02:39.42 | Robert_M._Vigneault | APP_v5.E.0.xlsb |      modImport:TEC_Import_All - La mise en forme a été appliquée |  | 31
2024-11-09 08:02:39.50 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modImport:TEC_Import_All | 0,4277 sec. | 31

2024-11-09 08:02:39.50 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:UserForm_Activate | 0,7383 sec. | 31

2024-11-09 08:02:40.99 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 31
2024-11-09 08:02:40.99 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate | 0,0059 sec. | 31

2024-11-09 08:02:41.49 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 31
2024-11-09 08:02:41.50 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modFunctions:Fn_Complete_Date @00608   y = 2024   m = 11   d = 9 parsedDate='09/11/2024' |  | 31
2024-11-09 08:02:41.50 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtDate_BeforeUpdate | 0,0059 sec. | 31

2024-11-09 08:02:41.50 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtDate_AfterUpdate[2024-11-09] |  | 31
2024-11-09 08:02:41.51 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 1/2024-11-09 |  | 31
2024-11-09 08:02:41.59 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 0,0859 sec. | 31

2024-11-09 08:02:41.60 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/2024-11-09 |  | 31
2024-11-09 08:02:41.60 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_TdB_Update_All |  | 31
2024-11-09 08:02:41.60 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 31
2024-11-09 08:02:41.93 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local | 0,3281 sec. | 31

2024-11-09 08:02:41.93 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 31
2024-11-09 08:02:42.10 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables | 0,1699 sec. | 31

2024-11-09 08:02:42.10 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_TdB_Update_All | 0,5020 sec. | 31

2024-11-09 08:02:42.10 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modStatsHeures:StatsHeures_AdvancedFilters |  | 31
2024-11-09 08:02:42.25 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modStatsHeures:StatsHeures_AdvancedFilters | 0,1484 sec. | 31

2024-11-09 08:02:54.29 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modAppli:UpdatePivotTables |  | 31
2024-11-09 08:03:02.21 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modAppli:UpdatePivotTables | 8,7422 sec. | 31

2024-11-09 08:03:26.30 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/2024-11-09 | 44,7051 sec. | 31

2024-11-09 08:03:52.55 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtDate_AfterUpdate | 71,0449 sec. | 31

2024-11-09 08:04:46.10 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtClient_AfterUpdate[9299-2585 Québec Inc. [anciennement Informat] [Robert M. Vigneault]] |  | 31
2024-11-09 08:04:46.10 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modFunctions:Fn_GetID_From_Client_Name - 9299-2585 Québec Inc. [anciennement Informat] [Robert M. Vigneault] |  | 31
2024-11-09 08:04:46.10 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modFunctions:Fn_GetID_From_Client_Name - 193r | 0,0000 sec. | 31

2024-11-09 08:04:46.11 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtClient_AfterUpdate | 0,0098 sec. | 31

2024-11-09 08:04:50.42 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtActivite_AfterUpdate[Test 123456789] |  | 31
2024-11-09 08:04:50.44 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtActivite_AfterUpdate | 0,0176 sec. | 31

2024-11-09 08:04:52.75 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[.1] |  | 31
2024-11-09 08:04:52.75 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | 0,0078 sec. | 31

2024-11-09 08:04:52.76 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtHeures_Exit[0,10] |  | 31
2024-11-09 08:04:52.76 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtHeures_Exit | 0,0000 sec. | 31

2024-11-09 08:04:54.86 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:cmdAdd_Click |  | 31
2024-11-09 08:04:54.86 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne |  | 31
2024-11-09 08:04:54.86 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB(0) |  | 31
2024-11-09 08:04:55.21 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - 0 | 0,3457 sec. | 31

2024-11-09 08:04:55.21 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally(0) |  | 31
2024-11-09 08:04:55.24 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally - 0 | 0,0352 sec. | 31

2024-11-09 08:04:55.26 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 1/2024-11-09 |  | 31
2024-11-09 08:04:55.31 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 0,0488 sec. | 31

