2024-09-30 05:37:42 | GuillaumeCharron | @0137 | ufSaisieHeures | cmbProfessionnel_AfterUpdate | wshAdmin.Range("TEC_Date").value = '' | type = Empty
2024-09-30 05:37:43 | GuillaumeCharron | @0171 | ufSaisieHeures | txtDate_BeforeUpdate | ufSaisieHeures.txtDate.value = '30/09/24' | type = String
2024-09-30 05:37:43 | GuillaumeCharron | @0173 | ufSaisieHeures | txtDate_BeforeUpdate | fullDate = '30/09/24' | type = Date
2024-09-30 05:37:43 | GuillaumeCharron | @0189 | ufSaisieHeures | txtDate_BeforeUpdate | fullDate = '30/09/24' | type = Date
2024-09-30 05:37:43 | GuillaumeCharron | @0190 | ufSaisieHeures | txtDate_BeforeUpdate | DateSerial = '30/09/24' | Vrai
2024-09-30 05:37:43 | GuillaumeCharron | @0214 | ufSaisieHeures | txtDate_AfterUpdate | ufSaisieHeures.txtDate.value = '30/09/24' | type = String
2024-09-30 05:37:43 | GuillaumeCharron | @0222 | ufSaisieHeures | txtDate_AfterUpdate | dateStr = '30/09/24' | type = String
2024-09-30 05:37:43 | GuillaumeCharron | @0224 | ufSaisieHeures | txtDate_AfterUpdate | dateFormated = '30/09/24' | type = Date
2024-09-30 05:37:43 | GuillaumeCharron | @0226 | ufSaisieHeures | txtDate_AfterUpdate | wshAdmin.Range("TEC_Date").value = '30/09/24' | type = Date
2024-09-30 05:37:43 | GuillaumeCharron | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '30/09/24' | type = Date
2024-09-30 05:37:43 | GuillaumeCharron | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '30/09/24' | type = Date
2024-09-30 08:37:01 | GuillaumeCharron | @0029 | modTEC_Saisie | TEC_Ajoute_Ligne | ufSaisieHeures.txtDate.value = '30/09/24' | type = String
2024-09-30 08:37:01 | GuillaumeCharron | @0033 | modTEC_Saisie | TEC_Ajoute_Ligne | ***** - y = 2024, m = 9, d = 30 | type = String
2024-09-30 08:37:01 | GuillaumeCharron | @0042 | modTEC_Saisie | TEC_Ajoute_Ligne | ufSaisieHeures.txtDate.value = '30/09/24' | type = String
2024-09-30 08:37:01 | GuillaumeCharron | @0319 | modTEC_Saisie | TEC_Record_Add_Or_Update_To_DB | dateValue = '30/09/24' | type = Date
2024-09-30 08:37:01 | GuillaumeCharron | @0513 | modTEC_Saisie | TEC_Record_Add_Or_Update_Locally | dateValue = '30/09/24' | type = Date
2024-09-30 08:37:01 | GuillaumeCharron | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '30/09/24' | type = Date
2024-09-30 08:37:01 | GuillaumeCharron | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '30/09/24' | type = Date
