2024-10-01 07:51:08 | vgervais | @0137 | ufSaisieHeures | cmbProfessionnel_AfterUpdate | wshAdmin.Range("TEC_Date").value = '' | type = Empty
2024-10-01 07:51:09 | vgervais | @0171 | ufSaisieHeures | txtDate_BeforeUpdate | ufSaisieHeures.txtDate.value = '2024-10-01' | type = String
2024-10-01 07:51:09 | vgervais | @0173 | ufSaisieHeures | txtDate_BeforeUpdate | fullDate = '2024-10-01' | type = Date
2024-10-01 07:51:09 | vgervais | @0189 | ufSaisieHeures | txtDate_BeforeUpdate | fullDate = '2024-10-01' | type = Date
2024-10-01 07:51:09 | vgervais | @0190 | ufSaisieHeures | txtDate_BeforeUpdate | DateSerial = '2024-10-01' | Vrai
2024-10-01 07:51:09 | vgervais | @0214 | ufSaisieHeures | txtDate_AfterUpdate | ufSaisieHeures.txtDate.value = '2024-10-01' | type = String
2024-10-01 07:51:09 | vgervais | @0222 | ufSaisieHeures | txtDate_AfterUpdate | dateStr = '2024-10-01' | type = String
2024-10-01 07:51:09 | vgervais | @0224 | ufSaisieHeures | txtDate_AfterUpdate | dateFormated = '2024-10-01' | type = Date
2024-10-01 07:51:09 | vgervais | @0226 | ufSaisieHeures | txtDate_AfterUpdate | wshAdmin.Range("TEC_Date").value = '2024-10-01' | type = Date
2024-10-01 07:51:09 | vgervais | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '2024-10-01' | type = Date
2024-10-01 07:51:09 | vgervais | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '2024-10-01' | type = Date
2024-10-01 07:55:30 | vgervais | @0029 | modTEC_Saisie | TEC_Ajoute_Ligne | ufSaisieHeures.txtDate.value = '2024-10-01' | type = String
2024-10-01 07:55:30 | vgervais | @0033 | modTEC_Saisie | TEC_Ajoute_Ligne | ***** - y = 2024, m = 10, d = 1 | type = String
2024-10-01 07:55:30 | vgervais | @0042 | modTEC_Saisie | TEC_Ajoute_Ligne | ufSaisieHeures.txtDate.value = '2024-10-01' | type = String
2024-10-01 07:55:30 | vgervais | @0319 | modTEC_Saisie | TEC_Record_Add_Or_Update_To_DB | dateValue = '2024-10-01' | type = Date
2024-10-01 07:55:31 | vgervais | @0513 | modTEC_Saisie | TEC_Record_Add_Or_Update_Locally | dateValue = '2024-10-01' | type = Date
2024-10-01 07:55:31 | vgervais | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '2024-10-01' | type = Date
2024-10-01 07:55:31 | vgervais | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '2024-10-01' | type = Date
2024-10-01 08:36:41 | User | @0137 | ufSaisieHeures | cmbProfessionnel_AfterUpdate | wshAdmin.Range("TEC_Date").value = '' | type = Empty
2024-10-01 08:36:47 | User | @0171 | ufSaisieHeures | txtDate_BeforeUpdate | ufSaisieHeures.txtDate.value = '2024-09-30' | type = String
2024-10-01 08:36:47 | User | @0173 | ufSaisieHeures | txtDate_BeforeUpdate | fullDate = '2024-09-30' | type = Date
2024-10-01 08:36:47 | User | @0189 | ufSaisieHeures | txtDate_BeforeUpdate | fullDate = '2024-09-30' | type = Date
2024-10-01 08:36:47 | User | @0190 | ufSaisieHeures | txtDate_BeforeUpdate | DateSerial = '2024-10-01' | Vrai
2024-10-01 08:36:47 | User | @0214 | ufSaisieHeures | txtDate_AfterUpdate | ufSaisieHeures.txtDate.value = '2024-09-30' | type = String
2024-10-01 08:36:47 | User | @0222 | ufSaisieHeures | txtDate_AfterUpdate | dateStr = '2024-09-30' | type = String
2024-10-01 08:36:47 | User | @0224 | ufSaisieHeures | txtDate_AfterUpdate | dateFormated = '2024-09-30' | type = Date
2024-10-01 08:36:47 | User | @0226 | ufSaisieHeures | txtDate_AfterUpdate | wshAdmin.Range("TEC_Date").value = '2024-09-30' | type = Date
2024-10-01 08:36:47 | User | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '2024-09-30' | type = Date
2024-10-01 08:36:47 | User | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '2024-09-30' | type = Date
2024-10-01 08:37:10 | User | @0029 | modTEC_Saisie | TEC_Ajoute_Ligne | ufSaisieHeures.txtDate.value = '2024-09-30' | type = String
2024-10-01 08:37:10 | User | @0033 | modTEC_Saisie | TEC_Ajoute_Ligne | ***** - y = 2024, m = 9, d = 30 | type = String
2024-10-01 08:37:10 | User | @0042 | modTEC_Saisie | TEC_Ajoute_Ligne | ufSaisieHeures.txtDate.value = '2024-09-30' | type = String
2024-10-01 08:37:10 | User | @0319 | modTEC_Saisie | TEC_Record_Add_Or_Update_To_DB | dateValue = '2024-09-30' | type = Date
2024-10-01 08:37:11 | User | @0513 | modTEC_Saisie | TEC_Record_Add_Or_Update_Locally | dateValue = '2024-09-30' | type = Date
2024-10-01 08:37:11 | User | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '2024-09-30' | type = Date
2024-10-01 08:37:11 | User | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '2024-09-30' | type = Date
2024-10-01 08:37:38 | User | @0029 | modTEC_Saisie | TEC_Ajoute_Ligne | ufSaisieHeures.txtDate.value = '2024-09-30' | type = String
2024-10-01 08:37:38 | User | @0033 | modTEC_Saisie | TEC_Ajoute_Ligne | ***** - y = 2024, m = 9, d = 30 | type = String
2024-10-01 08:37:38 | User | @0042 | modTEC_Saisie | TEC_Ajoute_Ligne | ufSaisieHeures.txtDate.value = '2024-09-30' | type = String
2024-10-01 08:37:38 | User | @0319 | modTEC_Saisie | TEC_Record_Add_Or_Update_To_DB | dateValue = '2024-09-30' | type = Date
2024-10-01 08:37:39 | User | @0513 | modTEC_Saisie | TEC_Record_Add_Or_Update_Locally | dateValue = '2024-09-30' | type = Date
2024-10-01 08:37:39 | User | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '2024-09-30' | type = Date
2024-10-01 08:37:39 | User | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '2024-09-30' | type = Date
