2024-10-05 06:14:56.5900 | Guillaume | @0137 | ufSaisieHeures | cmbProfessionnel_AfterUpdate | wshAdmin.Range("TEC_Date").value = '' | type = Empty | 31
2024-10-05 06:14:57.5700 | Guillaume | @0171 | ufSaisieHeures | txtDate_BeforeUpdate | ufSaisieHeures.txtDate.value = '05/10/24' | type = String | 31
2024-10-05 06:14:57.7800 | Guillaume | @0173 | ufSaisieHeures | txtDate_BeforeUpdate | fullDate = '05/10/24' | type = Date | 31
2024-10-05 06:14:57.8600 | Guillaume | @0189 | ufSaisieHeures | txtDate_BeforeUpdate | fullDate = '05/10/24' | type = Date | 31
2024-10-05 06:14:57.9300 | Guillaume | @0190 | ufSaisieHeures | txtDate_BeforeUpdate | DateSerial = '05/10/24' | Vrai | 31
2024-10-05 06:14:58.1700 | Guillaume | @0214 | ufSaisieHeures | txtDate_AfterUpdate | ufSaisieHeures.txtDate.value = '05/10/24' | type = String | 31
2024-10-05 06:14:58.2400 | Guillaume | @0222 | ufSaisieHeures | txtDate_AfterUpdate | dateStr = '05/10/24' | type = String | 31
2024-10-05 06:14:58.3200 | Guillaume | @0224 | ufSaisieHeures | txtDate_AfterUpdate | dateFormated = '05/10/24' | type = Date | 31
2024-10-05 06:14:58.4100 | Guillaume | @0226 | ufSaisieHeures | txtDate_AfterUpdate | wshAdmin.Range("TEC_Date").value = '05/10/24' | type = Date | 31
2024-10-05 06:14:58.5700 | Guillaume | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '05/10/24' | type = Date | 31
2024-10-05 06:14:58.6600 | Guillaume | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '05/10/24' | type = Date | 31
2024-10-05 06:15:04.5800 | Guillaume | @0171 | ufSaisieHeures | txtDate_BeforeUpdate | ufSaisieHeures.txtDate.value = '10/09' | type = String | 31
2024-10-05 06:15:04.7300 | Guillaume | @0173 | ufSaisieHeures | txtDate_BeforeUpdate | fullDate = '10/09/24' | type = Date | 31
2024-10-05 06:15:04.8100 | Guillaume | @0189 | ufSaisieHeures | txtDate_BeforeUpdate | fullDate = '10/09/24' | type = Date | 31
2024-10-05 06:15:04.8800 | Guillaume | @0190 | ufSaisieHeures | txtDate_BeforeUpdate | DateSerial = '05/10/24' | Vrai | 31
2024-10-05 06:15:05.1100 | Guillaume | @0214 | ufSaisieHeures | txtDate_AfterUpdate | ufSaisieHeures.txtDate.value = '10/09/2024' | type = String | 31
2024-10-05 06:15:05.1900 | Guillaume | @0222 | ufSaisieHeures | txtDate_AfterUpdate | dateStr = '10/09/2024' | type = String | 31
2024-10-05 06:15:05.2700 | Guillaume | @0224 | ufSaisieHeures | txtDate_AfterUpdate | dateFormated = '10/09/24' | type = Date | 31
2024-10-05 06:15:05.3500 | Guillaume | @0226 | ufSaisieHeures | txtDate_AfterUpdate | wshAdmin.Range("TEC_Date").value = '10/09/24' | type = Date | 31
2024-10-05 06:15:05.5200 | Guillaume | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '10/09/24' | type = Date | 31
2024-10-05 06:15:05.6000 | Guillaume | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '10/09/24' | type = Date | 31
2024-10-05 06:15:30.2400 | Guillaume | @0171 | ufSaisieHeures | txtDate_BeforeUpdate | ufSaisieHeures.txtDate.value = '09/10' | type = String | 31
2024-10-05 06:15:30.3900 | Guillaume | @0173 | ufSaisieHeures | txtDate_BeforeUpdate | fullDate = '09/10/24' | type = Date | 31
2024-10-05 06:15:30.4700 | Guillaume | @0189 | ufSaisieHeures | txtDate_BeforeUpdate | fullDate = '09/10/24' | type = Date | 31
2024-10-05 06:15:30.5400 | Guillaume | @0190 | ufSaisieHeures | txtDate_BeforeUpdate | DateSerial = '05/10/24' | Vrai | 31
2024-10-05 06:15:32.5900 | Guillaume | @0214 | ufSaisieHeures | txtDate_AfterUpdate | ufSaisieHeures.txtDate.value = '09/10/2024' | type = String | 31
2024-10-05 06:15:32.6700 | Guillaume | @0222 | ufSaisieHeures | txtDate_AfterUpdate | dateStr = '09/10/2024' | type = String | 31
2024-10-05 06:15:32.7400 | Guillaume | @0224 | ufSaisieHeures | txtDate_AfterUpdate | dateFormated = '09/10/24' | type = Date | 31
