
2024-10-07 06:58:20.600 | User | entering  | E n t e r i n g   ufSaisieHeures:UserForm_Initialize @00091 | 31

2024-10-07 06:58:20.690 | User | entering  | E n t e r i n g   ufSaisieHeures:UserForm_Activate @00014 | 31

2024-10-07 06:58:22.230 | User | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-07 06:58:22.270 | User | info      | @00835 - Paramètres : add = Faux  update = Faux  delete = Faux  clear = Faux | 31

2024-10-07 07:00:01.030 | User | entering  | E n t e r i n g   ufSaisieHeures:cmbProfessionnel_AfterUpdate @00136 | 31

2024-10-07 07:00:01.170 | User | entering  | E n t e r i n g   ufSaisieHeures:txtDate_Enter @00172 | 31
2024-10-07 07:00:01.250 | User | info      | @00178 - .txtDate.value = 07-10-2024   y = 2024   m = 7   d = 10 | 31

2024-10-07 07:00:09.040 | User | entering  | E n t e r i n g   ufSaisieHeures:txtDate_BeforeUpdate @00187 | 31
2024-10-07 07:00:09.130 | User | info      | @00193 - .txtDate.value = 05-10-2024   y = 2024   m = 5   d = 10   type = String | 31
2024-10-07 07:00:09.220 | User | info      | @00199 - fullDate = 2024-05-10   y = 2024   m = 5   d = 10   type = Date | 31
2024-10-07 07:00:09.280 | User | info      | @00223 - fullDate = 2024-05-10   y = 2024   m = 5   d = 10   type = Date | 31
2024-10-07 07:00:09.330 | User | info      | @00228 - DateSerial = 2024-10-07   y = 2024   m = 10   d = 7   type = Date | 31

2024-10-07 07:00:09.410 | User | entering  | E n t e r i n g   ufSaisieHeures:txtDate_AfterUpdate @00265 | 31
2024-10-07 07:00:09.500 | User | event     | @00269 - .txtDate.value =  = 10/05/2024   y = 2024   m = 10   d = 5   type = String | 31
2024-10-07 07:00:09.540 | User | info      | @00277 - dateStr =  = 10/05/2024   y = 2024   m = 10   d = 5   type = String   après assignation | 31
2024-10-07 07:00:09.580 | User | info      | @00284 - dateFormated =  = 2024-10-05   y = 2024   m = 10   d = 5   type = Date   après assignation | 31
2024-10-07 07:00:09.620 | User | info      | @00291 - wshAdmin.Range('TEC_Date').value =  = 2024-10-05   y = 2024   m = 10   d = 5   type = Date   après assignation | 31

2024-10-07 07:00:09.660 | User | entering  | E n t e r i n g   modTEC_Saisie:TEC_Get_All_TEC_AF @00190 | 31
2024-10-07 07:00:09.750 | User | info      | @00203 - wshAdmin.Range('TEC_Date').value = 2024-10-05   type = Date | 31
2024-10-07 07:00:09.800 | User | info      | @00206 - wshTEC_Local.Range('S3').value = 2024-10-05   type = Date après assignation | 31

2024-10-07 07:00:09.950 | User | entering  | E n t e r i n g   modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours @00621 | 31

2024-10-07 07:00:10.080 | User | entering  | E n t e r i n g   ufSaisieHeures:txtClient_Enter @00323 | 31

2024-10-07 07:00:14.230 | User | entering  | E n t e r i n g   ufSaisieHeures:txtClient_AfterUpdate @00333 | 31

2024-10-07 07:00:14.320 | User | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-07 07:00:14.360 | User | info      | @00835 - Paramètres : add = Vrai  update = Faux  delete = Faux  clear = Faux | 31

2024-10-07 07:00:22.750 | User | entering  | E n t e r i n g   ufSaisieHeures:txtActivite_AfterUpdate @00351 | 31

2024-10-07 07:00:22.850 | User | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-07 07:00:22.890 | User | info      | @00835 - Paramètres : add = Vrai  update = Faux  delete = Faux  clear = Faux | 31

2024-10-07 07:00:36.470 | User | entering  | E n t e r i n g   ufSaisieHeures:txtHeures_AfterUpdate @00369 | 31

2024-10-07 07:00:36.650 | User | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-07 07:00:36.700 | User | info      | @00835 - Paramètres : add = Vrai  update = Faux  delete = Faux  clear = Vrai | 31

2024-10-07 07:00:37.920 | User | entering  | E n t e r i n g   ufSaisieHeures:chbFacturable_AfterUpdate @00424 | 31

2024-10-07 07:00:38.010 | User | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-07 07:00:38.070 | User | info      | @00835 - Paramètres : add = Vrai  update = Faux  delete = Faux  clear = Vrai | 31

2024-10-07 07:00:44.070 | User | entering  | E n t e r i n g   ufSaisieHeures:cmdAdd_Click @00479 | 31

2024-10-07 07:00:44.150 | User | entering  | E n t e r i n g   modTEC_Saisie:TEC_Ajoute_Ligne @00018 | 31
2024-10-07 07:00:44.280 | User | info      | @00031 - avant = 10/05/2024   type = String   après assignation | 31
2024-10-07 07:00:44.320 | User | info      | @00036 - ufSaisieHeures.txtDate.value --->   y = 2024   m = 10   d = 5   type = String | 31
2024-10-07 07:00:44.360 | User | info      | @00048 - ufSaisieHeures.txtDate.value = 2024-10-05   type = String   après assignation | 31
2024-10-07 07:00:44.400 | User | adjust    | @00051 - La date a été changée pour corriger la date - 10/05/2024 ---> 2024-10-05 | 31

2024-10-07 07:00:44.450 | User | entering  | E n t e r i n g   modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB @00309 | 31
2024-10-07 07:00:45.110 | User | ADD++++++ | 1536 | ML | 2024-10-05 | 5 | z_Administratif_Autres non chargeables | Travail sur Outlook - fichiers clients | 2,00 | FAUX |  | 2024-10-07 07:00:45 | 31

2024-10-07 07:00:45.410 | User | entering  | E n t e r i n g   modTEC_Saisie:TEC_Record_Add_Or_Update_Locally @00536 | 31
2024-10-07 07:00:45.510 | User | info      | @00550 - dateValue = 2024-10-05   type = Date   après assignation | 31

2024-10-07 07:00:45.670 | User | entering  | E n t e r i n g   modTEC_Saisie:TEC_Get_All_TEC_AF @00190 | 31
2024-10-07 07:00:45.770 | User | info      | @00203 - wshAdmin.Range('TEC_Date').value = 2024-10-05   type = Date | 31
2024-10-07 07:00:45.820 | User | info      | @00206 - wshTEC_Local.Range('S3').value = 2024-10-05   type = Date après assignation | 31

2024-10-07 07:00:45.960 | User | entering  | E n t e r i n g   modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours @00621 | 31

2024-10-07 07:00:46.180 | User | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-07 07:00:46.220 | User | info      | @00835 - Paramètres : add = Faux  update = Faux  delete = Faux  clear = Faux | 31

2024-10-07 07:00:46.270 | User | entering  | E n t e r i n g   ufSaisieHeures:txtClient_Enter @00323 | 31

2024-10-07 07:00:46.350 | User | entering  | E n t e r i n g   modTEC_Saisie:TEC_TdB_Update_All @00726 | 31

2024-10-07 07:00:46.440 | User | entering  | E n t e r i n g   modTEC_Saisie:TEC_TdB_Push_TEC_Local_To_DB_Data @00686 | 31

2024-10-07 07:00:46.760 | User | entering  | E n t e r i n g   modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables @00739 | 31

2024-10-07 07:00:47.060 | User | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-07 07:00:47.100 | User | info      | @00835 - Paramètres : add = Faux  update = Faux  delete = Faux  clear = Faux | 31

2024-10-07 07:00:54.080 | User | entering  | E n t e r i n g   ufSaisieHeures:txtClient_AfterUpdate @00333 | 31

2024-10-07 07:00:54.170 | User | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-07 07:00:54.210 | User | info      | @00835 - Paramètres : add = Vrai  update = Faux  delete = Faux  clear = Faux | 31

2024-10-07 07:01:01.340 | User | entering  | E n t e r i n g   ufSaisieHeures:txtActivite_AfterUpdate @00351 | 31

2024-10-07 07:01:01.450 | User | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-07 07:01:01.500 | User | info      | @00835 - Paramètres : add = Vrai  update = Faux  delete = Faux  clear = Faux | 31

2024-10-07 07:01:05.560 | User | entering  | E n t e r i n g   ufSaisieHeures:txtHeures_AfterUpdate @00369 | 31

2024-10-07 07:01:05.740 | User | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-07 07:01:05.780 | User | info      | @00835 - Paramètres : add = Vrai  update = Faux  delete = Faux  clear = Vrai | 31

2024-10-07 07:01:09.860 | User | entering  | E n t e r i n g   ufSaisieHeures:cmdAdd_Click @00479 | 31

2024-10-07 07:01:09.980 | User | entering  | E n t e r i n g   modTEC_Saisie:TEC_Ajoute_Ligne @00018 | 31
2024-10-07 07:01:10.110 | User | info      | @00031 - avant = 2024-10-05   type = String   après assignation | 31
2024-10-07 07:01:10.150 | User | info      | @00036 - ufSaisieHeures.txtDate.value --->   y = 2024   m = 10   d = 5   type = String | 31
2024-10-07 07:01:10.190 | User | info      | @00048 - ufSaisieHeures.txtDate.value = 2024-10-05   type = String   après assignation | 31

2024-10-07 07:01:10.230 | User | entering  | E n t e r i n g   modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB @00309 | 31
2024-10-07 07:01:10.870 | User | ADD++++++ | 1537 | ML | 2024-10-05 | 1051 | Arthur Malouin Ltée [Yvan Malouin] | Montage du tableau de consolidation des volumes de septembre 2024 | 1,75 | VRAI |  | 2024-10-07 07:01:10 | 31

2024-10-07 07:01:11.200 | User | entering  | E n t e r i n g   modTEC_Saisie:TEC_Record_Add_Or_Update_Locally @00536 | 31
