2024-11-04 08:43:35.99 | User | APP_v5.D.1.xlsb | ***** Début d'une nouvelle session (Workbook_Open) ***** |  | 31
2024-11-04 08:43:36.06 | User | APP_v5.D.1.xlsb | ThisWorkbook:Create_User_Active_File |  | 31
2024-11-04 08:43:36.13 | User | APP_v5.D.1.xlsb | ThisWorkbook:Create_User_Active_File | 0,0801 sec. | 31

2024-11-04 08:43:36.22 | User | APP_v5.D.1.xlsb | ThisWorkbook:BackupMasterFile |  | 31
2024-11-04 08:43:37.20 | User | APP_v5.D.1.xlsb |    ThisWorkbook:BackupMasterFile - La variable masterWorkbook est initialisée |  | 31
2024-11-04 08:43:37.45 | User | APP_v5.D.1.xlsb |    ThisWorkbook:BackupMasterFile - La copie est réussie |  | 31
2024-11-04 08:43:37.62 | User | APP_v5.D.1.xlsb |    ThisWorkbook:BackupMasterFile - Le fichier masterWorkbook est fermé |  | 31
2024-11-04 08:43:37.72 | User | APP_v5.D.1.xlsb | ThisWorkbook:BackupMasterFile | 1,5000 sec. | 31

2024-11-04 08:43:37.76 | User | APP_v5.D.1.xlsb | modMenu:Hide_Dev_Shapes_Based_On_Username |  | 31
2024-11-04 08:43:37.85 | User | APP_v5.D.1.xlsb | modMenu:Hide_Dev_Shapes_Based_On_Username | 0,1016 sec. | 31

2024-11-04 08:43:38.06 | User | APP_v5.D.1.xlsb | modAppli:Write_Info_On_Main_Menu |  | 31
2024-11-04 08:43:38.21 | User | APP_v5.D.1.xlsb | modAppli:Write_Info_On_Main_Menu | 0,1523 sec. | 31

2024-11-04 08:43:38.39 | User | APP_v5.D.1.xlsb | ThisWorkbook:Workbook_Open | 2,4180 sec. | 31

2024-11-04 08:43:40.54 | User | APP_v5.D.1.xlsb | ufSaisieHeures:UserForm_Activate |  | 31
2024-11-04 08:43:40.59 | User | APP_v5.D.1.xlsb | modImport:Client_List_Import_All |  | 31
