2024-11-04 23:22:09.29 | vgervais | APP_v5.D.1.xlsb | ufSaisieHeures:UserForm_Terminate |  | 31
2024-11-04 23:22:09.35 | vgervais | APP_v5.D.1.xlsb | ufSaisieHeures:UserForm_Terminate | 0,0703 sec. | 31

2024-11-04 23:22:10.36 | vgervais | APP_v5.D.1.xlsb | wshTEC_Evaluation:Worksheet_Activate |  | 31
2024-11-04 23:22:10.39 | vgervais | APP_v5.D.1.xlsb | modImport:Client_List_Import_All |  | 31
2024-11-04 23:22:10.66 | vgervais | APP_v5.D.1.xlsb |      modImport:Client_List_Import_All - Le .CopyFromRecordSet est complétée |  | 31
2024-11-04 23:22:10.72 | vgervais | APP_v5.D.1.xlsb |      modImport:Client_List_Import_All - La mise en forme a été appliquée |  | 31
2024-11-04 23:22:10.80 | vgervais | APP_v5.D.1.xlsb | modImport:Client_List_Import_All | 0,4141 sec. | 31

2024-11-04 23:22:10.84 | vgervais | APP_v5.D.1.xlsb | modImport:TEC_Import_All |  | 31
2024-11-04 23:22:11.17 | vgervais | APP_v5.D.1.xlsb |      modImport:TEC_Import_All - Le .CopyFromRecordSet est complétée |  | 31
2024-11-04 23:22:11.30 | vgervais | APP_v5.D.1.xlsb |      modImport:TEC_Import_All - La mise en forme a été appliquée |  | 31
2024-11-04 23:22:11.39 | vgervais | APP_v5.D.1.xlsb | modImport:TEC_Import_All | 0,5625 sec. | 31

2024-11-04 23:22:11.44 | vgervais | APP_v5.D.1.xlsb | modDev_Utils:SetTabOrder(wshTEC_Evaluation) |  | 31
2024-11-04 23:22:11.47 | vgervais | APP_v5.D.1.xlsb | modDev_Utils:SetTabOrder | 0,0391 sec. | 31

2024-11-04 23:22:11.53 | vgervais | APP_v5.D.1.xlsb | wshTEC_Evaluation:Worksheet_Change |  | 31
2024-11-04 23:22:11.56 | vgervais | APP_v5.D.1.xlsb | wshTEC_Evaluation:Worksheet_Change | 0,0312 sec. | 31

2024-11-04 23:22:11.60 | vgervais | APP_v5.D.1.xlsb | wshTEC_Evaluation:Worksheet_Change |  | 31
2024-11-04 23:22:11.63 | vgervais | APP_v5.D.1.xlsb | wshTEC_Evaluation:Worksheet_Change | 0,0312 sec. | 31

2024-11-04 23:22:11.66 | vgervais | APP_v5.D.1.xlsb | wshTEC_Evaluation:Worksheet_SelectionChange |  | 31
2024-11-04 23:22:11.70 | vgervais | APP_v5.D.1.xlsb | wshTEC_Evaluation:Worksheet_SelectionChange | 0,0391 sec. | 31

2024-11-04 23:22:11.73 | vgervais | APP_v5.D.1.xlsb | wshTEC_Evaluation:Worksheet_SelectionChange |  | 31
2024-11-04 23:22:11.76 | vgervais | APP_v5.D.1.xlsb | wshTEC_Evaluation:Worksheet_SelectionChange | 0,0391 sec. | 31

2024-11-04 23:22:11.79 | vgervais | APP_v5.D.1.xlsb | wshTEC_Evaluation:Worksheet_Activate | 1,4297 sec. | 31

2024-11-04 23:22:13.14 | vgervais | APP_v5.D.1.xlsb | modAppli:Hide_All_Worksheets_Except_Menu |  | 31
2024-11-04 23:22:13.18 | vgervais | APP_v5.D.1.xlsb | modAppli:Hide_All_Worksheets_Except_Menu | 0,0391 sec. | 31

2024-11-04 23:22:15.27 | vgervais | APP_v5.D.1.xlsb | modAppli:Hide_All_Worksheets_Except_Menu |  | 31
2024-11-04 23:22:15.31 | vgervais | APP_v5.D.1.xlsb | modAppli:Hide_All_Worksheets_Except_Menu | 0,0469 sec. | 31

2024-11-04 23:22:15.35 | vgervais | APP_v5.D.1.xlsb | modMenu:Delete_User_Active_File |  | 31
2024-11-04 23:22:15.38 | vgervais | APP_v5.D.1.xlsb | modMenu:Delete_User_Active_File | 0,0391 sec. | 31

2024-11-04 23:22:15.42 | vgervais | APP_v5.D.1.xlsb | ***** Session terminée NORMALEMENT avec la procédure 'modMenu:Exit_After_Saving' ***** |  | 31

2024-11-05 05:22:06.84 | Guillaume | APP_v5.D.1.xlsb | ***** Début d'une nouvelle session (Workbook_Open) ***** |  | 31
