2024-11-22 09:44:26.75 | vgervais            | APP_v5.D.1.xlsb | ADD    2540 | VG | 2024-11-21 | 5 | z_Administratif_Autres non chargeables | Suivis de dossiers + Planning + Discussion avec Michel + lecture mise à jour fiscal | 1,30 | FAUX |  | 31
2024-11-22 09:47:49.21 | vgervais            | APP_v5.D.1.xlsb | ADD    2541 | VG | 2024-11-21 | 1388 | 9307-2411 Québec Inc. [Capitaine Vap] | Discussion avec Dany Borduas + Discussion avec comptable de Lemieux Cantin (avances à l'administrateur) | 1,20 | VRAI |  | 31
2024-11-22 09:59:45.18 | vgervais            | APP_v5.D.1.xlsb | ADD    2542 | VG | 2024-11-21 | 1455 | 8802742 Canada Inc. [Concept Convoyeur Debien Inc.] | Reagder mémo + explication | 0,70 | VRAI |  | 31
2024-11-22 10:01:20.18 | vgervais            | APP_v5.D.1.xlsb | ADD    2543 | VG | 2024-11-21 | 1740 | Les Équipements Cofa Inc. [Olivier Bertrand] | Lecture Mémorandum + prise de notes  + suivi avec Michel pour feuillets  | 1,30 | VRAI |  | 31
2024-11-22 10:03:23.35 | vgervais            | APP_v5.D.1.xlsb | ADD    2544 | VG | 2024-11-21 | 1739 | Groupe Coalitech Inc. [Techvac Équipement] | Révision + finalisation du dossier | 2,60 | VRAI |  | 31
2024-11-22 10:04:06.60 | vgervais            | APP_v5.D.1.xlsb | ADD    2545 | VG | 2024-11-21 | 1798 | Mylène Lapierre CPA Inc. | Suivi avec Michel pour informations manquantes | 0,30 | VRAI |  | 31
2024-11-22 10:04:38.87 | vgervais            | APP_v5.D.1.xlsb | UPDATE 2544 | VG | 2024-11-21 | 1739 | Groupe Coalitech Inc. [Techvac Équipement] | Révision + finalisation du dossier + explication Michel organigramme | 2,80 | VRAI |  | 31
2024-11-22 10:05:24.46 | vgervais            | APP_v5.D.1.xlsb | ADD    2546 | VG | 2024-11-21 | 1675 | Les entreprises Lanthier et Papineau Inc. [Alain Lanthier] | Répondre question de Michel - CDC | 0,20 | VRAI |  | 31
2024-11-22 10:14:47.12 | vgervais            | APP_v5.D.1.xlsb | ADD    2547 | VG | 2024-11-21 | 1775 | 9513-1926 Québec Inc. [Francis Desgagnés] | lecture mémo + courriel + suivi pour arranger le fichier | 1,20 | VRAI |  | 31
2024-11-22 10:34:58.35 | User                | APP_v5.D.1.xlsb | ADD    2548 | ML | 2024-11-20 | 1051 | Arthur Malouin Ltée [Yvan Malouin] | Consultation avec Joannie pour la comptabilité d'Intact et fonds de roulement de la société | 1,25 | VRAI |  | 31
2024-11-22 10:35:25.12 | User                | APP_v5.D.1.xlsb | ADD    2549 | ML | 2024-11-20 | 537 | Succession Émile Fouarge [Michelle Fouarge] | Téléphone avec Pierre-Luc Gagnon pour le solde de la succession au fédéral | 0,25 | VRAI |  | 31
2024-11-22 10:35:52.76 | User                | APP_v5.D.1.xlsb | ADD    2550 | ML | 2024-11-20 | 1675 | Les entreprises Lanthier et Papineau Inc. [Alain Lanthier] | Revision de l'étape 4 du roulement | 0,50 | VRAI |  | 31
2024-11-22 10:36:18.12 | User                | APP_v5.D.1.xlsb | ADD    2551 | ML | 2024-11-20 | 1675 | Les entreprises Lanthier et Papineau Inc. [Alain Lanthier] | Montage de l'étape 5 du mémo (roulement) | 1,50 | VRAI |  | 31
2024-11-22 10:37:04.74 | User                | APP_v5.D.1.xlsb | ADD    2552 | ML | 2024-11-20 | 1675 | Les entreprises Lanthier et Papineau Inc. [Alain Lanthier] | Montage de l'étape 6 du mémo (roulement) | 1,00 | VRAI |  | 31
2024-11-22 10:37:33.90 | User                | APP_v5.D.1.xlsb | ADD    2553 | ML | 2024-11-20 | 1675 | Les entreprises Lanthier et Papineau Inc. [Alain Lanthier] | Montage de l'étape 7 du mémo (roulement) | 1,50 | VRAI |  | 31
2024-11-22 10:37:58.96 | User                | APP_v5.D.1.xlsb | ADD    2554 | ML | 2024-11-20 | 1675 | Les entreprises Lanthier et Papineau Inc. [Alain Lanthier] | Recherche pour l'étape 9 | 0,25 | VRAI |  | 31
2024-11-22 10:38:49.21 | User                | APP_v5.D.1.xlsb | ADD    2555 | ML | 2024-11-21 | 1675 | Les entreprises Lanthier et Papineau Inc. [Alain Lanthier] | Montage de l'étape 11 du mémo (CDC) | 1,25 | VRAI |  | 31
2024-11-22 10:39:24.37 | User                | APP_v5.D.1.xlsb | ADD    2556 | ML | 2024-11-21 | 1388 | 9307-2411 Québec Inc. [Capitaine Vap] | Analyse du dossier avec Vladimir | 0,75 | VRAI |  | 31
2024-11-22 10:39:50.46 | User                | APP_v5.D.1.xlsb | ADD    2557 | ML | 2024-11-21 | 5 | z_Administratif_Autres non chargeables | Discussion avec l'APCI pour un service donné en fiscalité  | 0,50 | FAUX |  | 31
2024-11-22 10:40:22.50 | User                | APP_v5.D.1.xlsb | ADD    2558 | ML | 2024-11-21 | 1675 | Les entreprises Lanthier et Papineau Inc. [Alain Lanthier] | Montage de l'étape 13 du mémo (CDC) | 1,25 | VRAI |  | 31
2024-11-22 10:40:49.20 | User                | APP_v5.D.1.xlsb | ADD    2559 | ML | 2024-11-21 | 1675 | Les entreprises Lanthier et Papineau Inc. [Alain Lanthier] | Montage de l'étape 15 du mémo (CDC) | 1,25 | VRAI |  | 31
2024-11-22 10:41:16.95 | User                | APP_v5.D.1.xlsb | ADD    2560 | ML | 2024-11-21 | 1675 | Les entreprises Lanthier et Papineau Inc. [Alain Lanthier] | Montage de l'étape 17 du mémo (roulement) | 1,25 | VRAI |  | 31
2024-11-22 10:41:39.08 | User                | APP_v5.D.1.xlsb | ADD    2561 | ML | 2024-11-21 | 1051 | Arthur Malouin Ltée [Yvan Malouin] | Téléphone avec Joannie sur Épic | 0,25 | VRAI |  | 31
2024-11-22 17:35:50.55 | Annie               | APP_v5.D.1.xlsb | ADD    2562 | AR | 2024-11-22 | 1112 | Vignoble Kobloth et fils Inc. [Roxane Gauthier] | Correction du fichier Excellence du 31 août 2024 | 1.50 | VRAI |  | 31
2024-11-22 17:36:29.46 | Annie               | APP_v5.D.1.xlsb | ADD    2563 | AR | 2024-11-22 | 2000 | Peinture Ex Aequo Inc. [Gabriel Léger] | Balancer paiements à la CCQ et DAS | 2.50 | VRAI |  | 31
2024-11-22 17:36:53.26 | Annie               | APP_v5.D.1.xlsb | ADD    2564 | AR | 2024-11-22 | 1112 | Vignoble Kobloth et fils Inc. [Roxane Gauthier] | Comptabilité octobre | 1.25 | VRAI |  | 31
