2024-12-04 04:18:14.10 | GuillaumeCharron | APP_v5.F.3.xlsb | ***** Début d'une nouvelle session (ThisWorkbook:Workbook_Open) *****
2024-12-04 04:18:14.14 | GuillaumeCharron | APP_v5.F.3.xlsb | ThisWorkbook:Create_User_Active_File
2024-12-04 04:18:14.17 | GuillaumeCharron | APP_v5.F.3.xlsb | ThisWorkbook:Create_User_Active_File = 0,0371 sec.

2024-12-04 04:18:16.27 | GuillaumeCharron | APP_v5.F.3.xlsb | modAppli:Write_Info_On_Main_Menu
2024-12-04 04:18:16.37 | GuillaumeCharron | APP_v5.F.3.xlsb | modAppli:Write_Info_On_Main_Menu = 0,1035 sec.

2024-12-04 04:18:16.44 | GuillaumeCharron | APP_v5.F.3.xlsb | ThisWorkbook:Workbook_Open = 2,3428 sec.

2024-12-04 04:18:19.81 | GuillaumeCharron | APP_v5.F.3.xlsb | ufSaisieHeures:UserForm_Activate
2024-12-04 04:18:19.83 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:Client_List_Import_All
2024-12-04 04:18:20.19 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:Client_List_Import_All = 0,3584 sec.

2024-12-04 04:18:20.21 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:TEC_Import_All
2024-12-04 04:18:20.71 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:TEC_Import_All = 0,5010 sec.

2024-12-04 04:18:20.74 | GuillaumeCharron | APP_v5.F.3.xlsb | ufSaisieHeures:UserForm_Activate = 0,9316 sec.

2024-12-04 04:23:40.26 | GuillaumeCharron | APP_v5.F.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate
2024-12-04 04:23:40.28 | GuillaumeCharron | APP_v5.F.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate = 0,0244 sec.

2024-12-04 04:23:40.30 | GuillaumeCharron | APP_v5.F.3.xlsb | ufSaisieHeures:UserForm_Terminate
2024-12-04 04:23:40.33 | GuillaumeCharron | APP_v5.F.3.xlsb | ufSaisieHeures:UserForm_Terminate = 0,0332 sec.

2024-12-04 04:23:41.17 | GuillaumeCharron | APP_v5.F.3.xlsb | modAppli:Hide_All_Worksheets_Except_Menu
2024-12-04 04:23:41.20 | GuillaumeCharron | APP_v5.F.3.xlsb | modAppli:Hide_All_Worksheets_Except_Menu = 0,0342 sec.

2024-12-04 04:23:43.19 | GuillaumeCharron | APP_v5.F.3.xlsb | wshENC_Saisie:Worksheet_Activate
2024-12-04 04:23:43.21 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:Client_List_Import_All
2024-12-04 04:23:43.47 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:Client_List_Import_All = 0,2549 sec.

2024-12-04 04:23:43.49 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:FAC_Comptes_Clients_Import_All
2024-12-04 04:23:43.65 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:FAC_Comptes_Clients_Import_All = 0,1680 sec.

