2024-12-06 06:08:21.24 | Guillaume | APP_v5.G.3.xlsb | ***** Début d'une nouvelle session (ThisWorkbook:Workbook_Open) *****
2024-12-06 06:08:21.51 | Guillaume | APP_v5.G.3.xlsb | ThisWorkbook:Create_User_Active_File
2024-12-06 06:08:21.96 | Guillaume | APP_v5.G.3.xlsb | ThisWorkbook:Create_User_Active_File = 0,5879 sec.

2024-12-06 06:08:24.52 | Guillaume | APP_v5.G.3.xlsb | modAppli:Write_Info_On_Main_Menu
2024-12-06 06:08:24.87 | Guillaume | APP_v5.G.3.xlsb | modAppli:Write_Info_On_Main_Menu = 0,4844 sec.

2024-12-06 06:08:25.14 | Guillaume | APP_v5.G.3.xlsb | ThisWorkbook:Workbook_Open = 4,0449 sec.

2024-12-06 06:08:26.10 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:UserForm_Activate
2024-12-06 06:08:26.31 | Guillaume | APP_v5.G.3.xlsb | modImport:Client_List_Import_All
2024-12-06 06:08:27.45 | Guillaume | APP_v5.G.3.xlsb | modImport:Client_List_Import_All = 1,2773 sec.

2024-12-06 06:08:27.67 | Guillaume | APP_v5.G.3.xlsb | modImport:TEC_Import_All
2024-12-06 06:08:29.30 | Guillaume | APP_v5.G.3.xlsb | modImport:TEC_Import_All = 1,7656 sec.

2024-12-06 06:08:29.54 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:UserForm_Activate = 3,5664 sec.

2024-12-06 06:08:31.45 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate
2024-12-06 06:08:31.69 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate = 0,3750 sec.

2024-12-06 06:08:32.29 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2024-12-06 06:08:32.50 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_Complete_Date(06/12/24, 90, 15)
2024-12-06 06:08:32.71 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_Complete_Date = 0,3574 sec.

2024-12-06 06:08:32.94 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate = 0,7930 sec.

2024-12-06 06:08:33.18 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtDate_AfterUpdate
2024-12-06 06:08:33.39 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 1/06/12/24
2024-12-06 06:08:33.67 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF = 0,4102 sec.

2024-12-06 06:08:33.89 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/06/12/24
2024-12-06 06:08:34.12 | Guillaume | APP_v5.G.3.xlsb | wshTEC_TDB_Data:Worksheet_Change($S$6)
2024-12-06 06:08:34.34 | Guillaume | APP_v5.G.3.xlsb | wshTEC_TDB_Data:Worksheet_Change = 0,3555 sec.

2024-12-06 06:08:34.59 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/06/12/24 = 0,8320 sec.

2024-12-06 06:08:34.81 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtDate_AfterUpdate = 1,7754 sec.

2024-12-06 06:08:38.21 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate[Les entreprises Lanthier et Papineau Inc. [Alain Lanthier]]
2024-12-06 06:08:38.42 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_GetID_From_Client_Name - Les entreprises Lanthier et Papineau Inc. [Alain Lanthier]
2024-12-06 06:08:38.67 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1675 = 0,3887 sec.

2024-12-06 06:08:38.90 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate = 0,8262 sec.

2024-12-06 06:09:34.65 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtActivite_AfterUpdate[courriel sur liquidation/dissolution avec Alain]
2024-12-06 06:09:34.90 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtActivite_AfterUpdate = 0,3965 sec.

2024-12-06 06:09:35.75 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[0.4]
2024-12-06 06:09:35.97 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate = 0,3691 sec.

2024-12-06 06:09:36.20 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtHeures_Exit[0,40]
2024-12-06 06:09:36.43 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtHeures_Exit = 0,3652 sec.

2024-12-06 06:09:37.78 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:cmdAdd_Click
2024-12-06 06:09:37.00 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne
2024-12-06 06:09:38.21 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB(0)
