2024-12-07 10:48:14.19 | vgervais | APP_v5.G.0.xlsb | ***** Début d'une nouvelle session (ThisWorkbook:Workbook_Open) *****
2024-12-07 10:48:14.22 | vgervais | APP_v5.G.0.xlsb | ThisWorkbook:Create_User_Active_File
2024-12-07 10:48:14.29 | vgervais | APP_v5.G.0.xlsb | ThisWorkbook:Create_User_Active_File = 0,0625 sec.

2024-12-07 10:48:15.13 | vgervais | APP_v5.G.0.xlsb | modAppli:Write_Info_On_Main_Menu
2024-12-07 10:48:15.18 | vgervais | APP_v5.G.0.xlsb | modAppli:Write_Info_On_Main_Menu = 0,0547 sec.

2024-12-07 10:48:15.25 | vgervais | APP_v5.G.0.xlsb | ThisWorkbook:Workbook_Open = 1,0625 sec.

2024-12-07 10:48:16.47 | vgervais | APP_v5.G.0.xlsb | ufSaisieHeures:UserForm_Activate
2024-12-07 10:48:16.51 | vgervais | APP_v5.G.0.xlsb | modImport:Client_List_Import_All
2024-12-07 10:48:16.81 | vgervais | APP_v5.G.0.xlsb | modImport:Client_List_Import_All = 0,3047 sec.

2024-12-07 10:48:16.84 | vgervais | APP_v5.G.0.xlsb | modImport:TEC_Import_All
2024-12-07 10:48:17.32 | vgervais | APP_v5.G.0.xlsb | modImport:TEC_Import_All = 0,4727 sec.

2024-12-07 10:48:17.35 | vgervais | APP_v5.G.0.xlsb | ufSaisieHeures:UserForm_Activate = 0,8828 sec.

2024-12-07 10:48:18.81 | vgervais | APP_v5.G.0.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate
2024-12-07 10:48:18.85 | vgervais | APP_v5.G.0.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate = 0,0469 sec.

2024-12-07 10:48:24.93 | vgervais | APP_v5.G.0.xlsb | ufSaisieHeures:txtClient_AfterUpdate[marc la]
2024-12-07 10:48:24.96 | vgervais | APP_v5.G.0.xlsb | modFunctions:Fn_GetID_From_Client_Name - marc la
2024-12-07 10:48:24.99 | vgervais | APP_v5.G.0.xlsb | modFunctions:Fn_GetID_From_Client_Name - 302 = 0,0312 sec.

2024-12-07 10:48:25.02 | vgervais | APP_v5.G.0.xlsb | ufSaisieHeures:txtClient_AfterUpdate = 0,0977 sec.

2024-12-07 10:48:25.14 | vgervais | APP_v5.G.0.xlsb | ufSaisieHeures:lstboxNomClient_DblClick
2024-12-07 10:48:25.20 | vgervais | APP_v5.G.0.xlsb | modFunctions:Fn_GetID_From_Client_Name - Explorance Inc. [Marc Lamy]
2024-12-07 10:48:25.23 | vgervais | APP_v5.G.0.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1784 = 0,0312 sec.

2024-12-07 10:48:25.25 | vgervais | APP_v5.G.0.xlsb | ufSaisieHeures:lstboxNomClient_DblClick = 0,1172 sec.

2024-12-07 10:48:25.29 | vgervais | APP_v5.G.0.xlsb | ufSaisieHeures:txtClient_AfterUpdate[Explorance Inc. [Marc Lamy]]
2024-12-07 10:48:25.32 | vgervais | APP_v5.G.0.xlsb | modFunctions:Fn_GetID_From_Client_Name - Explorance Inc. [Marc Lamy]
2024-12-07 10:48:25.35 | vgervais | APP_v5.G.0.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1784 = 0,0352 sec.

2024-12-07 10:48:25.38 | vgervais | APP_v5.G.0.xlsb | ufSaisieHeures:txtClient_AfterUpdate = 0,0977 sec.

2024-12-07 10:48:30.83 | vgervais | APP_v5.G.0.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2024-12-07 10:48:30.87 | vgervais | APP_v5.G.0.xlsb | modFunctions:Fn_Complete_Date(2024-12-07, 90, 15)
2024-12-07 10:48:30.91 | vgervais | APP_v5.G.0.xlsb | modFunctions:Fn_Complete_Date = 0,0352 sec.

2024-12-07 10:48:30.94 | vgervais | APP_v5.G.0.xlsb | ufSaisieHeures:txtDate_BeforeUpdate = 0,1094 sec.

2024-12-07 10:48:30.97 | vgervais | APP_v5.G.0.xlsb | ufSaisieHeures:txtDate_AfterUpdate
2024-12-07 10:48:31.01 | vgervais | APP_v5.G.0.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 2/12-07-2024
2024-12-07 10:48:31.07 | vgervais | APP_v5.G.0.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF = 0,0664 sec.

2024-12-07 10:48:31.11 | vgervais | APP_v5.G.0.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/12-07-2024
2024-12-07 10:48:31.14 | vgervais | APP_v5.G.0.xlsb | wshTEC_TDB_Data:Worksheet_Change($S$6 - VG)
2024-12-07 10:48:31.18 | vgervais | APP_v5.G.0.xlsb | wshTEC_TDB_Data:Worksheet_Change = 0,0352 sec.

2024-12-07 10:48:31.23 | vgervais | APP_v5.G.0.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/12-07-2024 = 0,1250 sec.

2024-12-07 10:48:31.26 | vgervais | APP_v5.G.0.xlsb | ufSaisieHeures:txtDate_AfterUpdate = 0,2891 sec.

2024-12-07 10:48:35.23 | vgervais | APP_v5.G.0.xlsb | ufSaisieHeures:txtHeures_Exit[]
