2024-12-07 19:25:01.20 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:UserForm_Activate
2024-12-07 19:25:01.48 | Guillaume | APP_v5.G.3.xlsb | modImport:Client_List_Import_All
2024-12-07 19:25:02.96 | Guillaume | APP_v5.G.3.xlsb | modImport:Client_List_Import_All = 1,6172 sec.

2024-12-07 19:25:03.17 | Guillaume | APP_v5.G.3.xlsb | modImport:TEC_Import_All
2024-12-07 19:25:05.23 | Guillaume | APP_v5.G.3.xlsb | modImport:TEC_Import_All = 2,1953 sec.

2024-12-07 19:25:05.45 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:UserForm_Activate = 4,3984 sec.

2024-12-07 19:25:07.43 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate
2024-12-07 19:25:07.65 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate = 0,3594 sec.

2024-12-07 19:25:08.26 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2024-12-07 19:25:08.47 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_Complete_Date(07/12/24, 90, 15)
2024-12-07 19:25:08.69 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_Complete_Date = 0,3672 sec.

2024-12-07 19:25:08.91 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate = 0,7969 sec.

2024-12-07 19:25:09.15 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtDate_AfterUpdate
2024-12-07 19:25:09.37 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 1/07/12/24
2024-12-07 19:25:10.07 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF = 0,8594 sec.

2024-12-07 19:25:10.32 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/07/12/24
2024-12-07 19:25:10.70 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/07/12/24 = 0,5469 sec.

2024-12-07 19:25:10.95 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtDate_AfterUpdate = 1,9453 sec.

2024-12-07 19:25:12.56 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:lsbHresJour_dblClick[2]
2024-12-07 19:25:12.79 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID
2024-12-07 19:25:13.03 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID - Row # = 2886
2024-12-07 19:25:13.23 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID = 0,6016 sec.

2024-12-07 19:25:13.51 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:lsbHresJour_dblClick[2887] = 1,0859 sec.

2024-12-07 19:25:14.94 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate[Construction Nelson Inc. [Nelson Massicotte]]
2024-12-07 19:25:15.16 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_GetID_From_Client_Name - Construction Nelson Inc. [Nelson Massicotte]
2024-12-07 19:25:15.39 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1803 = 0,3828 sec.

2024-12-07 19:25:15.63 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate = 0,8438 sec.

2024-12-07 19:25:27.69 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtActivite_AfterUpdate[avancer tableaux de capital-actions et jvm et organigramme et éléments manquants + mémo]
2024-12-07 19:25:27.95 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtActivite_AfterUpdate = 0,4062 sec.

2024-12-07 19:25:34.52 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[17]
2024-12-07 19:25:34.77 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate = 0,3906 sec.

2024-12-07 19:25:35.02 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtHeures_Exit[17,00]
2024-12-07 19:25:35.23 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtHeures_Exit = 0,3594 sec.

2024-12-07 19:25:35.52 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:cmdUpdate_Click[2887]
2024-12-07 19:25:35.74 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Modifie_Ligne
2024-12-07 19:25:35.97 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_GetID_From_Client_Name - Construction Nelson Inc. [Nelson Massicotte]
2024-12-07 19:25:36.19 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1803 = 0,3672 sec.

2024-12-07 19:25:36.42 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB(2887)
2024-12-07 19:25:38.80 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - 2887 = 2,5469 sec.

2024-12-07 19:25:39.05 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally(2887)
2024-12-07 19:25:39.29 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID
2024-12-07 19:25:39.55 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID - Row # = 2886
2024-12-07 19:25:39.78 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID = 0,6484 sec.

2024-12-07 19:25:40.35 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally - 2887 = 1,4453 sec.

2024-12-07 19:25:40.59 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 1/07/12/2024
2024-12-07 19:25:41.23 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF = 0,7969 sec.

2024-12-07 19:25:41.47 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/07/12/2024
