2024-12-21 18:29:14.18 | GuillaumeCharron | APP_v5.G.5.xlsb | ***** Début d'une nouvelle session (ThisWorkbook:Workbook_Open) *****
2024-12-21 18:29:14.20 | GuillaumeCharron | APP_v5.G.5.xlsb | ThisWorkbook:Create_User_Active_File
2024-12-21 18:29:14.25 | GuillaumeCharron | APP_v5.G.5.xlsb | ThisWorkbook:Create_User_Active_File = 0,0547 sec.

2024-12-21 18:29:16.36 | GuillaumeCharron | APP_v5.G.5.xlsb | modAppli:Write_Info_On_Main_Menu
2024-12-21 18:29:16.59 | GuillaumeCharron | APP_v5.G.5.xlsb | modAppli:Write_Info_On_Main_Menu = 0,2344 sec.

2024-12-21 18:29:16.69 | GuillaumeCharron | APP_v5.G.5.xlsb | ThisWorkbook:Workbook_Open = 2,5156 sec.

2024-12-21 18:29:23.50 | GuillaumeCharron | APP_v5.G.5.xlsb | wshMenuFAC:PreparationFacture_Click
2024-12-21 18:29:23.52 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Activate
2024-12-21 18:29:23.55 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:Client_List_Import_All
2024-12-21 18:29:23.88 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:Client_List_Import_All = 0,3359 sec.

2024-12-21 18:29:23.90 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:TEC_Import_All
2024-12-21 18:29:24.54 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:TEC_Import_All = 0,6484 sec.

2024-12-21 18:29:24.56 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Entête_Import_All
2024-12-21 18:29:24.80 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Entête_Import_All = 0,2500 sec.

2024-12-21 18:29:24.83 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Détails_Import_All
2024-12-21 18:29:25.16 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Détails_Import_All = 0,3359 sec.

2024-12-21 18:29:25.19 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Comptes_Clients_Import_All
2024-12-21 18:29:25.41 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Comptes_Clients_Import_All = 0,2266 sec.

2024-12-21 18:29:25.44 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Projets_Entête_Import_All
2024-12-21 18:29:26.54 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Projets_Entête_Import_All = 1,1094 sec.

2024-12-21 18:29:26.56 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Projets_Détails_Import_All
2024-12-21 18:29:37.79 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Projets_Détails_Import_All = 11,2344 sec.

2024-12-21 18:29:37.85 | GuillaumeCharron | APP_v5.G.5.xlsb | modDev_Utils:SetTabOrder(wshFAC_Brouillon)
2024-12-21 18:29:37.89 | GuillaumeCharron | APP_v5.G.5.xlsb | modDev_Utils:SetTabOrder = 0,0469 sec.

2024-12-21 18:29:38.09 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_New_Invoice
2024-12-21 18:29:38.18 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_Clear_All_TEC_Displayed
2024-12-21 18:29:38.20 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_Clear_All_TEC_Displayed = 0,0312 sec.

2024-12-21 18:29:38.23 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_Setup_All_Cells
2024-12-21 18:29:38.67 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_Setup_All_Cells = 0,4531 sec.

2024-12-21 18:29:38.79 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Finale:FAC_Finale_Setup_All_Cells
