2024-12-22 11:09:34.28 | Guillaume | APP_v5.H.4.xlsb | ***** Début d'une nouvelle session (ThisWorkbook:Workbook_Open) *****
2024-12-22 11:09:34.58 | Guillaume | APP_v5.H.4.xlsb | ThisWorkbook:Create_User_Active_File
2024-12-22 11:09:35.12 | Guillaume | APP_v5.H.4.xlsb | ThisWorkbook:Create_User_Active_File = '0,7109 secondes'

2024-12-22 11:09:35.45 | Guillaume | APP_v5.H.4.xlsb | ThisWorkbook:Setup_UserDateFormat
2024-12-22 11:09:35.69 | Guillaume | APP_v5.H.4.xlsb | ThisWorkbook:Setup_UserDateFormat = '0,4102 secondes'

2024-12-22 11:09:35.93 | Guillaume | APP_v5.H.4.xlsb | ThisWorkbook:BackupMasterFile
2024-12-22 11:09:37.32 | Guillaume | APP_v5.H.4.xlsb | ThisWorkbook:BackupMasterFile = '1,6094 secondes'

2024-12-22 11:09:37.64 | Guillaume | APP_v5.H.4.xlsb | modMenu:HideDevShapesBasedOnUsername
2024-12-22 11:09:37.89 | Guillaume | APP_v5.H.4.xlsb | modMenu:HideDevShapesBasedOnUsername = '0,4453 secondes'

2024-12-22 11:09:38.19 | Guillaume | APP_v5.H.4.xlsb | modAppli:WriteInfoOnMainMenu
2024-12-22 11:09:38.47 | Guillaume | APP_v5.H.4.xlsb | modAppli:WriteInfoOnMainMenu = '0,4453 secondes'

2024-12-22 11:09:38.82 | Guillaume | APP_v5.H.4.xlsb | ThisWorkbook:Workbook_Open = '4,6836 secondes'

2024-12-22 11:09:58.32 | Guillaume | APP_v5.H.4.xlsb | modMenu:SortirApplicationAprèsSauvegarde
2024-12-22 11:09:59.96 | Guillaume | APP_v5.H.4.xlsb | modMenu:Delete_User_Active_File
2024-12-22 11:10:00.36 | Guillaume | APP_v5.H.4.xlsb | modMenu:Delete_User_Active_File = '0,5469 secondes'

2024-12-22 11:10:00.59 | Guillaume | APP_v5.H.4.xlsb | modMenu:SortirApplicationAprèsSauvegarde = '2,4062 secondes'

2024-12-22 11:10:00.80 | Guillaume | APP_v5.H.4.xlsb | ***** Session terminée NORMALEMENT (modMenu:SortirApplicationAprèsSauvegarde) *****

2024-12-22 11:10:57.88 | Guillaume | APP_v5.H.4.xlsb | modMenu:menuComptabilite_Click
2024-12-22 11:10:58.14 | Guillaume | APP_v5.H.4.xlsb | modMenu:menuComptabilite_Click = '0,4180 secondes'

2024-12-22 11:11:00.87 | Guillaume | APP_v5.H.4.xlsb | modMenu:menuFacturation_Click
2024-12-22 11:11:01.12 | Guillaume | APP_v5.H.4.xlsb | modMenu:menuFacturation_Click = '0,3789 secondes'

2024-12-22 11:11:06.31 | Guillaume | APP_v5.H.4.xlsb | modCAR_Liste_Agée:CAR_CréerListeÂgée
2024-12-22 17:12:56.58 | Guillaume | APP_v5.H.5.xlsb | ***** Début d'une nouvelle session (ThisWorkbook:Workbook_Open) *****
2024-12-22 17:12:56.88 | Guillaume | APP_v5.H.5.xlsb | ThisWorkbook:Create_User_Active_File
2024-12-22 17:12:57.39 | Guillaume | APP_v5.H.5.xlsb | ThisWorkbook:Create_User_Active_File = '0,7305 secondes'

2024-12-22 17:12:57.71 | Guillaume | APP_v5.H.5.xlsb | ThisWorkbook:Setup_UserDateFormat
2024-12-22 17:12:58.01 | Guillaume | APP_v5.H.5.xlsb | ThisWorkbook:Setup_UserDateFormat = '0,5078 secondes'

2024-12-22 17:12:58.35 | Guillaume | APP_v5.H.5.xlsb | ThisWorkbook:BackupMasterFile
2024-12-22 17:12:59.66 | Guillaume | APP_v5.H.5.xlsb | ThisWorkbook:BackupMasterFile = '1,4609 secondes'

2024-12-22 17:12:59.89 | Guillaume | APP_v5.H.5.xlsb | modMenu:HideDevShapesBasedOnUsername
2024-12-22 17:13:00.12 | Guillaume | APP_v5.H.5.xlsb | modMenu:HideDevShapesBasedOnUsername = '0,3711 secondes'

2024-12-22 17:13:00.35 | Guillaume | APP_v5.H.5.xlsb | modAppli:WriteInfoOnMainMenu
2024-12-22 17:13:00.60 | Guillaume | APP_v5.H.5.xlsb | modAppli:WriteInfoOnMainMenu = '0,3906 secondes'

2024-12-22 17:13:00.91 | Guillaume | APP_v5.H.5.xlsb | ThisWorkbook:Workbook_Open = '4,4648 secondes'

2024-12-22 17:13:02.05 | Guillaume | APP_v5.H.5.xlsb | modMenu:menuTEC_Click
2024-12-22 17:13:02.31 | Guillaume | APP_v5.H.5.xlsb | modMenu:menuTEC_Click = '0,4336 secondes'

2024-12-22 17:13:03.48 | Guillaume | APP_v5.H.5.xlsb | modMenu:Hide_All_Worksheets_Except_Menu
2024-12-22 17:13:03.71 | Guillaume | APP_v5.H.5.xlsb | modMenu:Hide_All_Worksheets_Except_Menu = '0,3555 secondes'

2024-12-22 17:13:04.66 | Guillaume | APP_v5.H.5.xlsb | modMenu:menuTEC_Click
2024-12-22 17:13:04.86 | Guillaume | APP_v5.H.5.xlsb | modMenu:menuTEC_Click = '0,3320 secondes'

2024-12-22 17:13:06.91 | Guillaume | APP_v5.H.5.xlsb | modMenu:Hide_All_Worksheets_Except_Menu
2024-12-22 17:13:07.17 | Guillaume | APP_v5.H.5.xlsb | modMenu:Hide_All_Worksheets_Except_Menu = '0,3984 secondes'

2024-12-22 17:13:12.46 | Guillaume | APP_v5.H.5.xlsb | modMenu:menuFacturation_Click
2024-12-22 17:13:12.70 | Guillaume | APP_v5.H.5.xlsb | modMenu:menuFacturation_Click = '0,3633 secondes'

2024-12-22 17:13:14.67 | Guillaume | APP_v5.H.5.xlsb | wshMenuFAC:FAC_Confirmation_Click
2024-12-22 17:13:14.87 | Guillaume | APP_v5.H.5.xlsb | modImport:FAC_Comptes_Clients_Import_All
2024-12-22 17:13:16.25 | Guillaume | APP_v5.H.5.xlsb | modImport:FAC_Comptes_Clients_Import_All = '1,5156 secondes'

2024-12-22 17:13:16.48 | Guillaume | APP_v5.H.5.xlsb | modImport:FAC_Entête_Import_All
2024-12-22 17:13:17.66 | Guillaume | APP_v5.H.5.xlsb | modImport:FAC_Entête_Import_All = '1,3086 secondes'

2024-12-22 17:13:17.87 | Guillaume | APP_v5.H.5.xlsb | modImport:FAC_Détails_Import_All
2024-12-22 17:13:19.09 | Guillaume | APP_v5.H.5.xlsb | modImport:FAC_Détails_Import_All = '1,3672 secondes'

2024-12-22 17:13:19.33 | Guillaume | APP_v5.H.5.xlsb | wshFAC_Confirmation:Worksheet_Activate
2024-12-22 17:13:19.55 | Guillaume | APP_v5.H.5.xlsb | modImport:TEC_Import_All
2024-12-22 17:13:20.91 | Guillaume | APP_v5.H.5.xlsb | modImport:TEC_Import_All = '1,5000 secondes'

2024-12-22 17:13:21.12 | Guillaume | APP_v5.H.5.xlsb | modImport:FAC_Entête_Import_All
2024-12-22 17:13:22.25 | Guillaume | APP_v5.H.5.xlsb | modImport:FAC_Entête_Import_All = '1,2656 secondes'

2024-12-22 17:13:22.46 | Guillaume | APP_v5.H.5.xlsb | modImport:FAC_Détails_Import_All
2024-12-22 17:13:23.66 | Guillaume | APP_v5.H.5.xlsb | modImport:FAC_Détails_Import_All = '1,3359 secondes'

2024-12-22 17:13:23.87 | Guillaume | APP_v5.H.5.xlsb | modImport:FAC_Sommaire_Taux_Import_All
2024-12-22 17:13:24.97 | Guillaume | APP_v5.H.5.xlsb | modImport:FAC_Sommaire_Taux_Import_All = '1,2461 secondes'

