2024-12-29 08:22:28.04 | Guillaume | APP_v5.J.xlsb | ***** Début d'une nouvelle session (modAppli:CodeEssentielDepart) *****
2024-12-29 08:22:28.29 | Guillaume | APP_v5.J.xlsb | OK - Validation d'accès serveur terminée = '0,1602 secondes'

2024-12-29 08:22:28.52 | Guillaume | APP_v5.J.xlsb | ThisWorkbook:Create_User_Active_File
2024-12-29 08:22:28.94 | Guillaume | APP_v5.J.xlsb | ThisWorkbook:Create_User_Active_File = '0,5723 secondes'

2024-12-29 08:22:29.16 | Guillaume | APP_v5.J.xlsb | ThisWorkbook:Setup_UserDateFormat
2024-12-29 08:22:29.41 | Guillaume | APP_v5.J.xlsb | ThisWorkbook:Setup_UserDateFormat = '0,3906 secondes'

2024-12-29 08:22:29.63 | Guillaume | APP_v5.J.xlsb | ThisWorkbook:BackupMasterFile
2024-12-29 08:22:30.84 | Guillaume | APP_v5.J.xlsb | ThisWorkbook:BackupMasterFile = '1,3594 secondes'

2024-12-29 08:22:31.06 | Guillaume | APP_v5.J.xlsb | modAppli:WriteInfoOnMainMenu
2024-12-29 08:22:31.30 | Guillaume | APP_v5.J.xlsb | modAppli:WriteInfoOnMainMenu = '0,3730 secondes'

2024-12-29 08:22:31.51 | Guillaume | APP_v5.J.xlsb | modMenu:HideDevShapesBasedOnUsername
2024-12-29 08:22:31.72 | Guillaume | APP_v5.J.xlsb | modMenu:HideDevShapesBasedOnUsername = '0,3379 secondes'

2024-12-29 08:22:31.97 | Guillaume | APP_v5.J.xlsb | modAppli:CodeEssentielDepart = '4,0684 secondes'

2024-12-29 08:22:57.58 | Guillaume | APP_v5.J.xlsb | modMenu:menuComptabilite_Click
2024-12-29 08:22:57.91 | Guillaume | APP_v5.J.xlsb | modMenu:menuComptabilite_Click = '0,4844 secondes'

2024-12-29 08:22:59.26 | Guillaume | APP_v5.J.xlsb | wshENC_Saisie:Worksheet_Activate
2024-12-29 08:22:59.50 | Guillaume | APP_v5.J.xlsb | modImport:Client_List_Import_All
2024-12-29 08:23:00.76 | Guillaume | APP_v5.J.xlsb | modImport:ResizeTable
2024-12-29 08:23:01.03 | Guillaume | APP_v5.J.xlsb | modImport:ResizeTable = '0,4277 secondes'

2024-12-29 08:23:01.26 | Guillaume | APP_v5.J.xlsb | modImport:ApplyFormatting
2024-12-29 08:23:01.48 | Guillaume | APP_v5.J.xlsb | modImport:ApplyFormatting = '0,3711 secondes'

2024-12-29 08:23:01.76 | Guillaume | APP_v5.J.xlsb | modImport:Client_List_Import_All = '2,4160 secondes'

2024-12-29 08:23:01.00 | Guillaume | APP_v5.J.xlsb | modImport:FAC_Comptes_Clients_Import_All
