2024-12-29 17:50:50.89 | GuillaumeCharron | APP_v5.J.xlsb | ***** Début d'une nouvelle session (modAppli:CodeEssentielDepart) *****
2024-12-29 17:50:50.92 | GuillaumeCharron | APP_v5.J.xlsb | OK - Validation d'accès serveur terminée = '0,0039 secondes'

2024-12-29 17:50:50.94 | GuillaumeCharron | APP_v5.J.xlsb | ThisWorkbook:Create_User_Active_File
2024-12-29 17:50:50.98 | GuillaumeCharron | APP_v5.J.xlsb | ThisWorkbook:Create_User_Active_File = '0,0430 secondes'

2024-12-29 17:50:50.00 | GuillaumeCharron | APP_v5.J.xlsb | ThisWorkbook:Setup_UserDateFormat
2024-12-29 17:50:51.02 | GuillaumeCharron | APP_v5.J.xlsb | ThisWorkbook:Setup_UserDateFormat = '0,0234 secondes'

2024-12-29 17:50:51.03 | GuillaumeCharron | APP_v5.J.xlsb | ThisWorkbook:BackupMasterFile
2024-12-29 17:50:51.13 | GuillaumeCharron | APP_v5.J.xlsb | ThisWorkbook:BackupMasterFile = '0,0977 secondes'

2024-12-29 17:50:51.14 | GuillaumeCharron | APP_v5.J.xlsb | modAppli:WriteInfoOnMainMenu
2024-12-29 17:50:51.17 | GuillaumeCharron | APP_v5.J.xlsb | modAppli:WriteInfoOnMainMenu = '0,0312 secondes'

2024-12-29 17:50:51.20 | GuillaumeCharron | APP_v5.J.xlsb | modMenu:HideDevShapesBasedOnUsername
2024-12-29 17:50:51.21 | GuillaumeCharron | APP_v5.J.xlsb | modMenu:HideDevShapesBasedOnUsername = '0,0234 secondes'

2024-12-29 17:50:51.24 | GuillaumeCharron | APP_v5.J.xlsb | modAppli:CodeEssentielDepart = '0,3477 secondes'

2024-12-29 17:51:04.78 | GuillaumeCharron | APP_v5.J.xlsb | modMenu:menuTEC_Click
2024-12-29 17:51:04.84 | GuillaumeCharron | APP_v5.J.xlsb | modMenu:menuTEC_Click = '0,0586 secondes'

2024-12-29 17:51:07.39 | GuillaumeCharron | APP_v5.J.xlsb | modMENU_TEC:TEC_TDB_Click
2024-12-29 17:51:07.43 | GuillaumeCharron | APP_v5.J.xlsb | wshTEC_TDB:Worksheet_Activate
2024-12-29 17:51:07.45 | GuillaumeCharron | APP_v5.J.xlsb | modTEC_TDB:ActualiserTEC_TDB
2024-12-29 17:51:07.46 | GuillaumeCharron | APP_v5.J.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2024-12-29 17:51:07.57 | GuillaumeCharron | APP_v5.J.xlsb | wshTEC_TDB_Data:Worksheet_Change($A$2:$K$3263)
2024-12-29 17:51:07.59 | GuillaumeCharron | APP_v5.J.xlsb | wshTEC_TDB_Data:Worksheet_Change = '0,0234 secondes'

2024-12-29 17:51:07.61 | GuillaumeCharron | APP_v5.J.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = '0,1484 secondes'

2024-12-29 17:51:07.63 | GuillaumeCharron | APP_v5.J.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2024-12-29 17:51:07.80 | GuillaumeCharron | APP_v5.J.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = '0,1719 secondes'

2024-12-29 17:51:07.82 | GuillaumeCharron | APP_v5.J.xlsb | modTEC_TDB:ActualiserTEC_TDB = '0,3750 secondes'

2024-12-29 17:51:07.84 | GuillaumeCharron | APP_v5.J.xlsb | wshTEC_TDB:Worksheet_Activate = '0,4258 secondes'

2024-12-29 17:51:07.87 | GuillaumeCharron | APP_v5.J.xlsb | modMENU_TEC:TEC_TDB_Click = '0,4766 secondes'

2024-12-29 17:51:13.28 | GuillaumeCharron | APP_v5.J.xlsb | modTEC_TDB:ActualiserTEC_TDB
2024-12-29 17:51:13.30 | GuillaumeCharron | APP_v5.J.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2024-12-29 17:51:13.42 | GuillaumeCharron | APP_v5.J.xlsb | wshTEC_TDB_Data:Worksheet_Change($A$2:$K$3263)
2024-12-29 17:51:13.44 | GuillaumeCharron | APP_v5.J.xlsb | wshTEC_TDB_Data:Worksheet_Change = '0,0234 secondes'

2024-12-29 17:51:13.46 | GuillaumeCharron | APP_v5.J.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = '0,1641 secondes'

2024-12-29 17:51:13.48 | GuillaumeCharron | APP_v5.J.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2024-12-29 17:51:13.77 | GuillaumeCharron | APP_v5.J.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = '0,2852 secondes'

2024-12-29 17:51:13.79 | GuillaumeCharron | APP_v5.J.xlsb | modTEC_TDB:ActualiserTEC_TDB = '0,5117 secondes'

2024-12-29 17:51:16.35 | GuillaumeCharron | APP_v5.J.xlsb | modMENU_TEC:SaisieHeures_Click
2024-12-29 17:51:16.40 | GuillaumeCharron | APP_v5.J.xlsb | modMENU_TEC:SaisieHeures_Click = '0,0508 secondes'

2024-12-29 17:51:16.43 | GuillaumeCharron | APP_v5.J.xlsb | ufSaisieHeures:UserForm_Activate
2024-12-29 17:51:16.45 | GuillaumeCharron | APP_v5.J.xlsb | modImport:Client_List_Import_All
2024-12-29 17:51:16.66 | GuillaumeCharron | APP_v5.J.xlsb | modImport:ResizeTable
2024-12-29 17:51:16.68 | GuillaumeCharron | APP_v5.J.xlsb | modImport:ResizeTable = '0,0234 secondes'

2024-12-29 17:51:16.70 | GuillaumeCharron | APP_v5.J.xlsb | modImport:ApplyFormatting
2024-12-29 17:51:16.71 | GuillaumeCharron | APP_v5.J.xlsb | modImport:ApplyFormatting = '0,0195 secondes'

2024-12-29 17:51:16.78 | GuillaumeCharron | APP_v5.J.xlsb | modImport:Client_List_Import_All = '0,3359 secondes'

2024-12-29 17:51:16.80 | GuillaumeCharron | APP_v5.J.xlsb | modImport:TEC_Import_All
2024-12-29 17:51:17.09 | GuillaumeCharron | APP_v5.J.xlsb | modImport:TEC_Import_All = '0,2930 secondes'

2024-12-29 17:51:17.12 | GuillaumeCharron | APP_v5.J.xlsb | ufSaisieHeures:UserForm_Activate = '0,6953 secondes'

2024-12-29 17:51:19.39 | GuillaumeCharron | APP_v5.J.xlsb | modTEC_TDB:ActualiserTEC_TDB
2024-12-29 17:51:19.41 | GuillaumeCharron | APP_v5.J.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2024-12-29 17:51:19.52 | GuillaumeCharron | APP_v5.J.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = '0,1133 secondes'

2024-12-29 17:51:19.55 | GuillaumeCharron | APP_v5.J.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2024-12-29 17:51:19.81 | GuillaumeCharron | APP_v5.J.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = '0,2656 secondes'

2024-12-29 17:51:19.83 | GuillaumeCharron | APP_v5.J.xlsb | modTEC_TDB:ActualiserTEC_TDB = '0,4453 secondes'

2024-12-29 17:51:19.85 | GuillaumeCharron | APP_v5.J.xlsb | modStatsHeures:Stats_Heures_AF
2024-12-29 17:51:20.13 | GuillaumeCharron | APP_v5.J.xlsb | modStatsHeures:Stats_Heures_AF = '0,2773 secondes'

2024-12-29 17:51:20.15 | GuillaumeCharron | APP_v5.J.xlsb | modAppli:UpdatePivotTables
2024-12-29 17:51:20.22 | GuillaumeCharron | APP_v5.J.xlsb | modAppli:UpdatePivotTables = '0,0742 secondes'

2024-12-29 17:51:20.29 | GuillaumeCharron | APP_v5.J.xlsb | ufStatsHeures:UserForm_Initialize
2024-12-29 17:51:20.30 | GuillaumeCharron | APP_v5.J.xlsb | ufStatsHeures:ChargerListBoxAvec52DernieresSemaines
2024-12-29 17:51:20.33 | GuillaumeCharron | APP_v5.J.xlsb | ufStatsHeures:lbxDatesSemaines_Click()
2024-12-29 17:51:20.35 | GuillaumeCharron | APP_v5.J.xlsb | ufStatsHeures:lbxDatesSemaines_Click_or_DblClick()
2024-12-29 17:51:20.38 | GuillaumeCharron | APP_v5.J.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2024-12-29 17:51:20.39 | GuillaumeCharron | APP_v5.J.xlsb | modTEC_TDB:ActualiserTEC_TDB
2024-12-29 17:51:20.41 | GuillaumeCharron | APP_v5.J.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2024-12-29 17:51:20.52 | GuillaumeCharron | APP_v5.J.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = '0,1094 secondes'

2024-12-29 17:51:20.54 | GuillaumeCharron | APP_v5.J.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2024-12-29 17:51:20.73 | GuillaumeCharron | APP_v5.J.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = '0,2031 secondes'

2024-12-29 17:51:20.76 | GuillaumeCharron | APP_v5.J.xlsb | modTEC_TDB:ActualiserTEC_TDB = '0,3672 secondes'

2024-12-29 17:51:20.78 | GuillaumeCharron | APP_v5.J.xlsb | modStatsHeures:Stats_Heures_AF
2024-12-29 17:51:21.04 | GuillaumeCharron | APP_v5.J.xlsb | modStatsHeures:Stats_Heures_AF = '0,2656 secondes'

2024-12-29 17:51:21.06 | GuillaumeCharron | APP_v5.J.xlsb | modAppli:UpdatePivotTables
2024-12-29 17:51:21.12 | GuillaumeCharron | APP_v5.J.xlsb | modAppli:UpdatePivotTables = '0,0625 secondes'

2024-12-29 17:51:21.14 | GuillaumeCharron | APP_v5.J.xlsb | wshTEC_TDB_Data:Worksheet_Change = '0,7656 secondes'

2024-12-29 17:51:21.20 | GuillaumeCharron | APP_v5.J.xlsb | ufStatsHeures:AddColonnesSemaine
2024-12-29 17:51:21.21 | GuillaumeCharron | APP_v5.J.xlsb | ufStatsHeures:AddColonnesSemaine = '0,0234 secondes'

2024-12-29 17:51:21.24 | GuillaumeCharron | APP_v5.J.xlsb | ufStatsHeures:lbxDatesSemaines_Click_or_DblClick = '0,8906 secondes'

2024-12-29 17:51:21.26 | GuillaumeCharron | APP_v5.J.xlsb | ufStatsHeures:lbxDatesSemaines_Click = '0,9336 secondes'

2024-12-29 17:51:21.28 | GuillaumeCharron | APP_v5.J.xlsb | ufStatsHeures:ChargerListBoxAvec52DernieresSemaines = '0,9766 secondes'

2024-12-29 17:51:21.30 | GuillaumeCharron | APP_v5.J.xlsb | ufStatsHeures:AddColonnesSemaine
2024-12-29 17:51:21.32 | GuillaumeCharron | APP_v5.J.xlsb | ufStatsHeures:AddColonnesSemaine = '0,0195 secondes'

2024-12-29 17:51:21.34 | GuillaumeCharron | APP_v5.J.xlsb | ufStatsHeures:AddColonnesMois
2024-12-29 17:51:21.35 | GuillaumeCharron | APP_v5.J.xlsb | ufStatsHeures:AddColonnesMois = '0,0195 secondes'

2024-12-29 17:51:21.37 | GuillaumeCharron | APP_v5.J.xlsb | ufStatsHeures:AddColonnesTrimestre
2024-12-29 17:51:21.39 | GuillaumeCharron | APP_v5.J.xlsb | ufStatsHeures:AddColonnesTrimestre = '0,0195 secondes'

2024-12-29 17:51:21.41 | GuillaumeCharron | APP_v5.J.xlsb | ufStatsHeures:AddColonnesAnneeFinanciere
2024-12-29 17:51:21.43 | GuillaumeCharron | APP_v5.J.xlsb | ufStatsHeures:AddColonnesAnneeFinanciere = '0,0195 secondes'

