User|20240918_085854|Clients_v2.5.xlsm|***** Début de session - Workbook_Open *****|||
User|20240918_085855|Clients_v2.5.xlsm|modMain|CM_Client_List_Import_All||
User|20240918_085856|Clients_v2.5.xlsm|modMain|CM_Apply_Worksheet_Format||
User|20240918_085856|Clients_v2.5.xlsm|modMain|CM_Apply_Worksheet_Format (sortie)|Temps écoulé: 0,1914 secondes|1145
User|20240918_085856|Clients_v2.5.xlsm|modMain|CM_Client_List_Import_All (sortie)|Temps écoulé: 1,4609 secondes|
User|20240918_085856|Clients_v2.5.xlsm|ufClientMF|UserForm_Initialize||
User|20240918_085856|Clients_v2.5.xlsm|modMain|CM_Reset_UserForm||
User|20240918_085856|Clients_v2.5.xlsm|modMain|CM_Add_SearchColumn||
User|20240918_085856|Clients_v2.5.xlsm|ufClientMF|cmbSearchColumn_Change||
User|20240918_085857|Clients_v2.5.xlsm|ufClientMF|cmbSearchColumn_Change (sortie)|Temps écoulé: 0,1094 secondes|Client_ID
User|20240918_085857|Clients_v2.5.xlsm|modMain|CM_Add_SearchColumn (sortie)|Temps écoulé: 0,3008 secondes|
User|20240918_085857|Clients_v2.5.xlsm|modMain|CM_Reset_UserForm (sortie)|Temps écoulé: 0,6367 secondes|1146
User|20240918_085857|Clients_v2.5.xlsm|ufClientMF|UserForm_Initialize (sortie)|Temps écoulé: 0,8262 secondes|
User|20240918_085954|Clients_v2.5.xlsm|ufClientMF|lstDonnées_Click||
User|20240918_085954|Clients_v2.5.xlsm|ufClientMF|lstDonnées_Click (sortie)|Temps écoulé: 0,1387 secondes|
User|20240918_085955|Clients_v2.5.xlsm|ufClientMF|lstDonnées_DblClick||
User|20240918_085955|Clients_v2.5.xlsm|ufClientMF|cmdEdit_Click||
User|20240918_085955|Clients_v2.5.xlsm|modMain|Fn_Selected_List||
User|20240918_085955|Clients_v2.5.xlsm|modMain|Fn_Selected_List (sortie)|Temps écoulé: 0,1172 secondes|
User|20240918_085955|Clients_v2.5.xlsm|modMain|Fn_Selected_List||
User|20240918_085955|Clients_v2.5.xlsm|modMain|Fn_Selected_List (sortie)|Temps écoulé: 0,1230 secondes|
User|20240918_085955|Clients_v2.5.xlsm|ufClientMF|cmdEdit_Click (sortie)|Temps écoulé: 0,5273 secondes|9006-7554 Québec Inc. [Dooly's Chateauguay]
User|20240918_085955|Clients_v2.5.xlsm|ufClientMF|lstDonnées_DblClick (sortie)|Temps écoulé: 0,7285 secondes|
User|20240918_085959|Clients_v2.5.xlsm|ufClientMF|lstDonnées_Click||
User|20240918_085959|Clients_v2.5.xlsm|ufClientMF|lstDonnées_Click (sortie)|Temps écoulé: 0,1133 secondes|
User|20240918_085959|Clients_v2.5.xlsm|ufClientMF|lstDonnées_DblClick||
User|20240918_085959|Clients_v2.5.xlsm|ufClientMF|cmdEdit_Click||
User|20240918_085959|Clients_v2.5.xlsm|modMain|Fn_Selected_List||
User|20240918_085959|Clients_v2.5.xlsm|modMain|Fn_Selected_List (sortie)|Temps écoulé: 0,1191 secondes|
User|20240918_085959|Clients_v2.5.xlsm|modMain|Fn_Selected_List||
User|20240918_085959|Clients_v2.5.xlsm|modMain|Fn_Selected_List (sortie)|Temps écoulé: 0,1191 secondes|
User|20240918_085959|Clients_v2.5.xlsm|ufClientMF|cmdEdit_Click (sortie)|Temps écoulé: 0,5215 secondes|11117688 Canada Inc. [Sina Construction]
User|20240918_085959|Clients_v2.5.xlsm|ufClientMF|lstDonnées_DblClick (sortie)|Temps écoulé: 0,7207 secondes|
User|20240918_090002|Clients_v2.5.xlsm|ufClientMF|lstDonnées_Click||
User|20240918_090002|Clients_v2.5.xlsm|ufClientMF|lstDonnées_Click (sortie)|Temps écoulé: 0,1270 secondes|
User|20240918_090002|Clients_v2.5.xlsm|ufClientMF|lstDonnées_DblClick||
User|20240918_090002|Clients_v2.5.xlsm|ufClientMF|cmdEdit_Click||
User|20240918_090002|Clients_v2.5.xlsm|modMain|Fn_Selected_List||
User|20240918_090002|Clients_v2.5.xlsm|modMain|Fn_Selected_List (sortie)|Temps écoulé: 0,1191 secondes|
User|20240918_090002|Clients_v2.5.xlsm|modMain|Fn_Selected_List||
User|20240918_090002|Clients_v2.5.xlsm|modMain|Fn_Selected_List (sortie)|Temps écoulé: 0,1191 secondes|
User|20240918_090003|Clients_v2.5.xlsm|ufClientMF|cmdEdit_Click (sortie)|Temps écoulé: 0,5156 secondes|Assurancia Mongeau Poirier Inc. [Isabelle Mongeau]
User|20240918_090003|Clients_v2.5.xlsm|ufClientMF|lstDonnées_DblClick (sortie)|Temps écoulé: 0,7129 secondes|
User|20240918_090005|Clients_v2.5.xlsm|ufClientMF|lstDonnées_Click||
User|20240918_090006|Clients_v2.5.xlsm|ufClientMF|lstDonnées_Click (sortie)|Temps écoulé: 0,1621 secondes|
User|20240918_090006|Clients_v2.5.xlsm|ufClientMF|lstDonnées_DblClick||
User|20240918_090006|Clients_v2.5.xlsm|ufClientMF|cmdEdit_Click||
User|20240918_090006|Clients_v2.5.xlsm|modMain|Fn_Selected_List||
User|20240918_090006|Clients_v2.5.xlsm|modMain|Fn_Selected_List (sortie)|Temps écoulé: 0,1133 secondes|
User|20240918_090006|Clients_v2.5.xlsm|modMain|Fn_Selected_List||
User|20240918_090006|Clients_v2.5.xlsm|modMain|Fn_Selected_List (sortie)|Temps écoulé: 0,1152 secondes|
User|20240918_090006|Clients_v2.5.xlsm|ufClientMF|cmdEdit_Click (sortie)|Temps écoulé: 0,5000 secondes|Le Groupe Ultragen Ltée [Khac Trong Truong]
User|20240918_090006|Clients_v2.5.xlsm|ufClientMF|lstDonnées_DblClick (sortie)|Temps écoulé: 0,7168 secondes|
User|20240918_090009|Clients_v2.5.xlsm|ufClientMF|lstDonnées_Click||
User|20240918_090009|Clients_v2.5.xlsm|ufClientMF|lstDonnées_Click (sortie)|Temps écoulé: 0,1250 secondes|
User|20240918_090009|Clients_v2.5.xlsm|ufClientMF|lstDonnées_DblClick||
User|20240918_090009|Clients_v2.5.xlsm|ufClientMF|cmdEdit_Click||
User|20240918_090009|Clients_v2.5.xlsm|modMain|Fn_Selected_List||
User|20240918_090009|Clients_v2.5.xlsm|modMain|Fn_Selected_List (sortie)|Temps écoulé: 0,1113 secondes|
User|20240918_090010|Clients_v2.5.xlsm|modMain|Fn_Selected_List||
User|20240918_090010|Clients_v2.5.xlsm|modMain|Fn_Selected_List (sortie)|Temps écoulé: 0,1230 secondes|
User|20240918_090010|Clients_v2.5.xlsm|ufClientMF|cmdEdit_Click (sortie)|Temps écoulé: 0,5195 secondes|Bureau Vétérinaire Griffintown Inc. [Marie-Hélène Tétreault]
User|20240918_090010|Clients_v2.5.xlsm|ufClientMF|lstDonnées_DblClick (sortie)|Temps écoulé: 0,7070 secondes|
User|20240918_090012|Clients_v2.5.xlsm|ufClientMF|lstDonnées_Click||
User|20240918_090012|Clients_v2.5.xlsm|ufClientMF|lstDonnées_Click (sortie)|Temps écoulé: 0,1289 secondes|
User|20240918_090012|Clients_v2.5.xlsm|ufClientMF|lstDonnées_DblClick||
User|20240918_090012|Clients_v2.5.xlsm|ufClientMF|cmdEdit_Click||
User|20240918_090012|Clients_v2.5.xlsm|modMain|Fn_Selected_List||
User|20240918_090012|Clients_v2.5.xlsm|modMain|Fn_Selected_List (sortie)|Temps écoulé: 0,1133 secondes|
User|20240918_090012|Clients_v2.5.xlsm|modMain|Fn_Selected_List||
User|20240918_090012|Clients_v2.5.xlsm|modMain|Fn_Selected_List (sortie)|Temps écoulé: 0,1055 secondes|
User|20240918_090013|Clients_v2.5.xlsm|ufClientMF|cmdEdit_Click (sortie)|Temps écoulé: 0,4941 secondes|Services Juridiques Amélie Thériault Inc. [Amélie Thériault]
User|20240918_090013|Clients_v2.5.xlsm|ufClientMF|lstDonnées_DblClick (sortie)|Temps écoulé: 0,7031 secondes|
User|20240918_090018|Clients_v2.5.xlsm|ufClientMF|lstDonnées_Click||
User|20240918_090018|Clients_v2.5.xlsm|ufClientMF|lstDonnées_Click (sortie)|Temps écoulé: 0,1484 secondes|
User|20240918_090019|Clients_v2.5.xlsm|ufClientMF|lstDonnées_DblClick||
User|20240918_090019|Clients_v2.5.xlsm|ufClientMF|cmdEdit_Click||
