2024-10-02 10:54:12 | vgervais | @0137 | ufSaisieHeures | cmbProfessionnel_AfterUpdate | wshAdmin.Range("TEC_Date").value = '' | type = Empty
2024-10-02 10:54:21 | vgervais | @0171 | ufSaisieHeures | txtDate_BeforeUpdate | ufSaisieHeures.txtDate.value = '10-01-2024' | type = String
2024-10-02 10:54:21 | vgervais | @0173 | ufSaisieHeures | txtDate_BeforeUpdate | fullDate = '2024-10-01' | type = Date
2024-10-02 10:54:22 | vgervais | @0189 | ufSaisieHeures | txtDate_BeforeUpdate | fullDate = '2024-10-01' | type = Date
2024-10-02 10:54:22 | vgervais | @0190 | ufSaisieHeures | txtDate_BeforeUpdate | DateSerial = '2024-10-02' | Vrai
2024-10-02 10:54:22 | vgervais | @0214 | ufSaisieHeures | txtDate_AfterUpdate | ufSaisieHeures.txtDate.value = '01/10/2024' | type = String
2024-10-02 10:54:22 | vgervais | @0222 | ufSaisieHeures | txtDate_AfterUpdate | dateStr = '01/10/2024' | type = String
2024-10-02 10:54:22 | vgervais | @0224 | ufSaisieHeures | txtDate_AfterUpdate | dateFormated = '2024-01-10' | type = Date
2024-10-02 10:54:22 | vgervais | @0226 | ufSaisieHeures | txtDate_AfterUpdate | wshAdmin.Range("TEC_Date").value = '2024-01-10' | type = Date
2024-10-02 10:54:22 | vgervais | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '2024-01-10' | type = Date
2024-10-02 10:54:22 | vgervais | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '2024-01-10' | type = Date
2024-10-02 10:54:37 | vgervais | @0319 | modTEC_Saisie | TEC_Record_Add_Or_Update_To_DB | dateValue = '2024-01-10' | type = Date
2024-10-02 10:54:37 | vgervais | @0513 | modTEC_Saisie | TEC_Record_Add_Or_Update_Locally | dateValue = '2024-01-10' | type = Date
2024-10-02 10:54:39 | vgervais | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '2024-01-10' | type = Date
2024-10-02 10:54:39 | vgervais | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '2024-01-10' | type = Date
2024-10-02 10:54:46 | vgervais | @0319 | modTEC_Saisie | TEC_Record_Add_Or_Update_To_DB | dateValue = '2024-01-10' | type = Date
2024-10-02 10:54:47 | vgervais | @0513 | modTEC_Saisie | TEC_Record_Add_Or_Update_Locally | dateValue = '2024-01-10' | type = Date
2024-10-02 10:54:48 | vgervais | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '2024-01-10' | type = Date
2024-10-02 10:54:48 | vgervais | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '2024-01-10' | type = Date
2024-10-02 10:54:51 | vgervais | @0319 | modTEC_Saisie | TEC_Record_Add_Or_Update_To_DB | dateValue = '2024-01-10' | type = Date
2024-10-02 10:54:51 | vgervais | @0513 | modTEC_Saisie | TEC_Record_Add_Or_Update_Locally | dateValue = '2024-01-10' | type = Date
2024-10-02 10:54:52 | vgervais | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '2024-01-10' | type = Date
2024-10-02 10:54:52 | vgervais | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '2024-01-10' | type = Date
2024-10-02 10:54:56 | vgervais | @0319 | modTEC_Saisie | TEC_Record_Add_Or_Update_To_DB | dateValue = '2024-01-10' | type = Date
2024-10-02 10:54:56 | vgervais | @0513 | modTEC_Saisie | TEC_Record_Add_Or_Update_Locally | dateValue = '2024-01-10' | type = Date
2024-10-02 10:54:57 | vgervais | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '2024-01-10' | type = Date
2024-10-02 10:54:57 | vgervais | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '2024-01-10' | type = Date
2024-10-02 10:56:41 | vgervais | @0171 | ufSaisieHeures | txtDate_BeforeUpdate | ufSaisieHeures.txtDate.value = '2024-10-01' | type = String
2024-10-02 10:56:41 | vgervais | @0173 | ufSaisieHeures | txtDate_BeforeUpdate | fullDate = '2024-10-01' | type = Date
2024-10-02 10:56:41 | vgervais | @0189 | ufSaisieHeures | txtDate_BeforeUpdate | fullDate = '2024-10-01' | type = Date
2024-10-02 10:56:41 | vgervais | @0190 | ufSaisieHeures | txtDate_BeforeUpdate | DateSerial = '2024-10-02' | Vrai
2024-10-02 10:56:41 | vgervais | @0214 | ufSaisieHeures | txtDate_AfterUpdate | ufSaisieHeures.txtDate.value = '2024-10-01' | type = String
2024-10-02 10:56:41 | vgervais | @0222 | ufSaisieHeures | txtDate_AfterUpdate | dateStr = '2024-10-01' | type = String
