2024-10-04 05:44:33.8100 | Guillaume | ADD    | 1484 | GC | 04/10/24 | 1731 | Les Toitures C.B.C. Inc. [Francis Bélanger] | réponmdre aux diverses questions de Katie sur les chèques et réception des chèques | 0,75 | VRAI |  | 2024-10-04 05:44:33 | 31
2024-10-04 07:50:10.2600 | vgervais | ADD    | 1485 | VG | 2024-03-10 | 1448 | 9055-4627 Québec Inc. [Guillaume Bruneau-Côté] | Suivi avec Guillaume pour mémo à fauire | 0,20 | VRAI |  | 2024-10-04 07:50:10 | 31
2024-10-04 07:52:31.6900 | vgervais | ADD    | 1486 | VG | 2024-03-10 | 1771 | L C Combustion Inc. [Christian Laroche] | SUivi avec Guillaume (rappel courtier) | 0,20 | VRAI |  | 2024-10-04 07:52:31 | 31
2024-10-04 07:54:54.7300 | vgervais | ADD    | 1487 | VG | 2024-04-10 | 5 | z_Adiministratif_Autres non chargeables | Divers suivis  | 0,70 | VRAI |  | 2024-10-04 07:54:54 | 31
2024-10-04 08:05:27.4500 | vgervais | ADD    | 1488 | VG | 2024-10-04 | 5 | z_Adiministratif_Autres non chargeables | Suivi + arranger feuille de temps +plan du jours | 0,70 | FAUX |  | 2024-10-04 08:05:27 | 31
2024-10-04 09:19:50.3800 | vgervais | ADD    | 1489 | VG | 2024-10-04 | 1785 | 9172-2264 Québec Inc. [Technologies MFG] | Discussion avec Virginie | 0,30 | VRAI |  | 2024-10-04 09:19:50 | 31
2024-10-04 09:22:30.1700 | vgervais | ADD    | 1490 | VG | 2024-10-04 | 1757 | Messier & Associé, s.e.n.c.r.l. [Alain Bélanger] | RÉvision avant remise | 1,00 | VRAI |  | 2024-10-04 09:22:30 | 31
2024-10-04 09:22:43.2000 | vgervais | UPDATE | 1488 | VG | 2024-10-04 | 5 | z_Adiministratif_Autres non chargeables | Suivi + arranger feuille de temps +plan du jours | 0,80 | FAUX |  | 2024-10-04 09:22:43 | 31
2024-10-04 10:05:19.4800 | vgervais | UPDATE | 1489 | VG | 2024-10-04 | 1785 | 9172-2264 Québec Inc. [Technologies MFG] | Discussion avec Virginie | 0,80 | VRAI |  | 2024-10-04 10:05:19 | 31
2024-10-04 10:05:41.1400 | vgervais | UPDATE | 1488 | VG | 2024-10-04 | 5 | z_Adiministratif_Autres non chargeables | Suivi + arranger feuille de temps +plan du jours + lecture sommaire (retrait forcé) | 1,10 | FAUX |  | 2024-10-04 10:05:41 | 31
2024-10-04 10:26:20.9900 | vgervais | ADD    | 1491 | VG | 2024-10-04 | 156 | Laurent Harvey, CPA Inc. | Discussion pour avis de cotisation envoyé à moi par erreur | 0,20 | VRAI |  | 2024-10-04 10:26:20 | 31
2024-10-04 10:26:34.6500 | vgervais | UPDATE | 1489 | VG | 2024-10-04 | 1785 | 9172-2264 Québec Inc. [Technologies MFG] | Discussion avec Virginie | 0,90 | VRAI |  | 2024-10-04 10:26:34 | 31
2024-10-04 10:46:40.4000 | vgervais | ADD    | 1492 | VG | 2024-10-04 | 1709 | Concept P.O.S. Inc. [Mathieu St-Germain] | Suivi avec Mathieu pour dividende | 0,30 | VRAI |  | 2024-10-04 10:46:40 | 31
