2024-10-04 05:43:54.4600 | Guillaume | @0137 | ufSaisieHeures | cmbProfessionnel_AfterUpdate | wshAdmin.Range("TEC_Date").value = '' | type = Empty | 31
2024-10-04 05:43:56.9500 | Guillaume | @0171 | ufSaisieHeures | txtDate_BeforeUpdate | ufSaisieHeures.txtDate.value = '04/10/24' | type = String | 31
2024-10-04 05:43:57.1100 | Guillaume | @0173 | ufSaisieHeures | txtDate_BeforeUpdate | fullDate = '04/10/24' | type = Date | 31
2024-10-04 05:43:57.1800 | Guillaume | @0189 | ufSaisieHeures | txtDate_BeforeUpdate | fullDate = '04/10/24' | type = Date | 31
2024-10-04 05:43:57.2500 | Guillaume | @0190 | ufSaisieHeures | txtDate_BeforeUpdate | DateSerial = '04/10/24' | Vrai | 31
2024-10-04 05:43:57.4700 | Guillaume | @0214 | ufSaisieHeures | txtDate_AfterUpdate | ufSaisieHeures.txtDate.value = '04/10/24' | type = String | 31
2024-10-04 05:43:57.5500 | Guillaume | @0222 | ufSaisieHeures | txtDate_AfterUpdate | dateStr = '04/10/24' | type = String | 31
2024-10-04 05:43:57.6200 | Guillaume | @0224 | ufSaisieHeures | txtDate_AfterUpdate | dateFormated = '04/10/24' | type = Date | 31
2024-10-04 05:43:57.7200 | Guillaume | @0226 | ufSaisieHeures | txtDate_AfterUpdate | wshAdmin.Range("TEC_Date").value = '04/10/24' | type = Date | 31
2024-10-04 05:43:57.8800 | Guillaume | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '04/10/24' | type = Date | 31
2024-10-04 05:43:57.9600 | Guillaume | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '04/10/24' | type = Date | 31
2024-10-04 05:44:32.3800 | Guillaume | @0029 | modTEC_Saisie | TEC_Ajoute_Ligne | ufSaisieHeures.txtDate.value = '04/10/24' | type = String | 31
2024-10-04 05:44:32.4600 | Guillaume | @0033 | modTEC_Saisie | TEC_Ajoute_Ligne | ***** - y = 2024, m = 10, d = 4 | type = String | 31
2024-10-04 05:44:32.5300 | Guillaume | @0042 | modTEC_Saisie | TEC_Ajoute_Ligne | ufSaisieHeures.txtDate.value = '04/10/24' | type = String | 31
2024-10-04 05:44:33.2900 | Guillaume | @0319 | modTEC_Saisie | TEC_Record_Add_Or_Update_To_DB | dateValue = '04/10/24' | type = Date | 31
2024-10-04 05:44:34.3400 | Guillaume | @0513 | modTEC_Saisie | TEC_Record_Add_Or_Update_Locally | dateValue = '04/10/24' | type = Date | 31
2024-10-04 05:44:34.6000 | Guillaume | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '04/10/24' | type = Date | 31
2024-10-04 05:44:34.6800 | Guillaume | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '04/10/24' | type = Date | 31
2024-10-04 06:26:46.1500 | Guillaume | @0137 | ufSaisieHeures | cmbProfessionnel_AfterUpdate | wshAdmin.Range("TEC_Date").value = '' | type = Empty | 31
2024-10-04 06:26:46.7500 | Guillaume | @0171 | ufSaisieHeures | txtDate_BeforeUpdate | ufSaisieHeures.txtDate.value = '04/10/24' | type = String | 31
2024-10-04 06:26:46.9100 | Guillaume | @0173 | ufSaisieHeures | txtDate_BeforeUpdate | fullDate = '04/10/24' | type = Date | 31
2024-10-04 06:26:46.9800 | Guillaume | @0189 | ufSaisieHeures | txtDate_BeforeUpdate | fullDate = '04/10/24' | type = Date | 31
2024-10-04 06:26:47.0600 | Guillaume | @0190 | ufSaisieHeures | txtDate_BeforeUpdate | DateSerial = '04/10/24' | Vrai | 31
2024-10-04 06:26:47.2800 | Guillaume | @0214 | ufSaisieHeures | txtDate_AfterUpdate | ufSaisieHeures.txtDate.value = '04/10/24' | type = String | 31
2024-10-04 06:26:47.3600 | Guillaume | @0222 | ufSaisieHeures | txtDate_AfterUpdate | dateStr = '04/10/24' | type = String | 31
2024-10-04 06:26:47.4400 | Guillaume | @0224 | ufSaisieHeures | txtDate_AfterUpdate | dateFormated = '04/10/24' | type = Date | 31
2024-10-04 06:26:47.5300 | Guillaume | @0226 | ufSaisieHeures | txtDate_AfterUpdate | wshAdmin.Range("TEC_Date").value = '04/10/24' | type = Date | 31
2024-10-04 06:26:47.6900 | Guillaume | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '04/10/24' | type = Date | 31
2024-10-04 06:26:47.7700 | Guillaume | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '04/10/24' | type = Date | 31
2024-10-04 07:43:09.6400 | vgervais | @0137 | ufSaisieHeures | cmbProfessionnel_AfterUpdate | wshAdmin.Range("TEC_Date").value = '' | type = Empty | 31
2024-10-04 07:43:13.1600 | vgervais | @0171 | ufSaisieHeures | txtDate_BeforeUpdate | ufSaisieHeures.txtDate.value = '2024-10-0' | type = String | 31
2024-10-04 07:43:13.2200 | vgervais | @0173 | ufSaisieHeures | txtDate_BeforeUpdate | fullDate = 'Invalid Date' | type = String | 31
2024-10-04 07:43:19.6600 | vgervais | @0171 | ufSaisieHeures | txtDate_BeforeUpdate | ufSaisieHeures.txtDate.value = '2024-10-03' | type = String | 31
2024-10-04 07:43:19.7200 | vgervais | @0173 | ufSaisieHeures | txtDate_BeforeUpdate | fullDate = '2024-10-03' | type = Date | 31
2024-10-04 07:43:19.7500 | vgervais | @0189 | ufSaisieHeures | txtDate_BeforeUpdate | fullDate = '2024-10-03' | type = Date | 31
2024-10-04 07:43:19.7800 | vgervais | @0190 | ufSaisieHeures | txtDate_BeforeUpdate | DateSerial = '2024-10-04' | Vrai | 31
2024-10-04 07:43:19.8600 | vgervais | @0214 | ufSaisieHeures | txtDate_AfterUpdate | ufSaisieHeures.txtDate.value = '2024-10-03' | type = String | 31
