
2024-10-09 05:27:19.660 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:UserForm_Initialize @00091 | 31

2024-10-09 05:27:19.700 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:UserForm_Activate @00014 | 31

2024-10-09 05:27:20.550 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-09 05:27:20.570 | GuillaumeCharron | info      | @00835 - Paramètres : add = Faux  update = Faux  delete = Faux  clear = Faux | 31

2024-10-09 05:27:30.040 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:cmbProfessionnel_AfterUpdate @00136 | 31

2024-10-09 05:27:30.110 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:txtDate_Enter @00172 | 31
2024-10-09 05:27:30.130 | GuillaumeCharron | info      | @00178 - .txtDate.value = 09/10/2024   y = 2024   m = 10   d = 9 | 31

2024-10-09 05:27:30.560 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:txtDate_BeforeUpdate @00187 | 31
2024-10-09 05:27:30.600 | GuillaumeCharron | info      | @00193 - .txtDate.value = 09/10/2024   y = 2024   m = 10   d = 9   type = String | 31
2024-10-09 05:27:30.630 | GuillaumeCharron | info      | @00199 - fullDate = 09/10/24   y = 2024   m = 10   d = 9   type = Date | 31
2024-10-09 05:27:30.650 | GuillaumeCharron | info      | @00223 - fullDate = 09/10/24   y = 2024   m = 10   d = 9   type = Date | 31
2024-10-09 05:27:30.680 | GuillaumeCharron | info      | @00228 - DateSerial = 09/10/24   y = 2024   m = 10   d = 9   type = Date | 31

2024-10-09 05:27:30.720 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:txtDate_AfterUpdate @00265 | 31
2024-10-09 05:27:30.750 | GuillaumeCharron | event     | @00269 - .txtDate.value =  = 09/10/2024   y = 2024   m = 10   d = 9   type = String | 31
2024-10-09 05:27:30.760 | GuillaumeCharron | info      | @00277 - dateStr =  = 09/10/2024   y = 2024   m = 10   d = 9   type = String   après assignation | 31
2024-10-09 05:27:30.780 | GuillaumeCharron | info      | @00284 - dateFormated =  = 09/10/24   y = 2024   m = 10   d = 9   type = Date   après assignation | 31
2024-10-09 05:27:30.800 | GuillaumeCharron | info      | @00291 - wshAdmin.Range('TEC_Date').value =  = 09/10/24   y = 2024   m = 10   d = 9   type = Date   après assignation | 31

2024-10-09 05:27:30.820 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:TEC_Get_All_TEC_AF @00190 | 31
2024-10-09 05:27:30.870 | GuillaumeCharron | info      | @00203 - wshAdmin.Range('TEC_Date').value = 09/10/24   type = Date | 31
2024-10-09 05:27:30.890 | GuillaumeCharron | info      | @00206 - wshTEC_Local.Range('S3').value = 09/10/24   type = Date après assignation | 31

2024-10-09 05:27:31.010 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours @00621 | 31

2024-10-09 05:27:31.060 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:txtClient_Enter @00323 | 31

2024-10-09 05:28:00.110 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:txtClient_AfterUpdate @00333 | 31

2024-10-09 05:28:00.150 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
