2024-10-29 07:50:35.25 | robertmv | APP_v5.C.1.xlsb | ***** Début d'une nouvelle session (Workbook_Open) ***** |  | 31
2024-10-29 07:50:35.28 | robertmv | APP_v5.C.1.xlsb | ThisWorkbook:Create_User_Active_File |  | 31
2024-10-29 07:50:35.31 | robertmv | APP_v5.C.1.xlsb | ThisWorkbook:Create_User_Active_File | 0,0332 sec. | 31

2024-10-29 07:50:35.35 | robertmv | APP_v5.C.1.xlsb | ThisWorkbook:BackupMasterFile |  | 31
2024-10-29 07:50:35.90 | robertmv | APP_v5.C.1.xlsb |    ThisWorkbook:BackupMasterFile - La variable masterWorkbook est initialisée |  | 31
2024-10-29 07:50:36.06 | robertmv | APP_v5.C.1.xlsb |    ThisWorkbook:BackupMasterFile - La copie est réussie |  | 31
2024-10-29 07:50:36.15 | robertmv | APP_v5.C.1.xlsb |    ThisWorkbook:BackupMasterFile - Le fichier masterWorkbook est fermé |  | 31
2024-10-29 07:50:36.17 | robertmv | APP_v5.C.1.xlsb | ThisWorkbook:BackupMasterFile | 0,8281 sec. | 31

2024-10-29 07:50:36.19 | robertmv | APP_v5.C.1.xlsb | modMenu:Hide_Dev_Shapes_Based_On_Username |  | 31
2024-10-29 07:50:36.21 | robertmv | APP_v5.C.1.xlsb | modMenu:Hide_Dev_Shapes_Based_On_Username | 0,0234 sec. | 31

2024-10-29 07:50:36.27 | robertmv | APP_v5.C.1.xlsb | modAppli:Write_Info_On_Main_Menu |  | 31
2024-10-29 07:50:36.37 | robertmv | APP_v5.C.1.xlsb | modAppli:Write_Info_On_Main_Menu | 0,1074 sec. | 31

2024-10-29 07:50:36.51 | robertmv | APP_v5.C.1.xlsb | ThisWorkbook:Workbook_Open | 1,2656 sec. | 31

2024-10-29 07:50:46.44 | robertmv | APP_v5.C.1.xlsb | wshTEC_Analyse:Worksheet_Activate |  | 31
2024-10-29 07:50:46.46 | robertmv | APP_v5.C.1.xlsb | modImport:Client_List_Import_All |  | 31
2024-10-29 07:50:46.69 | robertmv | APP_v5.C.1.xlsb |      modImport:Client_List_Import_All - Le .CopyFromRecordSet est complétée |  | 31
2024-10-29 07:50:46.79 | robertmv | APP_v5.C.1.xlsb |      modImport:Client_List_Import_All - La mise en forme a été appliquée |  | 31
2024-10-29 07:50:46.90 | robertmv | APP_v5.C.1.xlsb | modImport:Client_List_Import_All | 0,4375 sec. | 31

2024-10-29 07:50:46.92 | robertmv | APP_v5.C.1.xlsb | modImport:TEC_Import_All |  | 31
2024-10-29 07:50:47.14 | robertmv | APP_v5.C.1.xlsb |      modImport:TEC_Import_All - Le .CopyFromRecordSet est complétée |  | 31
2024-10-29 07:50:47.53 | robertmv | APP_v5.C.1.xlsb |      modImport:TEC_Import_All - La mise en forme a été appliquée |  | 31
2024-10-29 07:50:47.60 | robertmv | APP_v5.C.1.xlsb | modImport:TEC_Import_All | 0,6777 sec. | 31

2024-10-29 07:50:47.61 | robertmv | APP_v5.C.1.xlsb | modImport:FAC_Projets_Détails_Import_All |  | 31
2024-10-29 07:50:47.68 | robertmv | APP_v5.C.1.xlsb |      modImport:FAC_Projets_Détails_Import_All - Le .CopyFromRecordSet est complétée |  | 31
2024-10-29 07:50:47.71 | robertmv | APP_v5.C.1.xlsb |      modImport:FAC_Projets_Détails_Import_All - La mise en forme a été appliquée |  | 31
2024-10-29 07:50:47.77 | robertmv | APP_v5.C.1.xlsb | modImport:FAC_Projets_Détails_Import_All | 0,1562 sec. | 31

2024-10-29 07:50:47.79 | robertmv | APP_v5.C.1.xlsb | modImport:FAC_Projets_Entête_Import_All |  | 31
2024-10-29 07:50:47.85 | robertmv | APP_v5.C.1.xlsb |      modImport:FAC_Projets_Entête_Import_All - Le .CopyFromRecordSet est complétée |  | 31
2024-10-29 07:50:47.88 | robertmv | APP_v5.C.1.xlsb |      modImport:FAC_Projets_Entête_Import_All - La mise en forme a été appliquée |  | 31
2024-10-29 07:50:47.93 | robertmv | APP_v5.C.1.xlsb | modImport:FAC_Projets_Entête_Import_All | 0,1387 sec. | 31

2024-10-29 07:50:47.97 | robertmv | APP_v5.C.1.xlsb | modTEC_Saisie_Analyse:TEC_Sort_Group_And_Subtotal |  | 31
2024-10-29 07:50:49.53 | robertmv | APP_v5.C.1.xlsb |      modTEC_Saisie_Analyse:TEC_Sort_Group_And_Subtotal - Les anciens SubTotal ont été effacés |  | 31
2024-10-29 07:50:49.55 | robertmv | APP_v5.C.1.xlsb |      modTEC_Saisie_Analyse:TEC_Sort_Group_And_Subtotal - La zone A5:I635 a été effacée |  | 31
2024-10-29 07:50:49.60 | robertmv | APP_v5.C.1.xlsb |      modTEC_Saisie_Analyse:TEC_Sort_Group_And_Subtotal - Le dictClients a été créé |  | 31
2024-10-29 07:50:49.73 | robertmv | APP_v5.C.1.xlsb |      modTEC_Saisie_Analyse:TEC_Sort_Group_And_Subtotal - ProgressBar @ 15 % |  | 31
2024-10-29 07:50:49.81 | robertmv | APP_v5.C.1.xlsb |      modTEC_Saisie_Analyse:TEC_Sort_Group_And_Subtotal - ProgressBar @ 20 % |  | 31
2024-10-29 07:50:49.83 | robertmv | APP_v5.C.1.xlsb |      modTEC_Saisie_Analyse:TEC_Sort_Group_And_Subtotal - On doit lire 2016 lignes dans TEC_Local |  | 31
2024-10-29 07:50:54.09 | robertmv | APP_v5.C.1.xlsb |      modTEC_Saisie_Analyse:TEC_Sort_Group_And_Subtotal - Toutes les lignes ont été lues de TEC_Local |  | 31
2024-10-29 07:50:54.18 | robertmv | APP_v5.C.1.xlsb |      modTEC_Saisie_Analyse:TEC_Sort_Group_And_Subtotal - ProgressBar @ 45 % |  | 31
2024-10-29 07:50:54.21 | robertmv | APP_v5.C.1.xlsb |      modTEC_Saisie_Analyse:TEC_Sort_Group_And_Subtotal - Les données sont triées |  | 31
2024-10-29 07:50:54.30 | robertmv | APP_v5.C.1.xlsb |      modTEC_Saisie_Analyse:TEC_Sort_Group_And_Subtotal - ProgressBar @ 60 % (dernière étape avant le GroupBy... |  | 31
2024-10-29 07:50:55.72 | robertmv | APP_v5.C.1.xlsb |      modTEC_Saisie_Analyse:TEC_Sort_Group_And_Subtotal - Le GroupBy est complété |  | 31
2024-10-29 07:50:55.75 | robertmv | APP_v5.C.1.xlsb |      modTEC_Saisie_Analyse:TEC_Sort_Group_And_Subtotal - Le 'ShowLevels est ajusté à 2 |  | 31
2024-10-29 07:50:55.88 | robertmv | APP_v5.C.1.xlsb |      modTEC_Saisie_Analyse:TEC_Sort_Group_And_Subtotal - ProgressBar @ 75 % |  | 31
2024-10-29 07:50:56.20 | robertmv | APP_v5.C.1.xlsb |      modTEC_Saisie_Analyse:TEC_Sort_Group_And_Subtotal - Les ajustements de format ont été complétés |  | 31
2024-10-29 07:50:56.30 | robertmv | APP_v5.C.1.xlsb |      modTEC_Saisie_Analyse:TEC_Sort_Group_And_Subtotal - ProgressBar @ 85 % |  | 31
2024-10-29 07:50:56.35 | robertmv | APP_v5.C.1.xlsb |      modTEC_Saisie_Analyse:TEC_Sort_Group_And_Subtotal - La mise en forme conditionnelle est en place |  | 31
2024-10-29 07:50:56.37 | robertmv | APP_v5.C.1.xlsb |      modTEC_Saisie_Analyse:TEC_Sort_Group_And_Subtotal - Obtenir les requêtes de factures existantes |  | 31
2024-10-29 07:50:56.39 | robertmv | APP_v5.C.1.xlsb |      modTEC_Saisie_Analyse:TEC_Sort_Group_And_Subtotal - Nettoyage de la zone 'Sommaire' est nettoyée |  | 31
2024-10-29 07:50:56.40 | robertmv | APP_v5.C.1.xlsb |      modTEC_Saisie_Analyse:TEC_Sort_Group_And_Subtotal - ProgressBar @ 95 % |  | 31
2024-10-29 07:50:57.11 | robertmv | APP_v5.C.1.xlsb |      modTEC_Saisie_Analyse:TEC_Sort_Group_And_Subtotal - Les ProgressBar sont éliminées |  | 31
2024-10-29 07:50:57.13 | robertmv | APP_v5.C.1.xlsb |      modTEC_Saisie_Analyse:TEC_Sort_Group_And_Subtotal - La zone de 'Scroll' commence sur la ligne 7 |  | 31
2024-10-29 07:50:57.15 | robertmv | APP_v5.C.1.xlsb | modTEC_Saisie_Analyse:TEC_Sort_Group_And_Subtotal | 9,1777 sec. | 31

2024-10-29 07:50:57.17 | robertmv | APP_v5.C.1.xlsb | modDev_Utils:SetTabOrder(wshTEC_Analyse) |  | 31
2024-10-29 07:50:57.62 | robertmv | APP_v5.C.1.xlsb | modDev_Utils:SetTabOrder | 0,4512 sec. | 31

2024-10-29 07:50:57.70 | robertmv | APP_v5.C.1.xlsb | wshTEC_Analyse:Worksheet_Activate | 11,2637 sec. | 31

2024-10-29 07:51:05.28 | robertmv | APP_v5.C.1.xlsb | wshTEC_Analyse:Back_To_TEC_Menu |  | 31
2024-10-29 07:51:05.36 | robertmv | APP_v5.C.1.xlsb |      wshTEC_Analyse:Back_To_TEC_Menu - La zone Sommaire des Honoraires a été nettoyée |  | 31
2024-10-29 07:51:05.44 | robertmv | APP_v5.C.1.xlsb | wshTEC_Analyse:Back_To_TEC_Menu | 0,1680 sec. | 31

2024-10-29 07:51:07.47 | robertmv | APP_v5.C.1.xlsb | modAppli:Hide_All_Worksheets_Except_Menu |  | 31
2024-10-29 07:51:07.51 | robertmv | APP_v5.C.1.xlsb | modAppli:Hide_All_Worksheets_Except_Menu | 0,0430 sec. | 31

2024-10-29 07:53:56.54 | robertmv | APP_v5.C.1.xlsb | modAppli:Hide_All_Worksheets_Except_Menu |  | 31
2024-10-29 07:53:56.58 | robertmv | APP_v5.C.1.xlsb | modAppli:Hide_All_Worksheets_Except_Menu | 0,0410 sec. | 31

2024-10-29 07:53:56.60 | robertmv | APP_v5.C.1.xlsb | modMenu:Delete_User_Active_File |  | 31
2024-10-29 07:53:56.63 | robertmv | APP_v5.C.1.xlsb | modMenu:Delete_User_Active_File | 0,0254 sec. | 31

2024-10-29 07:53:56.65 | robertmv | APP_v5.C.1.xlsb | ***** Session terminée NORMALEMENT avec la procédure 'modMenu:Exit_After_Saving' ***** |  | 31

