2024-11-02 11:31:25.89 | Guillaume | APP_v5.D.0.xlsb | ***** Début d'une nouvelle session (Workbook_Open) ***** |  | 31
2024-11-02 11:31:26.02 | Guillaume | APP_v5.D.0.xlsb | ThisWorkbook:Create_User_Active_File |  | 31
2024-11-02 11:31:26.19 | Guillaume | APP_v5.D.0.xlsb | ThisWorkbook:Create_User_Active_File | 0,1797 sec. | 31

2024-11-02 11:31:26.28 | Guillaume | APP_v5.D.0.xlsb | ThisWorkbook:BackupMasterFile |  | 31
2024-11-02 11:31:53.88 | Guillaume | APP_v5.D.0.xlsb | modMenu:Hide_Dev_Shapes_Based_On_Username |  | 31
2024-11-02 11:31:53.97 | Guillaume | APP_v5.D.0.xlsb | modMenu:Hide_Dev_Shapes_Based_On_Username | 0,1016 sec. | 31

2024-11-02 11:32:06.43 | Guillaume | APP_v5.D.0.xlsb | wshMenuFAC:PreparationFacture_Click |  | 31
2024-11-02 11:32:06.56 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Activate |  | 31
2024-11-02 11:32:06.64 | Guillaume | APP_v5.D.0.xlsb | modImport:Client_List_Import_All |  | 31
2024-11-02 11:32:07.39 | Guillaume | APP_v5.D.0.xlsb |      modImport:Client_List_Import_All - Le .CopyFromRecordSet est complétée |  | 31
2024-11-02 11:32:07.55 | Guillaume | APP_v5.D.0.xlsb |      modImport:Client_List_Import_All - La mise en forme a été appliquée |  | 31
2024-11-02 11:32:07.73 | Guillaume | APP_v5.D.0.xlsb | modImport:Client_List_Import_All | 1,1094 sec. | 31

2024-11-02 11:32:07.82 | Guillaume | APP_v5.D.0.xlsb | modImport:TEC_Import_All |  | 31
2024-11-02 11:32:08.77 | Guillaume | APP_v5.D.0.xlsb |      modImport:TEC_Import_All - Le .CopyFromRecordSet est complétée |  | 31
2024-11-02 11:32:09.05 | Guillaume | APP_v5.D.0.xlsb |      modImport:TEC_Import_All - La mise en forme a été appliquée |  | 31
2024-11-02 11:32:09.21 | Guillaume | APP_v5.D.0.xlsb | modImport:TEC_Import_All | 1,4023 sec. | 31

2024-11-02 11:32:09.30 | Guillaume | APP_v5.D.0.xlsb | modImport:FAC_Entête_Import_All |  | 31
2024-11-02 11:32:09.97 | Guillaume | APP_v5.D.0.xlsb |      modImport:FAC_Entête_Import_All - Le .CopyFromRecordSet est complétée |  | 31
2024-11-02 11:32:10.08 | Guillaume | APP_v5.D.0.xlsb |      modImport:FAC_Entête_Import_All - La mise en forme a été appliquée |  | 31
2024-11-02 11:32:10.24 | Guillaume | APP_v5.D.0.xlsb | modImport:FAC_Entête_Import_All | 0,9531 sec. | 31

2024-11-02 11:32:10.32 | Guillaume | APP_v5.D.0.xlsb | modImport:FAC_Détails_Import_All |  | 31
2024-11-02 11:32:11.06 | Guillaume | APP_v5.D.0.xlsb | modImport:FAC_Détails_Import_All | 0,7500 sec. | 31

2024-11-02 11:32:11.15 | Guillaume | APP_v5.D.0.xlsb | modImport:FAC_Comptes_Clients_Import_All |  | 31
2024-11-02 11:32:11.88 | Guillaume | APP_v5.D.0.xlsb | modImport:FAC_Comptes_Clients_Import_All | 0,7500 sec. | 31

2024-11-02 11:32:11.97 | Guillaume | APP_v5.D.0.xlsb | modImport:FAC_Projets_Entête_Import_All |  | 31
2024-11-02 11:32:12.63 | Guillaume | APP_v5.D.0.xlsb |      modImport:FAC_Projets_Entête_Import_All - Le .CopyFromRecordSet est complétée |  | 31
