2024-11-16 09:42:57.36 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Brouillon:FAC_Brouillon_Client_Change(Acier Altitube Inc. [Philippe Robillard]) |  | 31
2024-11-16 09:42:57.38 | GuillaumeCharron | APP_v5.D.1.xlsb | modFunctions:Fn_Find_Data_In_A_Range |  | 31
2024-11-16 09:42:57.41 | GuillaumeCharron | APP_v5.D.1.xlsb | modFunctions:Fn_Find_Data_In_A_Range | 0,0234 sec. | 31

2024-11-16 09:42:57.53 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Brouillon:FAC_Brouillon_Clear_All_TEC_Displayed |  | 31
2024-11-16 09:42:57.55 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Brouillon:FAC_Brouillon_Clear_All_TEC_Displayed | 0,0156 sec. | 31

2024-11-16 09:42:57.56 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Brouillon:FAC_Brouillon_Client_Change - clientCode = '1350' | 0,2031 sec. | 31

2024-11-16 09:42:57.68 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Brouillon:FAC_Brouillon_Get_All_TEC_By_Client |  | 31
2024-11-16 09:42:57.69 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Brouillon:FAC_Brouillon_Clear_All_TEC_Displayed |  | 31
2024-11-16 09:42:57.71 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Brouillon:FAC_Brouillon_Clear_All_TEC_Displayed | 0,0156 sec. | 31

2024-11-16 09:42:59.50 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Brouillon:FAC_Brouillon_TEC_Filtered_Entries_Copy_To_FAC_Brouillon |  | 31
2024-11-16 09:42:59.56 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Brouillon:FAC_Brouillon_TEC_Add_Check_Boxes |  | 31
2024-11-16 09:42:59.82 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Brouillon:FAC_Brouillon_TEC_Add_Check_Boxes | 0,2617 sec. | 31

2024-11-16 09:42:59.89 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Brouillon:FAC_Brouillon_TEC_Filtered_Entries_Copy_To_FAC_Brouillon | 0,3945 sec. | 31

2024-11-16 09:42:59.91 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Brouillon:FAC_Brouillon_Get_All_TEC_By_Client | 2,2305 sec. | 31

2024-11-16 09:42:59.95 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Brouillon:FAC_Brouillon_New_Invoice | 11102,8379 sec. | 31

2024-11-16 09:42:59.96 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Save | 11112,7363 sec. | 31

2024-11-16 09:43:34.48 | GuillaumeCharron | APP_v5.D.1.xlsb | wshFAC_Brouillon:Worksheet_Change:$L$11 -  |  | 31
