2024-11-22 00:46:50.38 | vgervais | APP_v5.D (version 1).xlsb | ***** Début d'une nouvelle session (Workbook_Open) ***** |  | 31
2024-11-22 00:46:50.43 | vgervais | APP_v5.D (version 1).xlsb | ThisWorkbook:Create_User_Active_File |  | 31
2024-11-22 00:46:50.48 | vgervais | APP_v5.D (version 1).xlsb | ThisWorkbook:Create_User_Active_File | 0,0569 sec. | 31

2024-11-22 00:46:50.61 | vgervais | APP_v5.D (version 1).xlsb | ThisWorkbook:BackupMasterFile |  | 31
2024-11-22 00:46:51.23 | vgervais | APP_v5.D (version 1).xlsb |    ThisWorkbook:BackupMasterFile - La variable masterWorkbook est initialisée |  | 31
2024-11-22 00:46:51.40 | vgervais | APP_v5.D (version 1).xlsb |    ThisWorkbook:BackupMasterFile - La copie est réussie |  | 31
2024-11-22 00:46:51.48 | vgervais | APP_v5.D (version 1).xlsb |    ThisWorkbook:BackupMasterFile - Le fichier masterWorkbook est fermé |  | 31
2024-11-22 00:46:51.51 | vgervais | APP_v5.D (version 1).xlsb | ThisWorkbook:BackupMasterFile | 0,9041 sec. | 31

2024-11-22 00:46:51.54 | vgervais | APP_v5.D (version 1).xlsb | modMenu:Hide_Dev_Shapes_Based_On_Username |  | 31
2024-11-22 00:46:51.57 | vgervais | APP_v5.D (version 1).xlsb | modMenu:Hide_Dev_Shapes_Based_On_Username | 0,0369 sec. | 31

2024-11-22 00:46:51.64 | vgervais | APP_v5.D (version 1).xlsb | modAppli:Write_Info_On_Main_Menu |  | 31
2024-11-22 00:46:51.77 | vgervais | APP_v5.D (version 1).xlsb | modAppli:Write_Info_On_Main_Menu | 0,1340 sec. | 31

2024-11-22 00:46:51.86 | vgervais | APP_v5.D (version 1).xlsb | ThisWorkbook:Workbook_Open | 1,4841 sec. | 31

2024-11-22 08:40:37.15 | vgervais | APP_v5.D (version 1).xlsb | modAppli:Hide_All_Worksheets_Except_Menu |  | 31
2024-11-22 08:40:37.19 | vgervais | APP_v5.D (version 1).xlsb | modAppli:Hide_All_Worksheets_Except_Menu | 0,0449 sec. | 31

2024-11-22 08:40:37.22 | vgervais | APP_v5.D (version 1).xlsb | modMenu:Delete_User_Active_File |  | 31
2024-11-22 08:40:37.29 | vgervais | APP_v5.D (version 1).xlsb | modMenu:Delete_User_Active_File | 0,0742 sec. | 31

