2024-11-25 08:40:55.73 | User | APP_v5.D.1.xlsb | ***** Début d'une nouvelle session (Workbook_Open) ***** |  | 31
2024-11-25 08:40:55.80 | User | APP_v5.D.1.xlsb | ThisWorkbook:Create_User_Active_File |  | 31
2024-11-25 08:40:55.88 | User | APP_v5.D.1.xlsb | ThisWorkbook:Create_User_Active_File | 0,0898 sec. | 31

2024-11-25 08:40:55.97 | User | APP_v5.D.1.xlsb | ThisWorkbook:BackupMasterFile |  | 31
2024-11-25 08:40:57.20 | User | APP_v5.D.1.xlsb |    ThisWorkbook:BackupMasterFile - La variable masterWorkbook est initialisée |  | 31
2024-11-25 08:40:57.49 | User | APP_v5.D.1.xlsb |    ThisWorkbook:BackupMasterFile - La copie est réussie |  | 31
2024-11-25 08:40:57.63 | User | APP_v5.D.1.xlsb |    ThisWorkbook:BackupMasterFile - Le fichier masterWorkbook est fermé |  | 31
2024-11-25 08:40:57.70 | User | APP_v5.D.1.xlsb | ThisWorkbook:BackupMasterFile | 1,7383 sec. | 31

2024-11-25 08:40:57.74 | User | APP_v5.D.1.xlsb | modMenu:Hide_Dev_Shapes_Based_On_Username |  | 31
2024-11-25 08:40:57.81 | User | APP_v5.D.1.xlsb | modMenu:Hide_Dev_Shapes_Based_On_Username | 0,0742 sec. | 31

2024-11-25 08:40:57.93 | User | APP_v5.D.1.xlsb | modAppli:Write_Info_On_Main_Menu |  | 31
2024-11-25 08:40:58.05 | User | APP_v5.D.1.xlsb | modAppli:Write_Info_On_Main_Menu | 0,1348 sec. | 31

2024-11-25 08:40:58.26 | User | APP_v5.D.1.xlsb | ThisWorkbook:Workbook_Open | 2,5410 sec. | 31

2024-11-25 08:41:15.66 | User | APP_v5.D.1.xlsb | wshTEC_Evaluation:Worksheet_Activate |  | 31
2024-11-25 08:41:15.71 | User | APP_v5.D.1.xlsb | modImport:Client_List_Import_All |  | 31
2024-11-25 08:41:16.29 | User | APP_v5.D.1.xlsb |      modImport:Client_List_Import_All - Le .CopyFromRecordSet est complétée |  | 31
2024-11-25 08:41:16.40 | User | APP_v5.D.1.xlsb |      modImport:Client_List_Import_All - La mise en forme a été appliquée |  | 31
2024-11-25 08:41:16.53 | User | APP_v5.D.1.xlsb | modImport:Client_List_Import_All | 0,8281 sec. | 31

2024-11-25 08:41:16.57 | User | APP_v5.D.1.xlsb | modImport:TEC_Import_All |  | 31
2024-11-25 08:41:17.14 | User | APP_v5.D.1.xlsb |      modImport:TEC_Import_All - Le .CopyFromRecordSet est complétée |  | 31
2024-11-25 08:41:17.48 | User | APP_v5.D.1.xlsb |      modImport:TEC_Import_All - La mise en forme a été appliquée |  | 31
2024-11-25 08:41:17.60 | User | APP_v5.D.1.xlsb | modImport:TEC_Import_All | 1,0332 sec. | 31

2024-11-25 08:41:17.67 | User | APP_v5.D.1.xlsb | modDev_Utils:SetTabOrder(wshTEC_Evaluation) |  | 31
2024-11-25 08:41:17.74 | User | APP_v5.D.1.xlsb | modDev_Utils:SetTabOrder | 0,0742 sec. | 31

2024-11-25 08:41:17.84 | User | APP_v5.D.1.xlsb | wshTEC_Evaluation:Worksheet_Change |  | 31
2024-11-25 08:41:17.89 | User | APP_v5.D.1.xlsb | wshTEC_Evaluation:Worksheet_Change | 0,0508 sec. | 31

2024-11-25 08:41:17.95 | User | APP_v5.D.1.xlsb | wshTEC_Evaluation:Worksheet_Change |  | 31
2024-11-25 08:41:18.03 | User | APP_v5.D.1.xlsb | wshTEC_Evaluation:Worksheet_Change | 0,0996 sec. | 31

2024-11-25 08:41:18.10 | User | APP_v5.D.1.xlsb | wshTEC_Evaluation:Worksheet_SelectionChange |  | 31
2024-11-25 08:41:18.19 | User | APP_v5.D.1.xlsb | wshTEC_Evaluation:Worksheet_SelectionChange | 0,1543 sec. | 31

2024-11-25 08:41:18.31 | User | APP_v5.D.1.xlsb | wshTEC_Evaluation:Worksheet_SelectionChange |  | 31
2024-11-25 08:41:18.36 | User | APP_v5.D.1.xlsb | wshTEC_Evaluation:Worksheet_SelectionChange | 0,0547 sec. | 31

2024-11-25 08:41:18.40 | User | APP_v5.D.1.xlsb | wshTEC_Evaluation:Worksheet_Activate | 2,7500 sec. | 31

2024-11-25 08:41:42.06 | User | APP_v5.D.1.xlsb | ***** Début d'une nouvelle session (Workbook_Open) ***** |  | 31
2024-11-25 08:41:42.13 | User | APP_v5.D.1.xlsb | ThisWorkbook:Create_User_Active_File |  | 31
2024-11-25 08:41:42.22 | User | APP_v5.D.1.xlsb | ThisWorkbook:Create_User_Active_File | 0,0918 sec. | 31

2024-11-25 08:41:42.30 | User | APP_v5.D.1.xlsb | ThisWorkbook:BackupMasterFile |  | 31
2024-11-25 08:41:43.42 | User | APP_v5.D.1.xlsb |    ThisWorkbook:BackupMasterFile - La variable masterWorkbook est initialisée |  | 31
2024-11-25 08:41:43.71 | User | APP_v5.D.1.xlsb |    ThisWorkbook:BackupMasterFile - La copie est réussie |  | 31
