2024-11-25 08:45:15.73 | User                | APP_v5.D.1.xlsb | ADD    2565 | ML | 2024-11-22 | 1775 | 9513-1926 Québec Inc. [Francis Desgagnés] | Correction de fichiers Word avec Vladimir | 0,75 | VRAI |  | 31
2024-11-25 08:45:38.27 | User                | APP_v5.D.1.xlsb | ADD    2566 | ML | 2024-11-22 | 1675 | Les entreprises Lanthier et Papineau Inc. [Alain Lanthier] | Montage de l'étape 21 du mémo (roulement) | 1,25 | VRAI |  | 31
2024-11-25 08:46:03.49 | User                | APP_v5.D.1.xlsb | ADD    2567 | ML | 2024-11-22 | 1739 | Groupe Coalitech Inc. [Techvac Équipement] | Montage de l'organigramme final | 4,75 | VRAI |  | 31
2024-11-25 08:46:22.40 | User                | APP_v5.D.1.xlsb | ADD    2568 | ML | 2024-11-22 | 1675 | Les entreprises Lanthier et Papineau Inc. [Alain Lanthier] | Montage de l'étape 25 du mémo (roulement) | 1,00 | VRAI |  | 31
2024-11-25 09:01:54.25 | vgervais            | APP_v5.D.1.xlsb | ADD    2569 | VG | 2024-11-25 | 5 | z_Administratif_Autres non chargeables | Suivis planning + autres documents | 0,60 | FAUX |  | 31
2024-11-25 09:08:36.86 | vgervais            | APP_v5.D.1.xlsb | ADD    2570 | VG | 2024-11-25 | 1193 | Solstice CNC Inc. [Alexandre Desmarais] | Suvii des courriel + révision documentaton légale | 0,30 | VRAI |  | 31
2024-11-25 09:09:15.84 | vgervais            | APP_v5.D.1.xlsb | ADD    2571 | VG | 2024-11-25 | 1775 | 9513-1926 Québec Inc. [Francis Desgagnés] | Discussion + suivis courriel à Me Drapeau | 0,30 | VRAI |  | 31
2024-11-25 09:59:59.32 | vgervais            | APP_v5.D.1.xlsb | UPDATE 2569 | VG | 2024-11-25 | 5 | z_Administratif_Autres non chargeables | Suivis planning + autres documents + suivis de dossier Michel | 0,90 | FAUX |  | 31
2024-11-25 10:00:13.25 | vgervais            | APP_v5.D.1.xlsb | UPDATE 2570 | VG | 2024-11-25 | 1193 | Solstice CNC Inc. [Alexandre Desmarais] | Suvii des courriel + révision documentaton légale | 0,60 | VRAI |  | 31
2024-11-25 10:00:42.40 | vgervais            | APP_v5.D.1.xlsb | ADD    2572 | VG | 2024-11-25 | 1675 | Les entreprises Lanthier et Papineau Inc. [Alain Lanthier] | Suivi/répondre question roulement | 0,20 | VRAI |  | 31
2024-11-25 10:56:01.45 | vgervais            | APP_v5.D.1.xlsb | UPDATE 2570 | VG | 2024-11-25 | 1193 | Solstice CNC Inc. [Alexandre Desmarais] | Suvii des courriel + révision documentaton légale | 1,50 | VRAI |  | 31
2024-11-25 10:56:28.86 | vgervais            | APP_v5.D.1.xlsb | UPDATE 2570 | VG | 2024-11-25 | 1193 | Solstice CNC Inc. [Alexandre Desmarais] | Suvii des courriel + révision documentaton légale + revoir mémo | 1,50 | VRAI |  | 31
2024-11-25 11:49:28.29 | vgervais            | APP_v5.D.1.xlsb | UPDATE 2571 | VG | 2024-11-25 | 1775 | 9513-1926 Québec Inc. [Francis Desgagnés] | Discussion + suivis courriel à Me Drapeau + révision documentation légale | 1,20 | VRAI |  | 31
