2024-11-28 06:25:15.41 | GuillaumeCharron | APP_v5.D.1.xlsb | ufSaisieHeures:UserForm_Activate |  | 31
2024-11-28 06:25:15.44 | GuillaumeCharron | APP_v5.D.1.xlsb | modImport:Client_List_Import_All |  | 31
2024-11-28 06:25:15.94 | GuillaumeCharron | APP_v5.D.1.xlsb |      modImport:Client_List_Import_All - Le .CopyFromRecordSet est complétée |  | 31
2024-11-28 06:25:16.00 | GuillaumeCharron | APP_v5.D.1.xlsb |      modImport:Client_List_Import_All - La mise en forme a été appliquée |  | 31
2024-11-28 06:25:16.09 | GuillaumeCharron | APP_v5.D.1.xlsb | modImport:Client_List_Import_All | 0,6582 sec. | 31

2024-11-28 06:25:16.11 | GuillaumeCharron | APP_v5.D.1.xlsb | modImport:TEC_Import_All |  | 31
2024-11-28 06:25:17.01 | GuillaumeCharron | APP_v5.D.1.xlsb |      modImport:TEC_Import_All - Le .CopyFromRecordSet est complétée |  | 31
2024-11-28 06:25:17.23 | GuillaumeCharron | APP_v5.D.1.xlsb |      modImport:TEC_Import_All - La mise en forme a été appliquée |  | 31
2024-11-28 06:25:17.32 | GuillaumeCharron | APP_v5.D.1.xlsb | modImport:TEC_Import_All | 1,2070 sec. | 31

2024-11-28 06:25:17.35 | GuillaumeCharron | APP_v5.D.1.xlsb | ufSaisieHeures:UserForm_Activate | 1,9375 sec. | 31

2024-11-28 06:25:18.66 | GuillaumeCharron | APP_v5.D.1.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 31
2024-11-28 06:25:18.68 | GuillaumeCharron | APP_v5.D.1.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate | 0,0215 sec. | 31

2024-11-28 06:25:19.03 | GuillaumeCharron | APP_v5.D.1.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 31
2024-11-28 06:25:19.05 | GuillaumeCharron | APP_v5.D.1.xlsb | modFunctions:Fn_Complete_Date @00608   y = 2024   m = 11   d = 28 parsedDate='28/11/24' |  | 31
2024-11-28 06:25:19.07 | GuillaumeCharron | APP_v5.D.1.xlsb | ufSaisieHeures:txtDate_BeforeUpdate | 0,0449 sec. | 31

2024-11-28 06:25:19.10 | GuillaumeCharron | APP_v5.D.1.xlsb | ufSaisieHeures:txtDate_AfterUpdate - 28/11/2024 |  | 31
2024-11-28 06:25:19.12 | GuillaumeCharron | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 1/28/11/2024 |  | 31
2024-11-28 06:25:19.96 | GuillaumeCharron | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 0,8477 sec. | 31

2024-11-28 06:25:19.99 | GuillaumeCharron | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours |  | 31
2024-11-28 06:25:20.15 | GuillaumeCharron | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 0,1621 sec. | 31

2024-11-28 06:25:20.17 | GuillaumeCharron | APP_v5.D.1.xlsb | ufSaisieHeures:txtDate_AfterUpdate | 1,0742 sec. | 31

2024-11-28 06:25:23.00 | GuillaumeCharron | APP_v5.D.1.xlsb | ufSaisieHeures:txtClient_AfterUpdate - Gestion L'Anneau Inc. [Lalonde & Brient] [Nathalie Brient] |  | 31
2024-11-28 06:25:23.02 | GuillaumeCharron | APP_v5.D.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - Gestion L'Anneau Inc. [Lalonde & Brient] [Nathalie Brient] |  | 31
2024-11-28 06:25:23.04 | GuillaumeCharron | APP_v5.D.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1142 | 0,0195 sec. | 31

2024-11-28 06:25:23.06 | GuillaumeCharron | APP_v5.D.1.xlsb |    ufSaisieHeures:txtClient_AfterUpdate - 1142 |  | 31
2024-11-28 06:25:23.08 | GuillaumeCharron | APP_v5.D.1.xlsb | ufSaisieHeures:txtClient_AfterUpdate | 0,0762 sec. | 31

2024-11-28 06:25:46.92 | GuillaumeCharron | APP_v5.D.1.xlsb | ufSaisieHeures:txtActivite_AfterUpdate |  | 31
2024-11-28 06:25:46.94 | GuillaumeCharron | APP_v5.D.1.xlsb | ufSaisieHeures:txtActivite_AfterUpdate | 0,0215 sec. | 31

2024-11-28 06:25:51.97 | GuillaumeCharron | APP_v5.D.1.xlsb | ufSaisieHeures:txtHeures_AfterUpdate |  | 31
2024-11-28 06:25:52.01 | GuillaumeCharron | APP_v5.D.1.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | 0,0332 sec. | 31

2024-11-28 06:25:52.03 | GuillaumeCharron | APP_v5.D.1.xlsb | ufSaisieHeures:txtHeures_Exit |  | 31
2024-11-28 06:25:52.05 | GuillaumeCharron | APP_v5.D.1.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | 0,0215 sec. | 31

2024-11-28 06:25:52.65 | GuillaumeCharron | APP_v5.D.1.xlsb | ufSaisieHeures:cmdAdd_Click |  | 31
2024-11-28 06:25:52.67 | GuillaumeCharron | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne |  | 31
2024-11-28 06:25:52.70 | GuillaumeCharron | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - TECID = '0' |  | 31
2024-11-28 06:25:52.76 | GuillaumeCharron | APP_v5.D.1.xlsb |      modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - AddingNewRecord - TECID = 0 |  | 31
