2024-12-09 08:25:16.13 | GuillaumeCharron | APP_v5.G.3.xlsb | ufSaisieHeures:UserForm_Terminate
2024-12-09 08:25:16.17 | GuillaumeCharron | APP_v5.G.3.xlsb | ufSaisieHeures:UserForm_Terminate = 0,0527 sec.

2024-12-09 08:25:16.88 | GuillaumeCharron | APP_v5.G.3.xlsb | modAppli:Hide_All_Worksheets_Except_Menu
2024-12-09 08:25:16.91 | GuillaumeCharron | APP_v5.G.3.xlsb | modAppli:Hide_All_Worksheets_Except_Menu = 0,0391 sec.

2024-12-09 08:25:18.53 | GuillaumeCharron | APP_v5.G.3.xlsb | modAppli:Hide_All_Worksheets_Except_Menu
2024-12-09 08:25:18.56 | GuillaumeCharron | APP_v5.G.3.xlsb | modAppli:Hide_All_Worksheets_Except_Menu = 0,0352 sec.

2024-12-09 08:25:18.58 | GuillaumeCharron | APP_v5.G.3.xlsb | modMenu:Delete_User_Active_File
2024-12-09 08:25:18.61 | GuillaumeCharron | APP_v5.G.3.xlsb | modMenu:Delete_User_Active_File = 0,0293 sec.

2024-12-09 08:25:18.63 | GuillaumeCharron | APP_v5.G.3.xlsb | ***** Session terminée NORMALEMENT (modMenu:Exit_After_Saving) *****

2024-12-09 08:26:20.72 | vgervais | APP_v5.G.0.xlsb | ufSaisieHeures:UserForm_Terminate
2024-12-09 08:26:20.78 | vgervais | APP_v5.G.0.xlsb | ufSaisieHeures:UserForm_Terminate = 0,0625 sec.

2024-12-09 08:26:25.21 | vgervais | APP_v5.G.0.xlsb | modAppli:Hide_All_Worksheets_Except_Menu
2024-12-09 08:26:25.26 | vgervais | APP_v5.G.0.xlsb | modAppli:Hide_All_Worksheets_Except_Menu = 0,0469 sec.

2024-12-09 08:26:27.59 | vgervais | APP_v5.G.0.xlsb | modAppli:Hide_All_Worksheets_Except_Menu
2024-12-09 08:26:27.63 | vgervais | APP_v5.G.0.xlsb | modAppli:Hide_All_Worksheets_Except_Menu = 0,0410 sec.

2024-12-09 08:26:27.66 | vgervais | APP_v5.G.0.xlsb | modMenu:Delete_User_Active_File
2024-12-09 08:26:27.74 | vgervais | APP_v5.G.0.xlsb | modMenu:Delete_User_Active_File = 0,0781 sec.

2024-12-09 08:26:27.78 | vgervais | APP_v5.G.0.xlsb | ***** Session terminée NORMALEMENT (modMenu:Exit_After_Saving) *****

2024-12-09 10:01:23.43 | GuillaumeCharron | APP_v5.G.5.xlsb | ***** Début d'une nouvelle session (ThisWorkbook:Workbook_Open) *****
2024-12-09 10:01:23.45 | GuillaumeCharron | APP_v5.G.5.xlsb | ThisWorkbook:Create_User_Active_File
2024-12-09 10:01:23.48 | GuillaumeCharron | APP_v5.G.5.xlsb | ThisWorkbook:Create_User_Active_File = 0,0430 sec.

2024-12-09 10:01:25.22 | GuillaumeCharron | APP_v5.G.5.xlsb | modAppli:Write_Info_On_Main_Menu
2024-12-09 10:01:25.41 | GuillaumeCharron | APP_v5.G.5.xlsb | modAppli:Write_Info_On_Main_Menu = 0,1992 sec.

2024-12-09 10:01:25.48 | GuillaumeCharron | APP_v5.G.5.xlsb | ThisWorkbook:Workbook_Open = 2,0625 sec.

2024-12-09 10:01:34.74 | GuillaumeCharron | APP_v5.G.5.xlsb | ufSaisieHeures:UserForm_Activate
2024-12-09 10:01:34.77 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:Client_List_Import_All
2024-12-09 10:01:35.04 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:Client_List_Import_All = 0,2773 sec.

2024-12-09 10:01:35.06 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:TEC_Import_All
2024-12-09 10:01:35.52 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:TEC_Import_All = 0,4688 sec.

2024-12-09 10:01:35.56 | GuillaumeCharron | APP_v5.G.5.xlsb | ufSaisieHeures:UserForm_Activate = 0,8203 sec.

2024-12-09 10:01:36.65 | GuillaumeCharron | APP_v5.G.5.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate
2024-12-09 10:01:36.68 | GuillaumeCharron | APP_v5.G.5.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate = 0,0273 sec.

2024-12-09 10:01:37.09 | GuillaumeCharron | APP_v5.G.5.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2024-12-09 10:01:37.11 | GuillaumeCharron | APP_v5.G.5.xlsb | modFunctions:Fn_Complete_Date(09/12/24, 600, 15)
2024-12-09 10:01:37.13 | GuillaumeCharron | APP_v5.G.5.xlsb | modFunctions:Fn_Complete_Date = 0,0234 sec.

2024-12-09 10:01:37.15 | GuillaumeCharron | APP_v5.G.5.xlsb | ufSaisieHeures:txtDate_BeforeUpdate = 0,0664 sec.

2024-12-09 10:01:37.17 | GuillaumeCharron | APP_v5.G.5.xlsb | ufSaisieHeures:txtDate_AfterUpdate
2024-12-09 10:01:37.19 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 1/09/12/24
2024-12-09 10:01:37.28 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF = 0,0898 sec.

2024-12-09 10:01:37.30 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/09/12/24
2024-12-09 10:01:37.34 | GuillaumeCharron | APP_v5.G.5.xlsb | wshTEC_TDB_Data:Worksheet_Change($S$7)
2024-12-09 10:01:37.36 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Update_All
2024-12-09 10:01:37.39 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2024-12-09 10:01:37.71 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = 0,3242 sec.

2024-12-09 10:01:37.73 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2024-12-09 10:01:37.91 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = 0,1875 sec.

2024-12-09 10:01:37.94 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Update_All = 0,5781 sec.

2024-12-09 10:01:37.96 | GuillaumeCharron | APP_v5.G.5.xlsb | modStatsHeures:Stats_Heures_AF
2024-12-09 10:01:38.12 | GuillaumeCharron | APP_v5.G.5.xlsb | modStatsHeures:Stats_Heures_AF = 0,1602 sec.

2024-12-09 10:01:38.14 | GuillaumeCharron | APP_v5.G.5.xlsb | modAppli:UpdatePivotTables
2024-12-09 10:01:38.21 | GuillaumeCharron | APP_v5.G.5.xlsb | modAppli:UpdatePivotTables = 0,0742 sec.

2024-12-09 10:01:38.24 | GuillaumeCharron | APP_v5.G.5.xlsb | wshTEC_TDB_Data:Worksheet_Change = 0,9023 sec.

2024-12-09 10:01:38.26 | GuillaumeCharron | APP_v5.G.5.xlsb | wshTEC_TDB_Data:Worksheet_Change($T$7)
2024-12-09 10:01:38.28 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Update_All
2024-12-09 10:01:38.30 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2024-12-09 10:01:38.62 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = 0,3203 sec.

2024-12-09 10:01:38.65 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2024-12-09 10:01:38.83 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = 0,1797 sec.

2024-12-09 10:01:38.85 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Update_All = 0,5742 sec.

2024-12-09 10:01:38.88 | GuillaumeCharron | APP_v5.G.5.xlsb | modStatsHeures:Stats_Heures_AF
2024-12-09 10:01:39.02 | GuillaumeCharron | APP_v5.G.5.xlsb | modStatsHeures:Stats_Heures_AF = 0,1523 sec.

2024-12-09 10:01:39.05 | GuillaumeCharron | APP_v5.G.5.xlsb | modAppli:UpdatePivotTables
2024-12-09 10:01:39.11 | GuillaumeCharron | APP_v5.G.5.xlsb | modAppli:UpdatePivotTables = 0,0664 sec.

2024-12-09 10:01:39.14 | GuillaumeCharron | APP_v5.G.5.xlsb | wshTEC_TDB_Data:Worksheet_Change = 0,8789 sec.

2024-12-09 10:01:39.16 | GuillaumeCharron | APP_v5.G.5.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2024-12-09 10:01:39.18 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Update_All
2024-12-09 10:01:39.20 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2024-12-09 10:01:39.52 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = 0,3242 sec.

2024-12-09 10:01:39.54 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2024-12-09 10:01:39.73 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = 0,1953 sec.

