2024-12-12 08:28:44.57 | vgervais | APP_v5.G.5.xlsb | ufSaisieHeures:UserForm_Activate
2024-12-12 08:28:44.64 | vgervais | APP_v5.G.5.xlsb | modImport:Client_List_Import_All
2024-12-12 08:28:44.99 | vgervais | APP_v5.G.5.xlsb | modImport:Client_List_Import_All = 0,3555 sec.

2024-12-12 08:28:45.02 | vgervais | APP_v5.G.5.xlsb | modImport:TEC_Import_All
2024-12-12 08:28:45.52 | vgervais | APP_v5.G.5.xlsb | modImport:TEC_Import_All = 0,5098 sec.

2024-12-12 08:28:45.56 | vgervais | APP_v5.G.5.xlsb | ufSaisieHeures:UserForm_Activate = 0,9941 sec.

2024-12-12 08:28:47.03 | vgervais | APP_v5.G.5.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate
2024-12-12 08:28:47.06 | vgervais | APP_v5.G.5.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate = 0,0332 sec.

2024-12-12 08:28:51.18 | vgervais | APP_v5.G.5.xlsb | ufSaisieHeures:txtClient_AfterUpdate[au]
2024-12-12 08:28:51.21 | vgervais | APP_v5.G.5.xlsb | modFunctions:Fn_GetID_From_Client_Name - au
2024-12-12 08:28:51.23 | vgervais | APP_v5.G.5.xlsb | modFunctions:Fn_GetID_From_Client_Name - 498 = 0,0293 sec.

2024-12-12 08:28:51.26 | vgervais | APP_v5.G.5.xlsb | ufSaisieHeures:txtClient_AfterUpdate = 0,0859 sec.

2024-12-12 08:28:52.26 | vgervais | APP_v5.G.5.xlsb | ufSaisieHeures:lstboxNomClient_DblClick
2024-12-12 08:28:52.32 | vgervais | APP_v5.G.5.xlsb | modFunctions:Fn_GetID_From_Client_Name - z_Administratif_Autres non chargeables
2024-12-12 08:28:52.36 | vgervais | APP_v5.G.5.xlsb | modFunctions:Fn_GetID_From_Client_Name - 5 = 0,0352 sec.

2024-12-12 08:28:52.38 | vgervais | APP_v5.G.5.xlsb | ufSaisieHeures:lstboxNomClient_DblClick = 0,1250 sec.

