2024-12-17 18:17:40.85 | vgervais | APP_v5.G.5.xlsb | ufSaisieHeures:lsbHresJour_dblClick[0]
2024-12-17 18:17:40.90 | vgervais | APP_v5.G.5.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID
2024-12-17 18:17:40.93 | vgervais | APP_v5.G.5.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID - Row # = 3108
2024-12-17 18:17:40.95 | vgervais | APP_v5.G.5.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID = 0,0625 sec.

2024-12-17 18:17:41.02 | vgervais | APP_v5.G.5.xlsb | ufSaisieHeures:lsbHresJour_dblClick[3109] = 0,1641 sec.

2024-12-17 18:17:41.75 | vgervais | APP_v5.G.5.xlsb | ufSaisieHeures:txtClient_AfterUpdate[z_Administratif_Autres non chargeables]
2024-12-17 18:17:41.78 | vgervais | APP_v5.G.5.xlsb | modFunctions:Fn_GetID_From_Client_Name - z_Administratif_Autres non chargeables
2024-12-17 18:17:41.80 | vgervais | APP_v5.G.5.xlsb | modFunctions:Fn_GetID_From_Client_Name - 5 = 0,0312 sec.

2024-12-17 18:17:41.84 | vgervais | APP_v5.G.5.xlsb | ufSaisieHeures:txtClient_AfterUpdate = 0,0859 sec.

2024-12-17 18:17:48.77 | vgervais | APP_v5.G.5.xlsb | ufSaisieHeures:txtActivite_AfterUpdate[Rencontre d'équipe + suivis dossiers plnaning + réunion pipedrive + arrenger camera]
2024-12-17 18:17:48.80 | vgervais | APP_v5.G.5.xlsb | ufSaisieHeures:txtActivite_AfterUpdate = 0,0391 sec.

2024-12-17 18:17:51.94 | vgervais | APP_v5.G.5.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[2,6]
2024-12-17 18:17:51.98 | vgervais | APP_v5.G.5.xlsb | ufSaisieHeures:txtHeures_AfterUpdate = 0,0469 sec.

2024-12-17 18:17:52.01 | vgervais | APP_v5.G.5.xlsb | ufSaisieHeures:txtHeures_Exit[2,60]
2024-12-17 18:17:52.04 | vgervais | APP_v5.G.5.xlsb | ufSaisieHeures:txtHeures_Exit = 0,0391 sec.

2024-12-17 18:17:52.97 | vgervais | APP_v5.G.5.xlsb | ufSaisieHeures:cmdUpdate_Click[3109]
2024-12-17 18:17:53.00 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Modifie_Ligne
2024-12-17 18:17:53.03 | vgervais | APP_v5.G.5.xlsb | modFunctions:Fn_GetID_From_Client_Name - z_Administratif_Autres non chargeables
2024-12-17 18:17:53.06 | vgervais | APP_v5.G.5.xlsb | modFunctions:Fn_GetID_From_Client_Name - 5 = 0,0312 sec.

2024-12-17 18:17:53.09 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB(3109)
2024-12-17 18:17:53.63 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - 3109 = 0,5391 sec.

2024-12-17 18:17:53.66 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally(3109)
2024-12-17 18:17:53.68 | vgervais | APP_v5.G.5.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID
2024-12-17 18:17:53.73 | vgervais | APP_v5.G.5.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID - Row # = 3108
2024-12-17 18:17:53.76 | vgervais | APP_v5.G.5.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID = 0,0859 sec.

2024-12-17 18:17:53.90 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally - 3109 = 0,2500 sec.

2024-12-17 18:17:53.93 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 2/17-12-2024
2024-12-17 18:17:54.13 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF = 0,2031 sec.

2024-12-17 18:17:54.16 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/17-12-2024
2024-12-17 18:17:54.23 | vgervais | APP_v5.G.5.xlsb | wshTEC_TDB_Data:Worksheet_Change($S$7)
2024-12-17 18:17:54.27 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Update_All
2024-12-17 18:17:54.30 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2024-12-17 18:17:54.57 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = 0,2734 sec.

