2024-12-21 06:03:27.70 | Guillaume | APP_v5.G.5.xlsb | ***** Début d'une nouvelle session (ThisWorkbook:Workbook_Open) *****
2024-12-21 06:03:27.96 | Guillaume | APP_v5.G.5.xlsb | ThisWorkbook:Create_User_Active_File
2024-12-21 06:03:28.41 | Guillaume | APP_v5.G.5.xlsb | ThisWorkbook:Create_User_Active_File = 0,6172 sec.

2024-12-21 06:03:31.02 | Guillaume | APP_v5.G.5.xlsb | modAppli:Write_Info_On_Main_Menu
2024-12-21 06:03:31.36 | Guillaume | APP_v5.G.5.xlsb | modAppli:Write_Info_On_Main_Menu = 0,4746 sec.

2024-12-21 06:03:31.62 | Guillaume | APP_v5.G.5.xlsb | ThisWorkbook:Workbook_Open = 4,0840 sec.

2024-12-21 06:03:40.75 | Guillaume | APP_v5.G.5.xlsb | ufSaisieHeures:UserForm_Activate
2024-12-21 06:03:40.97 | Guillaume | APP_v5.G.5.xlsb | modImport:Client_List_Import_All
2024-12-21 06:03:42.24 | Guillaume | APP_v5.G.5.xlsb | modImport:Client_List_Import_All = 1,4082 sec.

2024-12-21 06:03:42.45 | Guillaume | APP_v5.G.5.xlsb | modImport:TEC_Import_All
2024-12-21 06:03:44.14 | Guillaume | APP_v5.G.5.xlsb | modImport:TEC_Import_All = 1,8301 sec.

2024-12-21 06:03:44.39 | Guillaume | APP_v5.G.5.xlsb | ufSaisieHeures:UserForm_Activate = 3,7715 sec.

2024-12-21 06:03:45.41 | Guillaume | APP_v5.G.5.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate
2024-12-21 06:03:45.62 | Guillaume | APP_v5.G.5.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate = 0,3730 sec.

2024-12-21 06:03:46.22 | Guillaume | APP_v5.G.5.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2024-12-21 06:03:46.43 | Guillaume | APP_v5.G.5.xlsb | modFunctions:Fn_Complete_Date(21/12/24, 600, 15)
2024-12-21 06:03:46.65 | Guillaume | APP_v5.G.5.xlsb | modFunctions:Fn_Complete_Date = 0,3613 sec.

2024-12-21 06:03:46.87 | Guillaume | APP_v5.G.5.xlsb | ufSaisieHeures:txtDate_BeforeUpdate = 0,7793 sec.

2024-12-21 06:03:47.08 | Guillaume | APP_v5.G.5.xlsb | ufSaisieHeures:txtDate_AfterUpdate
2024-12-21 06:03:47.29 | Guillaume | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 1/21/12/24
2024-12-21 06:03:47.57 | Guillaume | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF = 0,4102 sec.

2024-12-21 06:03:47.79 | Guillaume | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/21/12/24
2024-12-21 06:03:48.01 | Guillaume | APP_v5.G.5.xlsb | wshTEC_TDB_Data:Worksheet_Change($S$7)
2024-12-21 06:03:48.21 | Guillaume | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Update_All
2024-12-21 06:03:48.42 | Guillaume | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2024-12-21 06:03:49.02 | Guillaume | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = 0,7363 sec.

2024-12-21 06:03:49.24 | Guillaume | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
