2024-12-22 05:20:39.32 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_Back_To_FAC_Menu
2024-12-22 05:20:41.04 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Finale:Worksheet_Activate
2024-12-22 05:20:41.20 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Finale:Worksheet_Activate = 0,1680 sec.

2024-12-22 05:20:41.23 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_Back_To_FAC_Menu = 1,9141 sec.

2024-12-22 05:27:41.90 | GuillaumeCharron | APP_v5.G.5.xlsb | wshMenuFAC:PreparationFacture_Click
2024-12-22 05:27:41.93 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Activate
2024-12-22 05:27:41.95 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:Client_List_Import_All
2024-12-22 05:27:42.26 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:Client_List_Import_All = 0,3145 sec.

2024-12-22 05:27:42.27 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:TEC_Import_All
2024-12-22 05:27:42.88 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:TEC_Import_All = 0,6094 sec.

2024-12-22 05:27:42.90 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Entête_Import_All
2024-12-22 05:27:43.13 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Entête_Import_All = 0,2363 sec.

2024-12-22 05:27:43.17 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Détails_Import_All
2024-12-22 05:27:43.51 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Détails_Import_All = 0,3496 sec.

2024-12-22 05:27:43.53 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Comptes_Clients_Import_All
2024-12-22 05:27:43.76 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Comptes_Clients_Import_All = 0,2363 sec.

2024-12-22 05:27:43.78 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Projets_Entête_Import_All
2024-12-22 05:27:44.90 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Projets_Entête_Import_All = 1,1230 sec.

2024-12-22 05:27:44.92 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Projets_Détails_Import_All
2024-12-22 05:27:56.42 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:FAC_Projets_Détails_Import_All = 11,5059 sec.

2024-12-22 05:27:56.49 | GuillaumeCharron | APP_v5.G.5.xlsb | modDev_Utils:SetTabOrder(wshFAC_Brouillon)
2024-12-22 05:27:56.54 | GuillaumeCharron | APP_v5.G.5.xlsb | modDev_Utils:SetTabOrder = 0,0566 sec.

2024-12-22 05:27:56.71 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_New_Invoice
2024-12-22 05:27:56.78 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_Clear_All_TEC_Displayed
2024-12-22 05:27:56.80 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_Clear_All_TEC_Displayed = 0,0234 sec.

2024-12-22 05:27:56.82 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_Setup_All_Cells
2024-12-22 05:27:57.23 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_Setup_All_Cells = 0,4121 sec.

2024-12-22 05:27:57.33 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Finale:FAC_Finale_Setup_All_Cells
2024-12-22 05:27:57.56 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Finale:FAC_Finale_Setup_All_Cells = 0,2266 sec.

2024-12-22 05:27:59.73 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_Client_Change(La Mutuelle D'Immeubles Inc. [Tack Immobilier] [Paul-Hubert Tremblay])
2024-12-22 05:27:59.76 | GuillaumeCharron | APP_v5.G.5.xlsb | modFunctions:Fn_Find_Data_In_A_Range
2024-12-22 05:27:59.78 | GuillaumeCharron | APP_v5.G.5.xlsb | modFunctions:Fn_Find_Data_In_A_Range = 0,0273 sec.

2024-12-22 05:27:59.91 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_Clear_All_TEC_Displayed
2024-12-22 05:27:59.93 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_Clear_All_TEC_Displayed = 0,0215 sec.

2024-12-22 05:27:59.95 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_Client_Change - clientCode = '1013j' = 0,2188 sec.

2024-12-22 05:28:00.06 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_Get_All_TEC_By_Client
2024-12-22 05:28:00.09 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_Clear_All_TEC_Displayed
2024-12-22 05:28:00.11 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_Clear_All_TEC_Displayed = 0,0312 sec.

2024-12-22 05:28:00.13 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:Get_TEC_For_Client_AF('1013j', 22/12/24, VRAI, FAUX, FAUX)
2024-12-22 05:28:00.36 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:Get_TEC_For_Client_AF = 0,2344 sec.

2024-12-22 05:28:00.38 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_TEC_Filtered_Entries_Copy_To_FAC_Brouillon
2024-12-22 05:28:00.43 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_TEC_Add_Check_Boxes
2024-12-22 05:28:00.60 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_TEC_Add_Check_Boxes = 0,1855 sec.

2024-12-22 05:28:00.70 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$S$25
2024-12-22 05:28:00.72 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$S$25 = 0,0254 sec.

2024-12-22 05:28:00.76 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$U$25
2024-12-22 05:28:00.78 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$U$25 = 0,0215 sec.

2024-12-22 05:28:00.81 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$S$26
2024-12-22 05:28:00.82 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$S$26 = 0,0215 sec.

2024-12-22 05:28:00.86 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$U$26
2024-12-22 05:28:00.88 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$U$26 = 0,0234 sec.

2024-12-22 05:28:00.91 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$S$27
2024-12-22 05:28:00.93 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$S$27 = 0,0215 sec.

2024-12-22 05:28:00.96 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$U$27
2024-12-22 05:28:00.98 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$U$27 = 0,0234 sec.

2024-12-22 05:28:01.01 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$S$28
2024-12-22 05:28:01.03 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$S$28 = 0,0195 sec.

2024-12-22 05:28:01.06 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$U$28
2024-12-22 05:28:01.08 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$U$28 = 0,0215 sec.

2024-12-22 05:28:01.12 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$R$26:$U$26
2024-12-22 05:28:01.14 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$R$26:$U$26 = 0,0254 sec.

2024-12-22 05:28:01.18 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$R$27:$U$27
2024-12-22 05:28:01.20 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$R$27:$U$27 = 0,0215 sec.

