2024-12-22 09:33:12.45 | GuillaumeCharron | APP_v5.H.4.xlsb | ***** Début d'une nouvelle session (ThisWorkbook:Workbook_Open) *****
2024-12-22 09:33:12.47 | GuillaumeCharron | APP_v5.H.4.xlsb | ThisWorkbook:Create_User_Active_File
2024-12-22 09:33:12.53 | GuillaumeCharron | APP_v5.H.4.xlsb | ThisWorkbook:Create_User_Active_File = '0,0664 secondes'

2024-12-22 09:33:12.55 | GuillaumeCharron | APP_v5.H.4.xlsb | ThisWorkbook:Setup_UserDateFormat
2024-12-22 09:33:12.58 | GuillaumeCharron | APP_v5.H.4.xlsb | ThisWorkbook:Setup_UserDateFormat = '0,0352 secondes'

2024-12-22 09:33:12.60 | GuillaumeCharron | APP_v5.H.4.xlsb | ThisWorkbook:BackupMasterFile
2024-12-22 09:33:12.70 | GuillaumeCharron | APP_v5.H.4.xlsb | ThisWorkbook:BackupMasterFile = '0,1055 secondes'

2024-12-22 09:33:12.72 | GuillaumeCharron | APP_v5.H.4.xlsb | modMenu:HideDevShapesBasedOnUsername
2024-12-22 09:33:12.74 | GuillaumeCharron | APP_v5.H.4.xlsb | modMenu:HideDevShapesBasedOnUsername = '0,0234 secondes'

2024-12-22 09:33:12.76 | GuillaumeCharron | APP_v5.H.4.xlsb | modAppli:WriteInfoOnMainMenu
2024-12-22 09:33:12.79 | GuillaumeCharron | APP_v5.H.4.xlsb | modAppli:WriteInfoOnMainMenu = '0,0312 secondes'

2024-12-22 09:33:12.85 | GuillaumeCharron | APP_v5.H.4.xlsb | ThisWorkbook:Workbook_Open = '0,4023 secondes'

2024-12-22 09:33:18.70 | GuillaumeCharron | APP_v5.H.4.xlsb | modMenu:menuTEC_Click
2024-12-22 09:33:18.76 | GuillaumeCharron | APP_v5.H.4.xlsb | modMenu:menuTEC_Click = '0,0625 secondes'

2024-12-22 09:33:19.81 | GuillaumeCharron | APP_v5.H.4.xlsb | modMenu:Hide_All_Worksheets_Except_Menu
2024-12-22 09:33:19.86 | GuillaumeCharron | APP_v5.H.4.xlsb | modMenu:Hide_All_Worksheets_Except_Menu = '0,0508 secondes'

2024-12-22 09:33:23.59 | GuillaumeCharron | APP_v5.H.4.xlsb | modMenu:SortirApplicationAprèsSauvegarde
2024-12-22 09:33:24.84 | GuillaumeCharron | APP_v5.H.4.xlsb | modMenu:Delete_User_Active_File
2024-12-22 09:33:24.87 | GuillaumeCharron | APP_v5.H.4.xlsb | modMenu:Delete_User_Active_File = '0,0352 secondes'

2024-12-22 09:33:24.90 | GuillaumeCharron | APP_v5.H.4.xlsb | modMenu:SortirApplicationAprèsSauvegarde = '1,3125 secondes'

2024-12-22 09:33:24.92 | GuillaumeCharron | APP_v5.H.4.xlsb | ***** Session terminée NORMALEMENT (modMenu:SortirApplicationAprèsSauvegarde) *****

2024-12-22 09:33:37.48 | GuillaumeCharron | APP_v5.H.4.xlsb | modMenu:menuComptabilite_Click
2024-12-22 09:33:37.54 | GuillaumeCharron | APP_v5.H.4.xlsb | modMenu:menuComptabilite_Click = '0,0586 secondes'

2024-12-22 09:33:40.94 | GuillaumeCharron | APP_v5.H.4.xlsb | modMenu:menuFacturation_Click
2024-12-22 09:33:40.98 | GuillaumeCharron | APP_v5.H.4.xlsb | modMenu:menuFacturation_Click = '0,0547 secondes'

2024-12-22 09:33:46.21 | GuillaumeCharron | APP_v5.H.4.xlsb | modCAR_Liste_Agée:CAR_CréerListeÂgée
2024-12-22 09:33:57.07 | GuillaumeCharron | APP_v5.H.4.xlsb | modCAR_Liste_Agée:CAR_CréerListeÂgée
2024-12-22 09:34:55.83 | GuillaumeCharron | APP_v5.H.4.xlsb | modMenu:menuFacturation_Click
2024-12-22 09:34:55.87 | GuillaumeCharron | APP_v5.H.4.xlsb | modMenu:menuFacturation_Click = '0,0430 secondes'

2024-12-22 09:35:00.43 | GuillaumeCharron | APP_v5.H.4.xlsb | modCAR_Liste_Agée:CAR_CréerListeÂgée
2024-12-22 09:36:32.10 | GuillaumeCharron | APP_v5.H.4.xlsb | wshMenuFAC:FAC_Confirmation_Click
2024-12-22 09:36:32.13 | GuillaumeCharron | APP_v5.H.4.xlsb | modImport:FAC_Comptes_Clients_Import_All
2024-12-22 09:36:32.40 | GuillaumeCharron | APP_v5.H.4.xlsb | modImport:FAC_Comptes_Clients_Import_All = '0,2734 secondes'

2024-12-22 09:36:32.42 | GuillaumeCharron | APP_v5.H.4.xlsb | modImport:FAC_Entête_Import_All
2024-12-22 09:36:32.63 | GuillaumeCharron | APP_v5.H.4.xlsb | modImport:FAC_Entête_Import_All = '0,2148 secondes'

2024-12-22 09:36:32.65 | GuillaumeCharron | APP_v5.H.4.xlsb | modImport:FAC_Détails_Import_All
2024-12-22 09:36:32.88 | GuillaumeCharron | APP_v5.H.4.xlsb | modImport:FAC_Détails_Import_All = '0,2383 secondes'

2024-12-22 09:36:32.91 | GuillaumeCharron | APP_v5.H.4.xlsb | wshFAC_Confirmation:Worksheet_Activate
2024-12-22 09:36:32.94 | GuillaumeCharron | APP_v5.H.4.xlsb | modImport:TEC_Import_All
2024-12-22 09:36:33.23 | GuillaumeCharron | APP_v5.H.4.xlsb | modImport:TEC_Import_All = '0,3008 secondes'

2024-12-22 09:36:33.25 | GuillaumeCharron | APP_v5.H.4.xlsb | modImport:FAC_Entête_Import_All
2024-12-22 09:36:33.43 | GuillaumeCharron | APP_v5.H.4.xlsb | modImport:FAC_Entête_Import_All = '0,1914 secondes'

2024-12-22 09:36:33.45 | GuillaumeCharron | APP_v5.H.4.xlsb | modImport:FAC_Détails_Import_All
2024-12-22 09:36:33.69 | GuillaumeCharron | APP_v5.H.4.xlsb | modImport:FAC_Détails_Import_All = '0,2422 secondes'

2024-12-22 09:36:33.71 | GuillaumeCharron | APP_v5.H.4.xlsb | modImport:FAC_Sommaire_Taux_Import_All
2024-12-22 09:36:33.85 | GuillaumeCharron | APP_v5.H.4.xlsb | modImport:FAC_Sommaire_Taux_Import_All = '0,1406 secondes'

2024-12-22 09:36:33.86 | GuillaumeCharron | APP_v5.H.4.xlsb | modImport:GL_Trans_Import_All
2024-12-22 09:36:34.14 | GuillaumeCharron | APP_v5.H.4.xlsb | modImport:GL_Trans_Import_All = '0,2852 secondes'

2024-12-22 09:36:34.18 | GuillaumeCharron | APP_v5.H.4.xlsb | modDev_Utils:SetTabOrder(wshFAC_Confirmation)
2024-12-22 09:36:34.23 | GuillaumeCharron | APP_v5.H.4.xlsb | modDev_Utils:SetTabOrder = '0,0547 secondes'

2024-12-22 09:36:34.25 | GuillaumeCharron | APP_v5.H.4.xlsb | wshFAC_Confirmation:NettoyerCellulesEtIconesPDF
2024-12-22 09:36:34.28 | GuillaumeCharron | APP_v5.H.4.xlsb | modFAC_Confirmation:MontrerFacturesAConfirmer
2024-12-22 09:36:34.30 | GuillaumeCharron | APP_v5.H.4.xlsb | modFAC_Confirmation:ObtenirFactureAConfirmer
2024-12-22 09:36:34.35 | GuillaumeCharron | APP_v5.H.4.xlsb | modFAC_Confirmation:ObtenirFactureAConfirmer = '0,0508 secondes'

2024-12-22 09:36:34.37 | GuillaumeCharron | APP_v5.H.4.xlsb | modFAC_Confirmation:MontrerFacturesAConfirmer = '0,0898 secondes'

2024-12-22 09:36:34.39 | GuillaumeCharron | APP_v5.H.4.xlsb | modFAC_Confirmation:NettoyerCellulesEtIconesPDF = '0,1406 secondes'

2024-12-22 09:36:34.41 | GuillaumeCharron | APP_v5.H.4.xlsb | wshFAC_Confirmation:Worksheet_Activate = '1,5000 secondes'

2024-12-22 09:36:34.44 | GuillaumeCharron | APP_v5.H.4.xlsb | wshMenuFAC:FAC_Confirmation_Click = '2,3398 secondes'

2024-12-22 09:36:36.98 | GuillaumeCharron | APP_v5.H.4.xlsb | modFAC_Confirmation:RetournerMenuFAC
2024-12-22 09:36:37.03 | GuillaumeCharron | APP_v5.H.4.xlsb | modFAC_Confirmation:RetournerMenuFAC = '0,0508 secondes'

2024-12-22 09:36:38.17 | GuillaumeCharron | APP_v5.H.4.xlsb | modMenu:Hide_All_Worksheets_Except_Menu
2024-12-22 09:36:38.21 | GuillaumeCharron | APP_v5.H.4.xlsb | modMenu:Hide_All_Worksheets_Except_Menu = '0,0430 secondes'

2024-12-22 09:36:50.48 | GuillaumeCharron | APP_v5.H.4.xlsb | modMenu:menuTEC_Click
2024-12-22 09:36:50.53 | GuillaumeCharron | APP_v5.H.4.xlsb | modMenu:menuTEC_Click = '0,0508 secondes'

2024-12-22 09:36:52.12 | GuillaumeCharron | APP_v5.H.4.xlsb | modMENU_TEC:TEC_Evaluation_Click
2024-12-22 09:36:52.15 | GuillaumeCharron | APP_v5.H.4.xlsb | wshTEC_Evaluation:Worksheet_Activate
2024-12-22 09:36:52.18 | GuillaumeCharron | APP_v5.H.4.xlsb | modImport:Client_List_Import_All
2024-12-22 09:36:52.32 | GuillaumeCharron | APP_v5.H.4.xlsb | modImport:ResizeTable
2024-12-22 09:36:52.34 | GuillaumeCharron | APP_v5.H.4.xlsb | modImport:ResizeTable = '0,0273 secondes'

2024-12-22 09:36:52.36 | GuillaumeCharron | APP_v5.H.4.xlsb | modImport:ApplyFormatting
2024-12-22 09:36:52.37 | GuillaumeCharron | APP_v5.H.4.xlsb | modImport:ApplyFormatting = '0,0234 secondes'

2024-12-22 09:36:52.44 | GuillaumeCharron | APP_v5.H.4.xlsb | modImport:Client_List_Import_All = '0,2695 secondes'

2024-12-22 09:36:52.46 | GuillaumeCharron | APP_v5.H.4.xlsb | modImport:TEC_Import_All
2024-12-22 09:36:52.80 | GuillaumeCharron | APP_v5.H.4.xlsb | modImport:TEC_Import_All = '0,3398 secondes'

2024-12-22 09:36:52.82 | GuillaumeCharron | APP_v5.H.4.xlsb | modDev_Utils:SetTabOrder(wshTEC_Evaluation)
2024-12-22 09:36:52.87 | GuillaumeCharron | APP_v5.H.4.xlsb | modDev_Utils:SetTabOrder = '0,0508 secondes'

2024-12-22 09:36:52.91 | GuillaumeCharron | APP_v5.H.4.xlsb | wshTEC_Evaluation:Worksheet_Change[$D$3]
