2024-12-23 16:43:09.21 | Guillaume | APP_v5.H.5.xlsb | ***** Début d'une nouvelle session (ThisWorkbook:Workbook_Open) *****
2024-12-23 16:43:09.42 | Guillaume | APP_v5.H.5.xlsb | ThisWorkbook:Create_User_Active_File
2024-12-23 16:43:09.85 | Guillaume | APP_v5.H.5.xlsb | ThisWorkbook:Create_User_Active_File = '0,5820 secondes'

2024-12-23 16:43:10.07 | Guillaume | APP_v5.H.5.xlsb | ThisWorkbook:Setup_UserDateFormat
2024-12-23 16:43:10.32 | Guillaume | APP_v5.H.5.xlsb | ThisWorkbook:Setup_UserDateFormat = '0,3750 secondes'

2024-12-23 16:43:10.52 | Guillaume | APP_v5.H.5.xlsb | ThisWorkbook:BackupMasterFile
2024-12-23 16:43:11.66 | Guillaume | APP_v5.H.5.xlsb | ThisWorkbook:BackupMasterFile = '1,2930 secondes'

2024-12-23 16:43:11.89 | Guillaume | APP_v5.H.5.xlsb | modMenu:HideDevShapesBasedOnUsername
2024-12-23 16:43:12.09 | Guillaume | APP_v5.H.5.xlsb | modMenu:HideDevShapesBasedOnUsername = '0,3359 secondes'

2024-12-23 16:43:12.29 | Guillaume | APP_v5.H.5.xlsb | modAppli:WriteInfoOnMainMenu
2024-12-23 16:43:12.64 | Guillaume | APP_v5.H.5.xlsb | modAppli:WriteInfoOnMainMenu = '0,4922 secondes'

2024-12-23 16:43:12.97 | Guillaume | APP_v5.H.5.xlsb | ThisWorkbook:Workbook_Open = '3,8906 secondes'

2024-12-23 16:43:13.41 | Guillaume | APP_v5.H.5.xlsb | modMenu:menuComptabilite_Click
2024-12-23 16:43:13.64 | Guillaume | APP_v5.H.5.xlsb | modMenu:menuComptabilite_Click = '0,3633 secondes'

2024-12-23 16:43:16.14 | Guillaume | APP_v5.H.5.xlsb | wshGL_EJ:Worksheet_Activate
2024-12-23 16:43:16.34 | Guillaume | APP_v5.H.5.xlsb | modImport:GL_Trans_Import_All
2024-12-23 16:43:18.00 | Guillaume | APP_v5.H.5.xlsb | modImport:GL_Trans_Import_All = '1,8203 secondes'

2024-12-23 16:43:18.23 | Guillaume | APP_v5.H.5.xlsb | modImport:GL_EJ_Recurrente_Import_All
2024-12-23 16:43:19.35 | Guillaume | APP_v5.H.5.xlsb | modGL_EJ:GL_EJ_Recurrente_Build_Summary
2024-12-23 16:43:20.11 | Guillaume | APP_v5.H.5.xlsb | modGL_EJ:GL_EJ_Recurrente_Build_Summary = '0,9141 secondes'

2024-12-23 16:43:20.44 | Guillaume | APP_v5.H.5.xlsb | modImport:GL_EJ_Recurrente_Import_All = '2,3398 secondes'

2024-12-23 16:43:20.77 | Guillaume | APP_v5.H.5.xlsb | modGL_EJ:GL_EJ_Clear_All_Cells
2024-12-23 16:43:21.12 | Guillaume | APP_v5.H.5.xlsb | modGL_EJ:GL_EJ_Clear_All_Cells = '0,4766 secondes'

2024-12-23 16:43:21.32 | Guillaume | APP_v5.H.5.xlsb | modDev_Utils:SetTabOrder(wshGL_EJ)
2024-12-23 16:43:21.58 | Guillaume | APP_v5.H.5.xlsb | modDev_Utils:SetTabOrder = '0,3867 secondes'

2024-12-23 16:43:21.78 | Guillaume | APP_v5.H.5.xlsb | modGL_EJ:GL_EJ_Clear_All_Cells
2024-12-23 16:43:22.12 | Guillaume | APP_v5.H.5.xlsb | modGL_EJ:GL_EJ_Clear_All_Cells = '0,4727 secondes'

2024-12-23 16:43:22.45 | Guillaume | APP_v5.H.5.xlsb | modFunctions:Fn_Complete_Date(23/12/24, 999, 15)
2024-12-23 16:43:22.65 | Guillaume | APP_v5.H.5.xlsb | modFunctions:Fn_Complete_Date = '0,3359 secondes'

2024-12-23 16:43:22.91 | Guillaume | APP_v5.H.5.xlsb | wshGL_EJ:Worksheet_Activate = '6,9141 secondes'

2024-12-23 16:43:42.48 | Guillaume | APP_v5.H.5.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description - DAS à payer
2024-12-23 16:43:42.73 | Guillaume | APP_v5.H.5.xlsb |      modFunctions:Fn_GetGL_Code_From_GL_Description - 2120
2024-12-23 16:43:42.95 | Guillaume | APP_v5.H.5.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description = '0,6055 secondes'

2024-12-23 16:43:49.88 | Guillaume | APP_v5.H.5.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description - Encaisse
2024-12-23 16:43:50.08 | Guillaume | APP_v5.H.5.xlsb |      modFunctions:Fn_GetGL_Code_From_GL_Description - 1000
2024-12-23 16:43:50.29 | Guillaume | APP_v5.H.5.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description = '0,5469 secondes'

2024-12-23 16:43:57.33 | Guillaume | APP_v5.H.5.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description - Encaisse
2024-12-23 16:43:57.55 | Guillaume | APP_v5.H.5.xlsb |      modFunctions:Fn_GetGL_Code_From_GL_Description - 1000
2024-12-23 16:43:57.77 | Guillaume | APP_v5.H.5.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description = '0,5742 secondes'

2024-12-23 16:44:24.93 | Guillaume | APP_v5.H.5.xlsb | modGL_EJ:GL_EJ_Update
2024-12-23 16:44:25.15 | Guillaume | APP_v5.H.5.xlsb | modGL_EJ:GL_Trans_Add_Record_To_DB
2024-12-23 16:44:27.11 | Guillaume | APP_v5.H.5.xlsb | modGL_EJ:GL_Trans_Add_Record_To_DB = '2,1055 secondes'

2024-12-23 16:44:27.34 | Guillaume | APP_v5.H.5.xlsb | modGL_EJ:GL_Trans_Add_Record_Locally
2024-12-23 16:44:30.59 | Guillaume | APP_v5.H.5.xlsb | modGL_EJ:GL_Trans_Add_Record_Locally = '3,3789 secondes'

2024-12-23 16:44:30.84 | Guillaume | APP_v5.H.5.xlsb | modGL_EJ:GL_EJ_Clear_All_Cells
2024-12-23 16:44:31.26 | Guillaume | APP_v5.H.5.xlsb | modGL_EJ:GL_EJ_Clear_All_Cells = '0,5469 secondes'

2024-12-23 16:44:33.11 | Guillaume | APP_v5.H.5.xlsb | modGL_EJ:GL_EJ_Update = '8,3359 secondes'

2024-12-23 16:44:39.24 | Guillaume | APP_v5.H.5.xlsb | modMenu:Hide_All_Worksheets_Except_Menu
2024-12-23 16:44:39.48 | Guillaume | APP_v5.H.5.xlsb | modMenu:Hide_All_Worksheets_Except_Menu = '0,3633 secondes'

2024-12-23 16:45:16.69 | Guillaume | APP_v5.H.5.xlsb | modMenu:menuComptabilite_Click
2024-12-23 16:45:16.96 | Guillaume | APP_v5.H.5.xlsb | modMenu:menuComptabilite_Click = '0,4023 secondes'

2024-12-23 16:45:18.86 | Guillaume | APP_v5.H.5.xlsb | wshGL_EJ:Worksheet_Activate
2024-12-23 16:45:19.09 | Guillaume | APP_v5.H.5.xlsb | modImport:GL_Trans_Import_All
2024-12-23 16:45:21.94 | Guillaume | APP_v5.H.5.xlsb | modImport:GL_Trans_Import_All = '2,9844 secondes'

2024-12-23 16:45:22.14 | Guillaume | APP_v5.H.5.xlsb | modImport:GL_EJ_Recurrente_Import_All
2024-12-23 16:45:23.23 | Guillaume | APP_v5.H.5.xlsb | modGL_EJ:GL_EJ_Recurrente_Build_Summary
2024-12-23 16:45:23.92 | Guillaume | APP_v5.H.5.xlsb | modGL_EJ:GL_EJ_Recurrente_Build_Summary = '0,8203 secondes'

2024-12-23 16:45:24.23 | Guillaume | APP_v5.H.5.xlsb | modImport:GL_EJ_Recurrente_Import_All = '2,2227 secondes'

2024-12-23 16:45:24.55 | Guillaume | APP_v5.H.5.xlsb | modGL_EJ:GL_EJ_Clear_All_Cells
2024-12-23 16:45:24.90 | Guillaume | APP_v5.H.5.xlsb | modGL_EJ:GL_EJ_Clear_All_Cells = '0,4844 secondes'

2024-12-23 16:45:25.11 | Guillaume | APP_v5.H.5.xlsb | modDev_Utils:SetTabOrder(wshGL_EJ)
2024-12-23 16:45:25.38 | Guillaume | APP_v5.H.5.xlsb | modDev_Utils:SetTabOrder = '0,4023 secondes'

2024-12-23 16:45:25.59 | Guillaume | APP_v5.H.5.xlsb | modGL_EJ:GL_EJ_Clear_All_Cells
2024-12-23 16:45:25.98 | Guillaume | APP_v5.H.5.xlsb | modGL_EJ:GL_EJ_Clear_All_Cells = '0,5195 secondes'

