2025-01-06 09:28:17.90 | Annie | APP_v5.G.5.xlsb | ***** Début d'une nouvelle session (ThisWorkbook:Workbook_Open) *****
2025-01-06 09:28:17.00 | Annie | APP_v5.G.5.xlsb | ThisWorkbook:Create_User_Active_File
2025-01-06 09:28:18.14 | Annie | APP_v5.G.5.xlsb | ThisWorkbook:Create_User_Active_File = 0.1602 sec.

2025-01-06 09:28:20.45 | Annie | APP_v5.G.5.xlsb | modAppli:Write_Info_On_Main_Menu
2025-01-06 09:28:24.27 | Annie | APP_v5.G.5.xlsb | modAppli:Hide_All_Worksheets_Except_Menu
2025-01-06 09:28:24.36 | Annie | APP_v5.G.5.xlsb | modAppli:Hide_All_Worksheets_Except_Menu = 0.1211 sec.

2025-01-06 09:28:24.45 | Annie | APP_v5.G.5.xlsb | modMenu:Delete_User_Active_File
2025-01-06 09:28:24.59 | Annie | APP_v5.G.5.xlsb | modMenu:Delete_User_Active_File = 0.1602 sec.

2025-01-06 09:28:24.71 | Annie | APP_v5.G.5.xlsb | ***** Session terminée NORMALEMENT (modMenu:Exit_After_Saving) *****

2025-01-06 15:06:42.73 | Annie | APP_v5.J.xlsb | ***** Début d'une nouvelle session (modAppli:CodeEssentielDepart) *****
2025-01-06 15:06:42.80 | Annie | APP_v5.J.xlsb | OK - Validation d'accès serveur terminée = '0.0156 secondes'

2025-01-06 15:06:42.88 | Annie | APP_v5.J.xlsb | ThisWorkbook:Create_User_Active_File
2025-01-06 15:06:43.03 | Annie | APP_v5.J.xlsb | ThisWorkbook:Create_User_Active_File = '0.1602 secondes'

2025-01-06 15:06:43.11 | Annie | APP_v5.J.xlsb | ThisWorkbook:Setup_UserDateFormat
2025-01-06 15:06:43.21 | Annie | APP_v5.J.xlsb | ThisWorkbook:Setup_UserDateFormat = '0.1172 secondes'

2025-01-06 15:06:43.29 | Annie | APP_v5.J.xlsb | ThisWorkbook:BackupMasterFile
2025-01-06 15:06:44.41 | Annie | APP_v5.J.xlsb | ThisWorkbook:BackupMasterFile = '1.1367 secondes'

2025-01-06 15:06:44.49 | Annie | APP_v5.J.xlsb | modAppli:WriteInfoOnMainMenu
2025-01-06 15:06:44.62 | Annie | APP_v5.J.xlsb | modAppli:WriteInfoOnMainMenu = '0.1445 secondes'

2025-01-06 15:06:44.70 | Annie | APP_v5.J.xlsb | modMenu:HideDevShapesBasedOnUsername
2025-01-06 15:06:44.79 | Annie | APP_v5.J.xlsb | modMenu:HideDevShapesBasedOnUsername = '0.0977 secondes'

2025-01-06 15:06:44.90 | Annie | APP_v5.J.xlsb | modAppli:CodeEssentielDepart = '2.1875 secondes'

2025-01-06 15:06:50.84 | Annie | APP_v5.J.xlsb | modMenu:menuTEC_Click
2025-01-06 15:06:50.97 | Annie | APP_v5.J.xlsb | modMenu:menuTEC_Click = '0.1445 secondes'

2025-01-06 15:06:51.94 | Annie | APP_v5.J.xlsb | modMENU_TEC:SaisieHeures_Click
2025-01-06 15:06:52.05 | Annie | APP_v5.J.xlsb | modMENU_TEC:SaisieHeures_Click = '0.1289 secondes'

2025-01-06 15:06:52.14 | Annie | APP_v5.J.xlsb | ufSaisieHeures:UserForm_Activate
2025-01-06 15:06:52.22 | Annie | APP_v5.J.xlsb | modImport:Client_List_Import_All
2025-01-06 15:06:52.98 | Annie | APP_v5.J.xlsb | modImport:ResizeTable
2025-01-06 15:06:53.06 | Annie | APP_v5.J.xlsb | modImport:ResizeTable = '0.0938 secondes'

2025-01-06 15:06:53.14 | Annie | APP_v5.J.xlsb | modImport:ApplyFormatting
2025-01-06 15:06:53.22 | Annie | APP_v5.J.xlsb | modImport:ApplyFormatting = '0.0938 secondes'

2025-01-06 15:06:53.37 | Annie | APP_v5.J.xlsb | modImport:Client_List_Import_All = '1.1641 secondes'

2025-01-06 15:06:53.45 | Annie | APP_v5.J.xlsb | modImport:TEC_Import_All
2025-01-06 15:06:54.68 | Annie | APP_v5.J.xlsb | modImport:TEC_Import_All = '1.2500 secondes'

2025-01-06 15:06:54.79 | Annie | APP_v5.J.xlsb | ufSaisieHeures:UserForm_Activate = '2.6641 secondes'

2025-01-06 15:06:58.77 | Annie | APP_v5.J.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate
2025-01-06 15:06:58.86 | Annie | APP_v5.J.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate = '0.1016 secondes'

2025-01-06 15:07:02.11 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2025-01-06 15:07:02.20 | Annie | APP_v5.J.xlsb | modFunctions:Fn_Complete_Date(2025-01-06, 600, 15)
2025-01-06 15:07:02.28 | Annie | APP_v5.J.xlsb | modFunctions:Fn_Complete_Date = '0.0938 secondes'

2025-01-06 15:07:02.36 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtDate_BeforeUpdate = '0.2695 secondes'

2025-01-06 15:07:02.45 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtDate_AfterUpdate
2025-01-06 15:07:02.57 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 3/2025-01-06
2025-01-06 15:07:02.79 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF = '0.2344 secondes'

2025-01-06 15:07:02.87 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 3/2025-01-06
