2025-01-07 12:32:54.68 | Annie | APP_v5.J.xlsb | ***** Début d'une nouvelle session (modAppli:CodeEssentielDepart) *****
2025-01-07 12:32:54.76 | Annie | APP_v5.J.xlsb | OK - Validation d'accès serveur terminée = '0.0156 secondes'

2025-01-07 12:32:54.83 | Annie | APP_v5.J.xlsb | ThisWorkbook:Create_User_Active_File
2025-01-07 12:32:54.96 | Annie | APP_v5.J.xlsb | ThisWorkbook:Create_User_Active_File = '0.1484 secondes'

2025-01-07 12:32:55.04 | Annie | APP_v5.J.xlsb | ThisWorkbook:Setup_UserDateFormat
2025-01-07 12:32:55.14 | Annie | APP_v5.J.xlsb | ThisWorkbook:Setup_UserDateFormat = '0.1211 secondes'

2025-01-07 12:32:55.22 | Annie | APP_v5.J.xlsb | ThisWorkbook:BackupMasterFile
2025-01-07 12:32:56.34 | Annie | APP_v5.J.xlsb | ThisWorkbook:BackupMasterFile = '1.1367 secondes'

2025-01-07 12:32:56.42 | Annie | APP_v5.J.xlsb | modAppli:WriteInfoOnMainMenu
2025-01-07 12:32:56.53 | Annie | APP_v5.J.xlsb | modAppli:WriteInfoOnMainMenu = '0.1289 secondes'

2025-01-07 12:32:56.60 | Annie | APP_v5.J.xlsb | modMenu:HideDevShapesBasedOnUsername
2025-01-07 12:32:56.68 | Annie | APP_v5.J.xlsb | modMenu:HideDevShapesBasedOnUsername = '0.0938 secondes'

2025-01-07 12:32:56.77 | Annie | APP_v5.J.xlsb | modAppli:CodeEssentielDepart = '2.1133 secondes'

2025-01-07 12:32:56.89 | Annie | APP_v5.J.xlsb | modMenu:menuTEC_Click
2025-01-07 12:32:57.00 | Annie | APP_v5.J.xlsb | modMenu:menuTEC_Click = '0.1367 secondes'

2025-01-07 12:32:57.92 | Annie | APP_v5.J.xlsb | modMENU_TEC:SaisieHeures_Click
2025-01-07 12:32:58.06 | Annie | APP_v5.J.xlsb | modMENU_TEC:SaisieHeures_Click = '0.1562 secondes'

2025-01-07 12:32:58.15 | Annie | APP_v5.J.xlsb | ufSaisieHeures:UserForm_Activate
2025-01-07 12:32:58.23 | Annie | APP_v5.J.xlsb | modImport:Client_List_Import_All
2025-01-07 12:32:59.04 | Annie | APP_v5.J.xlsb | modImport:ResizeTable
2025-01-07 12:32:59.12 | Annie | APP_v5.J.xlsb | modImport:ResizeTable = '0.0977 secondes'

2025-01-07 12:32:59.20 | Annie | APP_v5.J.xlsb | modImport:ApplyFormatting
2025-01-07 12:32:59.28 | Annie | APP_v5.J.xlsb | modImport:ApplyFormatting = '0.0898 secondes'

2025-01-07 12:32:59.42 | Annie | APP_v5.J.xlsb | modImport:Client_List_Import_All = '1.2031 secondes'

2025-01-07 12:32:59.50 | Annie | APP_v5.J.xlsb | modImport:TEC_Import_All
2025-01-07 12:33:00.73 | Annie | APP_v5.J.xlsb | modImport:TEC_Import_All = '1.2617 secondes'

2025-01-07 12:33:00.88 | Annie | APP_v5.J.xlsb | ufSaisieHeures:UserForm_Activate = '2.7500 secondes'

2025-01-07 12:33:03.94 | Annie | APP_v5.J.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate
2025-01-07 12:33:04.04 | Annie | APP_v5.J.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate = '0.1094 secondes'

2025-01-07 12:33:56.00 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2025-01-07 12:33:57.07 | Annie | APP_v5.J.xlsb | modFunctions:Fn_Complete_Date(2025-01-07, 600, 15)
2025-01-07 12:33:57.14 | Annie | APP_v5.J.xlsb | modFunctions:Fn_Complete_Date = '0.0898 secondes'

2025-01-07 12:33:57.23 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtDate_BeforeUpdate = '0.2422 secondes'

2025-01-07 12:33:57.30 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtDate_AfterUpdate
2025-01-07 12:33:57.38 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 3/2025-01-07
2025-01-07 12:33:57.61 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF = '0.2344 secondes'

2025-01-07 12:33:57.68 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 3/2025-01-07
2025-01-07 12:33:57.80 | Annie | APP_v5.J.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2025-01-07 12:33:57.88 | Annie | APP_v5.J.xlsb | modTEC_TDB:ActualiserTEC_TDB
2025-01-07 12:33:57.97 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-01-07 12:33:58.17 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = '0.2109 secondes'

2025-01-07 12:33:58.26 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-01-07 12:33:58.51 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = '0.2656 secondes'

2025-01-07 12:33:58.61 | Annie | APP_v5.J.xlsb | modTEC_TDB:ActualiserTEC_TDB = '0.7578 secondes'

