2025-01-07 16:29:30.23 | User | APP_v5.J.xlsb | ***** Début d'une nouvelle session (modAppli:CodeEssentielDepart) *****
2025-01-07 16:29:30.31 | User | APP_v5.J.xlsb | OK - Validation d'accès serveur terminée = '0,0117 secondes'

2025-01-07 16:29:30.36 | User | APP_v5.J.xlsb | ThisWorkbook:Create_User_Active_File
2025-01-07 16:29:30.45 | User | APP_v5.J.xlsb | ThisWorkbook:Create_User_Active_File = '0,0898 secondes'

2025-01-07 16:29:30.49 | User | APP_v5.J.xlsb | ThisWorkbook:Setup_UserDateFormat
2025-01-07 16:29:30.55 | User | APP_v5.J.xlsb | ThisWorkbook:Setup_UserDateFormat = '0,0664 secondes'

2025-01-07 16:29:30.61 | User | APP_v5.J.xlsb | ThisWorkbook:BackupMasterFile
2025-01-07 16:29:31.03 | User | APP_v5.J.xlsb | ThisWorkbook:BackupMasterFile = '0,4336 secondes'

2025-01-07 16:29:31.09 | User | APP_v5.J.xlsb | modAppli:WriteInfoOnMainMenu
2025-01-07 16:29:31.14 | User | APP_v5.J.xlsb | modAppli:WriteInfoOnMainMenu = '0,0664 secondes'

2025-01-07 16:29:31.20 | User | APP_v5.J.xlsb | modMenu:HideDevShapesBasedOnUsername
2025-01-07 16:29:31.25 | User | APP_v5.J.xlsb | modMenu:HideDevShapesBasedOnUsername = '0,0586 secondes'

2025-01-07 16:29:31.34 | User | APP_v5.J.xlsb | modAppli:CodeEssentielDepart = '1,1094 secondes'

2025-01-07 16:29:32.93 | User | APP_v5.J.xlsb | modMenu:menuTEC_Click
2025-01-07 16:29:33.04 | User | APP_v5.J.xlsb | modMenu:menuTEC_Click = '0,1211 secondes'

2025-01-07 16:29:34.57 | User | APP_v5.J.xlsb | modMENU_TEC:SaisieHeures_Click
2025-01-07 16:29:34.81 | User | APP_v5.J.xlsb | modMENU_TEC:SaisieHeures_Click = '0,2500 secondes'

2025-01-07 16:29:34.90 | User | APP_v5.J.xlsb | ufSaisieHeures:UserForm_Activate
2025-01-07 16:29:34.95 | User | APP_v5.J.xlsb | modImport:Client_List_Import_All
2025-01-07 16:29:35.42 | User | APP_v5.J.xlsb | modImport:ResizeTable
2025-01-07 16:29:35.47 | User | APP_v5.J.xlsb | modImport:ResizeTable = '0,0547 secondes'

2025-01-07 16:29:35.51 | User | APP_v5.J.xlsb | modImport:ApplyFormatting
2025-01-07 16:29:35.56 | User | APP_v5.J.xlsb | modImport:ApplyFormatting = '0,0586 secondes'

2025-01-07 16:29:35.66 | User | APP_v5.J.xlsb | modImport:Client_List_Import_All = '0,7266 secondes'

2025-01-07 16:29:35.71 | User | APP_v5.J.xlsb | modImport:TEC_Import_All
2025-01-07 16:29:36.30 | User | APP_v5.J.xlsb | modImport:TEC_Import_All = '0,5977 secondes'

2025-01-07 16:29:36.38 | User | APP_v5.J.xlsb | ufSaisieHeures:UserForm_Activate = '1,4922 secondes'

2025-01-07 16:29:39.11 | User | APP_v5.J.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate
2025-01-07 16:29:39.17 | User | APP_v5.J.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate = '0,0703 secondes'

2025-01-07 16:29:41.85 | User | APP_v5.J.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2025-01-07 16:29:41.92 | User | APP_v5.J.xlsb | modFunctions:Fn_Complete_Date(07-01-2025, 600, 15)
2025-01-07 16:29:44.60 | User | APP_v5.J.xlsb | modFunctions:Fn_Complete_Date = '2,6953 secondes'

2025-01-07 16:31:24.55 | User | APP_v5.J.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2025-01-07 16:31:24.61 | User | APP_v5.J.xlsb | modFunctions:Fn_Complete_Date(2025-01-06, 600, 15)
2025-01-07 16:31:24.66 | User | APP_v5.J.xlsb | modFunctions:Fn_Complete_Date = '0,0586 secondes'

2025-01-07 16:31:24.71 | User | APP_v5.J.xlsb | ufSaisieHeures:txtDate_BeforeUpdate = '0,1758 secondes'

2025-01-07 16:31:24.76 | User | APP_v5.J.xlsb | ufSaisieHeures:txtDate_AfterUpdate
2025-01-07 16:31:24.83 | User | APP_v5.J.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 4/01-06-2025
2025-01-07 16:31:24.98 | User | APP_v5.J.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF = '0,1602 secondes'

2025-01-07 16:31:25.04 | User | APP_v5.J.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 4/01-06-2025
