2025-01-09 09:52:45.77 | GuillaumeCharron | APP_v5.L.1.xlsb | ***** Début d'une nouvelle session (modAppli:CodeEssentielDepart) *****
2025-01-09 09:52:45.79 | GuillaumeCharron | APP_v5.L.1.xlsb | Validation d'accès serveur terminée *** = '0,0195 secondes'

2025-01-09 09:52:45.82 | GuillaumeCharron | APP_v5.L.1.xlsb | ThisWorkbook:Create_User_Active_File
2025-01-09 09:52:45.86 | GuillaumeCharron | APP_v5.L.1.xlsb | ThisWorkbook:Create_User_Active_File *** = '0,0469 secondes'

2025-01-09 09:52:45.89 | GuillaumeCharron | APP_v5.L.1.xlsb | ThisWorkbook:Setup_UserDateFormat
2025-01-09 09:52:45.91 | GuillaumeCharron | APP_v5.L.1.xlsb | ThisWorkbook:Setup_UserDateFormat *** = '0,0273 secondes'

2025-01-09 09:52:45.93 | GuillaumeCharron | APP_v5.L.1.xlsb | ThisWorkbook:BackupMasterFile
2025-01-09 09:52:46.03 | GuillaumeCharron | APP_v5.L.1.xlsb | ThisWorkbook:BackupMasterFile *** = '0,1055 secondes'

2025-01-09 09:52:46.05 | GuillaumeCharron | APP_v5.L.1.xlsb | modAppli:WriteInfoOnMainMenu
2025-01-09 09:52:46.08 | GuillaumeCharron | APP_v5.L.1.xlsb | modAppli:WriteInfoOnMainMenu *** = '0,0352 secondes'

2025-01-09 09:52:46.11 | GuillaumeCharron | APP_v5.L.1.xlsb | modMenu:HideDevShapesBasedOnUsername
2025-01-09 09:52:46.13 | GuillaumeCharron | APP_v5.L.1.xlsb | modMenu:HideDevShapesBasedOnUsername *** = '0,0234 secondes'

2025-01-09 09:52:46.15 | GuillaumeCharron | APP_v5.L.1.xlsb | modAppli:CodeEssentielDepart *** = '0,3828 secondes'

2025-01-09 09:53:36.50 | GuillaumeCharron | APP_v5.L.1.xlsb | modMenu:menuTEC_Click
2025-01-09 09:53:36.55 | GuillaumeCharron | APP_v5.L.1.xlsb | modMenu:menuTEC_Click *** = '0,0547 secondes'

2025-01-09 09:53:37.17 | GuillaumeCharron | APP_v5.L.1.xlsb | modMENU_TEC:SaisieHeures_Click
2025-01-09 09:53:37.21 | GuillaumeCharron | APP_v5.L.1.xlsb | modMENU_TEC:SaisieHeures_Click *** = '0,0508 secondes'

2025-01-09 09:53:37.25 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:UserForm_Activate
2025-01-09 09:53:37.27 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:Client_List_Import_All
2025-01-09 09:53:37.45 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:ResizeTable
2025-01-09 09:53:37.47 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:ResizeTable *** = '0,0273 secondes'

2025-01-09 09:53:37.49 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:ApplyFormatting
2025-01-09 09:53:37.52 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:ApplyFormatting *** = '0,0273 secondes'

2025-01-09 09:53:37.59 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:Client_List_Import_All *** = '0,3242 secondes'

2025-01-09 09:53:37.61 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:TEC_Import_All
2025-01-09 09:53:37.91 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:TEC_Import_All *** = '0,3086 secondes'

2025-01-09 09:53:37.95 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:UserForm_Activate *** = '0,7070 secondes'

2025-01-09 09:53:40.07 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate
2025-01-09 09:53:40.09 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate *** = '0,0273 secondes'

2025-01-09 09:53:40.53 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2025-01-09 09:53:40.55 | GuillaumeCharron | APP_v5.L.1.xlsb | modFunctions:Fn_Complete_Date(09/01/25, 600, 15)
2025-01-09 09:53:40.57 | GuillaumeCharron | APP_v5.L.1.xlsb | modFunctions:Fn_Complete_Date *** = '0,0234 secondes'

2025-01-09 09:53:40.59 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:txtDate_BeforeUpdate *** = '0,0664 secondes'

2025-01-09 09:53:40.61 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:txtDate_AfterUpdate
2025-01-09 09:53:40.63 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 1/09/01/25
2025-01-09 09:53:40.73 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF *** = '0,1055 secondes'

2025-01-09 09:53:40.76 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/09/01/25
2025-01-09 09:53:40.80 | GuillaumeCharron | APP_v5.L.1.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2025-01-09 09:53:40.83 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_TDB:ActualiserTEC_TDB
2025-01-09 09:53:40.85 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-01-09 09:53:40.99 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local *** = '0,1445 secondes'

2025-01-09 09:53:41.02 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-01-09 09:53:41.20 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables *** = '0,1836 secondes'

2025-01-09 09:53:41.22 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_TDB:ActualiserTEC_TDB *** = '0,3945 secondes'

2025-01-09 09:53:41.24 | GuillaumeCharron | APP_v5.L.1.xlsb | modStatsHeures:Stats_Heures_AF
2025-01-09 09:53:41.47 | GuillaumeCharron | APP_v5.L.1.xlsb | modStatsHeures:Stats_Heures_AF *** = '0,2344 secondes'

2025-01-09 09:53:41.50 | GuillaumeCharron | APP_v5.L.1.xlsb | modAppli:UpdatePivotTables
2025-01-09 09:53:41.56 | GuillaumeCharron | APP_v5.L.1.xlsb | modAppli:UpdatePivotTables *** = '0,0703 secondes'

2025-01-09 09:53:41.59 | GuillaumeCharron | APP_v5.L.1.xlsb | wshTEC_TDB_Data:Worksheet_Change *** = '0,7930 secondes'

2025-01-09 09:53:41.65 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/09/01/25 *** = '0,8945 secondes'

2025-01-09 09:53:41.67 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:txtDate_AfterUpdate *** = '1,0625 secondes'

2025-01-09 09:53:44.25 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:txtClient_AfterUpdate[laporte]
2025-01-09 09:53:44.27 | GuillaumeCharron | APP_v5.L.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - laporte
