2025-01-13 12:16:33.97 | vgervais | APP_v5.M.xlsb | ***** Début d'une nouvelle session (modAppli:CodeEssentielDepart) *****
2025-01-13 12:16:34.03 | vgervais | APP_v5.M.xlsb | Validation d'accès serveur terminée *** = '0,0039 secondes'

2025-01-13 12:16:34.07 | vgervais | APP_v5.M.xlsb | ThisWorkbook:Create_User_Active_File
2025-01-13 12:16:34.14 | vgervais | APP_v5.M.xlsb | ThisWorkbook:Create_User_Active_File *** = '0,0781 secondes'

2025-01-13 12:16:34.18 | vgervais | APP_v5.M.xlsb | ThisWorkbook:Setup_UserDateFormat
2025-01-13 12:16:34.22 | vgervais | APP_v5.M.xlsb | ThisWorkbook:Setup_UserDateFormat *** = '0,0508 secondes'

2025-01-13 12:16:34.26 | vgervais | APP_v5.M.xlsb | ThisWorkbook:BackupMasterFile
2025-01-13 12:16:34.59 | vgervais | APP_v5.M.xlsb | ThisWorkbook:BackupMasterFile *** = '0,3281 secondes'

2025-01-13 12:16:34.62 | vgervais | APP_v5.M.xlsb | modAppli:WriteInfoOnMainMenu
2025-01-13 12:16:34.67 | vgervais | APP_v5.M.xlsb | modAppli:WriteInfoOnMainMenu *** = '0,0547 secondes'

2025-01-13 12:16:34.71 | vgervais | APP_v5.M.xlsb | modMenu:HideDevShapesBasedOnUsername
2025-01-13 12:16:34.75 | vgervais | APP_v5.M.xlsb | modMenu:HideDevShapesBasedOnUsername *** = '0,0430 secondes'

2025-01-13 12:16:34.79 | vgervais | APP_v5.M.xlsb | modAppli:CodeEssentielDepart *** = '0,8242 secondes'

2025-01-13 12:16:39.02 | vgervais | APP_v5.M.xlsb | modMenu:menuTEC_Click
2025-01-13 12:16:39.08 | vgervais | APP_v5.M.xlsb | modMenu:menuTEC_Click *** = '0,0664 secondes'

2025-01-13 12:16:39.64 | vgervais | APP_v5.M.xlsb | modMENU_TEC:SaisieHeures_Click
2025-01-13 12:16:39.70 | vgervais | APP_v5.M.xlsb | modMENU_TEC:SaisieHeures_Click *** = '0,0664 secondes'

2025-01-13 12:16:39.74 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:UserForm_Activate
2025-01-13 12:16:39.79 | vgervais | APP_v5.M.xlsb | modImport:Client_List_Import_All
2025-01-13 12:16:40.16 | vgervais | APP_v5.M.xlsb | modImport:ResizeTable
2025-01-13 12:16:40.20 | vgervais | APP_v5.M.xlsb | modImport:ResizeTable *** = '0,0430 secondes'

2025-01-13 12:16:40.24 | vgervais | APP_v5.M.xlsb | modImport:ApplyFormatting
2025-01-13 12:16:40.27 | vgervais | APP_v5.M.xlsb | modImport:ApplyFormatting *** = '0,0391 secondes'

2025-01-13 12:16:40.36 | vgervais | APP_v5.M.xlsb | modImport:Client_List_Import_All *** = '0,5742 secondes'

2025-01-13 12:16:40.40 | vgervais | APP_v5.M.xlsb | modImport:TEC_Import_All
2025-01-13 12:16:40.84 | vgervais | APP_v5.M.xlsb | modImport:TEC_Import_All *** = '0,4492 secondes'

2025-01-13 12:16:40.89 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:UserForm_Activate *** = '1,1562 secondes'

2025-01-13 12:16:42.29 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate
2025-01-13 12:16:42.34 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate *** = '0,0469 secondes'

2025-01-13 12:16:43.22 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2025-01-13 12:16:43.26 | vgervais | APP_v5.M.xlsb | modFunctions:Fn_Complete_Date(13-01-2025, 600, 15)
2025-01-13 12:16:43.30 | vgervais | APP_v5.M.xlsb | modFunctions:Fn_Complete_Date *** = '0,0469 secondes'

2025-01-13 12:16:43.34 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtDate_BeforeUpdate *** = '0,1250 secondes'

2025-01-13 12:16:43.38 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtDate_AfterUpdate
2025-01-13 12:16:43.42 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 2/13-01-2025
2025-01-13 12:16:43.50 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF *** = '0,0859 secondes'

2025-01-13 12:16:43.54 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/13-01-2025
