2025-01-14 08:49:17.45 | GuillaumeCharron | APP_v5.M.xlsb | ***** Début d'une nouvelle session (modAppli:CodeEssentielDepart) *****
2025-01-14 08:49:17.48 | GuillaumeCharron | APP_v5.M.xlsb | Validation d'accès serveur terminée *** = '0,0117 secondes'

2025-01-14 08:49:17.51 | GuillaumeCharron | APP_v5.M.xlsb | ThisWorkbook:Create_User_Active_File
2025-01-14 08:49:17.56 | GuillaumeCharron | APP_v5.M.xlsb | ThisWorkbook:Create_User_Active_File *** = '0,0605 secondes'

2025-01-14 08:49:17.59 | GuillaumeCharron | APP_v5.M.xlsb | ThisWorkbook:Setup_UserDateFormat
2025-01-14 08:49:17.61 | GuillaumeCharron | APP_v5.M.xlsb | ThisWorkbook:Setup_UserDateFormat *** = '0,0312 secondes'

2025-01-14 08:49:17.63 | GuillaumeCharron | APP_v5.M.xlsb | ThisWorkbook:BackupMasterFile
2025-01-14 08:49:18.38 | GuillaumeCharron | APP_v5.M.xlsb | ThisWorkbook:BackupMasterFile *** = '0,7520 secondes'

2025-01-14 08:49:18.40 | GuillaumeCharron | APP_v5.M.xlsb | modAppli:WriteInfoOnMainMenu
2025-01-14 08:49:18.47 | GuillaumeCharron | APP_v5.M.xlsb | modAppli:WriteInfoOnMainMenu *** = '0,0742 secondes'

2025-01-14 08:49:18.50 | GuillaumeCharron | APP_v5.M.xlsb | modMenu:HideDevShapesBasedOnUsername
2025-01-14 08:49:18.54 | GuillaumeCharron | APP_v5.M.xlsb | modMenu:HideDevShapesBasedOnUsername *** = '0,0430 secondes'

2025-01-14 08:49:18.56 | GuillaumeCharron | APP_v5.M.xlsb | modAppli:CodeEssentielDepart *** = '1,1191 secondes'

2025-01-14 08:49:23.28 | GuillaumeCharron | APP_v5.M.xlsb | modMenu:menuTEC_Click
2025-01-14 08:49:23.34 | GuillaumeCharron | APP_v5.M.xlsb | modMenu:menuTEC_Click *** = '0,0684 secondes'

2025-01-14 08:49:23.85 | GuillaumeCharron | APP_v5.M.xlsb | modMENU_TEC:SaisieHeures_Click
2025-01-14 08:49:23.91 | GuillaumeCharron | APP_v5.M.xlsb | modMENU_TEC:SaisieHeures_Click *** = '0,0723 secondes'

2025-01-14 08:49:23.95 | GuillaumeCharron | APP_v5.M.xlsb | ufSaisieHeures:UserForm_Activate
2025-01-14 08:49:23.97 | GuillaumeCharron | APP_v5.M.xlsb | modImport:Client_List_Import_All
2025-01-14 08:49:24.55 | GuillaumeCharron | APP_v5.M.xlsb | modImport:ResizeTable
2025-01-14 08:49:24.57 | GuillaumeCharron | APP_v5.M.xlsb | modImport:ResizeTable *** = '0,0273 secondes'

2025-01-14 08:49:24.59 | GuillaumeCharron | APP_v5.M.xlsb | modImport:ApplyFormatting
2025-01-14 08:49:24.61 | GuillaumeCharron | APP_v5.M.xlsb | modImport:ApplyFormatting *** = '0,0195 secondes'

2025-01-14 08:49:24.68 | GuillaumeCharron | APP_v5.M.xlsb | modImport:Client_List_Import_All *** = '0,7148 secondes'

2025-01-14 08:49:24.70 | GuillaumeCharron | APP_v5.M.xlsb | modImport:TEC_Import_All
2025-01-14 08:49:25.49 | GuillaumeCharron | APP_v5.M.xlsb | modImport:TEC_Import_All *** = '0,7910 secondes'

2025-01-14 08:49:25.52 | GuillaumeCharron | APP_v5.M.xlsb | ufSaisieHeures:UserForm_Activate *** = '1,5781 secondes'

2025-01-14 08:49:27.32 | GuillaumeCharron | APP_v5.M.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate
2025-01-14 08:49:27.35 | GuillaumeCharron | APP_v5.M.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate *** = '0,0254 secondes'

2025-01-14 08:49:27.67 | GuillaumeCharron | APP_v5.M.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2025-01-14 08:49:27.69 | GuillaumeCharron | APP_v5.M.xlsb | modFunctions:Fn_Complete_Date(14/01/25, 600, 15)
