2025-01-17 05:25:57.16 | GuillaumeCharron | APP_v5.M.3.xlsb | ***** Début d'une nouvelle session (modAppli:CodeEssentielDepart) *****
2025-01-17 05:25:57.20 | GuillaumeCharron | APP_v5.M.3.xlsb | Validation d'accès serveur terminée *** = '0,0078 secondes'

2025-01-17 05:25:57.22 | GuillaumeCharron | APP_v5.M.3.xlsb | ThisWorkbook:Create_User_Active_File
2025-01-17 05:25:57.26 | GuillaumeCharron | APP_v5.M.3.xlsb | ThisWorkbook:Create_User_Active_File *** = '0,0527 secondes'

2025-01-17 05:25:57.29 | GuillaumeCharron | APP_v5.M.3.xlsb | ThisWorkbook:Setup_UserDateFormat
2025-01-17 05:25:57.31 | GuillaumeCharron | APP_v5.M.3.xlsb | ThisWorkbook:Setup_UserDateFormat *** = '0,0273 secondes'

2025-01-17 05:25:57.33 | GuillaumeCharron | APP_v5.M.3.xlsb | ThisWorkbook:BackupMasterFile
2025-01-17 05:25:58.19 | GuillaumeCharron | APP_v5.M.3.xlsb | ThisWorkbook:BackupMasterFile *** = '0,8711 secondes'

2025-01-17 05:25:58.21 | GuillaumeCharron | APP_v5.M.3.xlsb | modAppli:WriteInfoOnMainMenu
2025-01-17 05:25:58.26 | GuillaumeCharron | APP_v5.M.3.xlsb | modAppli:WriteInfoOnMainMenu *** = '0,0527 secondes'

2025-01-17 05:25:58.28 | GuillaumeCharron | APP_v5.M.3.xlsb | modMenu:HideDevShapesBasedOnUsername
2025-01-17 05:25:58.31 | GuillaumeCharron | APP_v5.M.3.xlsb | modMenu:HideDevShapesBasedOnUsername *** = '0,0332 secondes'

2025-01-17 05:25:58.33 | GuillaumeCharron | APP_v5.M.3.xlsb | modAppli:CodeEssentielDepart *** = '1,1816 secondes'

2025-01-17 05:26:34.74 | GuillaumeCharron | APP_v5.M.3.xlsb | modMenu:menuTEC_Click
2025-01-17 05:26:34.80 | GuillaumeCharron | APP_v5.M.3.xlsb | modMenu:menuTEC_Click *** = '0,0645 secondes'

2025-01-17 05:26:35.40 | GuillaumeCharron | APP_v5.M.3.xlsb | modMENU_TEC:SaisieHeures_Click
2025-01-17 05:26:35.45 | GuillaumeCharron | APP_v5.M.3.xlsb | modMENU_TEC:SaisieHeures_Click *** = '0,0527 secondes'

2025-01-17 05:26:35.48 | GuillaumeCharron | APP_v5.M.3.xlsb | ufSaisieHeures:UserForm_Activate
2025-01-17 05:26:35.50 | GuillaumeCharron | APP_v5.M.3.xlsb | modImport:Client_List_Import_All
2025-01-17 05:26:35.87 | GuillaumeCharron | APP_v5.M.3.xlsb | modImport:ResizeTable
2025-01-17 05:26:35.89 | GuillaumeCharron | APP_v5.M.3.xlsb | modImport:ResizeTable *** = '0,0215 secondes'

2025-01-17 05:26:35.91 | GuillaumeCharron | APP_v5.M.3.xlsb | modImport:ApplyFormatting
2025-01-17 05:26:35.93 | GuillaumeCharron | APP_v5.M.3.xlsb | modImport:ApplyFormatting *** = '0,0195 secondes'

2025-01-17 05:26:35.99 | GuillaumeCharron | APP_v5.M.3.xlsb | modImport:Client_List_Import_All *** = '0,4980 secondes'

2025-01-17 05:26:36.01 | GuillaumeCharron | APP_v5.M.3.xlsb | modImport:TEC_Import_All
2025-01-17 05:26:36.79 | GuillaumeCharron | APP_v5.M.3.xlsb | modImport:TEC_Import_All *** = '0,7832 secondes'

2025-01-17 05:26:36.82 | GuillaumeCharron | APP_v5.M.3.xlsb | ufSaisieHeures:UserForm_Activate *** = '1,3438 secondes'

2025-01-17 05:26:38.19 | GuillaumeCharron | APP_v5.M.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate
2025-01-17 05:26:38.21 | GuillaumeCharron | APP_v5.M.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate *** = '0,0254 secondes'

2025-01-17 05:26:38.55 | GuillaumeCharron | APP_v5.M.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2025-01-17 05:26:38.56 | GuillaumeCharron | APP_v5.M.3.xlsb | modFunctions:Fn_Complete_Date(17/01/25, 600, 15)
2025-01-17 05:26:38.59 | GuillaumeCharron | APP_v5.M.3.xlsb | modFunctions:Fn_Complete_Date *** = '0,0234 secondes'

2025-01-17 05:26:38.60 | GuillaumeCharron | APP_v5.M.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate *** = '0,0586 secondes'

