2025-01-23 08:51:51.23 | vgervais | APP_v5.M.3.xlsb | ***** Début d'une nouvelle session (modAppli:CodeEssentielDepart) *****
2025-01-23 08:51:51.28 | vgervais | APP_v5.M.3.xlsb | Validation d'accès serveur terminée *** = '0,0039 secondes'

2025-01-23 08:51:51.31 | vgervais | APP_v5.M.3.xlsb | ThisWorkbook:Create_User_Active_File
2025-01-23 08:51:51.37 | vgervais | APP_v5.M.3.xlsb | ThisWorkbook:Create_User_Active_File *** = '0,0664 secondes'

2025-01-23 08:51:51.40 | vgervais | APP_v5.M.3.xlsb | ThisWorkbook:Setup_UserDateFormat
2025-01-23 08:51:51.44 | vgervais | APP_v5.M.3.xlsb | ThisWorkbook:Setup_UserDateFormat *** = '0,0391 secondes'

2025-01-23 08:51:51.47 | vgervais | APP_v5.M.3.xlsb | ThisWorkbook:BackupMasterFile
2025-01-23 08:51:51.77 | vgervais | APP_v5.M.3.xlsb | ThisWorkbook:BackupMasterFile *** = '0,3047 secondes'

2025-01-23 08:51:51.82 | vgervais | APP_v5.M.3.xlsb | modAppli:WriteInfoOnMainMenu
2025-01-23 08:51:51.87 | vgervais | APP_v5.M.3.xlsb | modAppli:WriteInfoOnMainMenu *** = '0,0508 secondes'

2025-01-23 08:51:51.90 | vgervais | APP_v5.M.3.xlsb | modMenu:HideDevShapesBasedOnUsername
2025-01-23 08:51:51.93 | vgervais | APP_v5.M.3.xlsb | modMenu:HideDevShapesBasedOnUsername *** = '0,0371 secondes'

2025-01-23 08:51:51.97 | vgervais | APP_v5.M.3.xlsb | modAppli:CodeEssentielDepart *** = '0,7500 secondes'

2025-01-23 08:51:56.84 | vgervais | APP_v5.M.3.xlsb | modMenu:menuTEC_Click
2025-01-23 08:51:56.90 | vgervais | APP_v5.M.3.xlsb | modMenu:menuTEC_Click *** = '0,0645 secondes'

2025-01-23 08:51:57.64 | vgervais | APP_v5.M.3.xlsb | modMENU_TEC:SaisieHeures_Click
2025-01-23 08:51:57.70 | vgervais | APP_v5.M.3.xlsb | modMENU_TEC:SaisieHeures_Click *** = '0,0586 secondes'

2025-01-23 08:51:57.73 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:UserForm_Activate
2025-01-23 08:51:57.77 | vgervais | APP_v5.M.3.xlsb | modImport:Client_List_Import_All
2025-01-23 08:51:58.02 | vgervais | APP_v5.M.3.xlsb | modImport:ResizeTable
2025-01-23 08:51:58.06 | vgervais | APP_v5.M.3.xlsb | modImport:ResizeTable *** = '0,0371 secondes'

2025-01-23 08:51:58.09 | vgervais | APP_v5.M.3.xlsb | modImport:ApplyFormatting
2025-01-23 08:51:58.12 | vgervais | APP_v5.M.3.xlsb | modImport:ApplyFormatting *** = '0,0352 secondes'

2025-01-23 08:51:58.20 | vgervais | APP_v5.M.3.xlsb | modImport:Client_List_Import_All *** = '0,4375 secondes'

2025-01-23 08:51:58.23 | vgervais | APP_v5.M.3.xlsb | modImport:TEC_Import_All
2025-01-23 08:51:58.62 | vgervais | APP_v5.M.3.xlsb | modImport:TEC_Import_All *** = '0,3906 secondes'

2025-01-23 08:51:58.66 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:UserForm_Activate *** = '0,9355 secondes'

