2025-02-01 11:23:08.68 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2025-02-01 11:23:08.76 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Complete_Date(2025-02-01, 600, 15)
2025-02-01 11:23:08.80 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Complete_Date *** = '0,0430 secondes'

2025-02-01 11:23:08.84 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtDate_BeforeUpdate *** = '0,1719 secondes'

2025-02-01 11:23:08.88 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtDate_AfterUpdate
2025-02-01 11:23:08.92 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 2/02-01-2025
2025-02-01 11:23:09.01 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF *** = '0,0938 secondes'

2025-02-01 11:23:09.05 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/02-01-2025
2025-02-01 11:23:09.09 | vgervais | APP_v5.N.6.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2025-02-01 11:23:09.13 | vgervais | APP_v5.N.6.xlsb | modTEC_TDB:ActualiserTEC_TDB
2025-02-01 11:23:09.17 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-02-01 11:23:09.28 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local *** = '0,1133 secondes'

2025-02-01 11:23:09.34 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-02-01 11:23:09.49 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables *** = '0,1523 secondes'

2025-02-01 11:23:09.53 | vgervais | APP_v5.N.6.xlsb | modTEC_TDB:ActualiserTEC_TDB *** = '0,4023 secondes'

2025-02-01 11:23:09.57 | vgervais | APP_v5.N.6.xlsb | modStatsHeures:Stats_Heures_AF
2025-02-01 11:23:09.73 | vgervais | APP_v5.N.6.xlsb | modStatsHeures:Stats_Heures_AF *** = '0,1680 secondes'

2025-02-01 11:23:09.77 | vgervais | APP_v5.N.6.xlsb | modAppli:UpdatePivotTables
2025-02-01 11:23:09.85 | vgervais | APP_v5.N.6.xlsb | modAppli:UpdatePivotTables *** = '0,0820 secondes'

2025-02-01 11:23:09.89 | vgervais | APP_v5.N.6.xlsb | wshTEC_TDB_Data:Worksheet_Change *** = '0,8008 secondes'

2025-02-01 11:23:09.97 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/02-01-2025 *** = '0,9258 secondes'

2025-02-01 11:23:10.02 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtDate_AfterUpdate *** = '1,1406 secondes'

2025-02-01 11:23:14.02 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtClient_AfterUpdate[au]
2025-02-01 11:23:14.07 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtClient_AfterUpdate *** = '0,0664 secondes'

2025-02-01 11:23:14.27 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:lstboxNomClient_DblClick
2025-02-01 11:23:14.35 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Cell_From_BD_Client - z_Administratif_Autres non chargeables
2025-02-01 11:23:14.39 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Cell_From_BD_Client - 5 *** = '0,0430 secondes'

2025-02-01 11:23:14.43 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Cell_From_BD_Client - 5
2025-02-01 11:23:14.47 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Cell_From_BD_Client - z_Administratif_Autres non chargeables *** = '0,0469 secondes'

2025-02-01 11:23:14.51 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:lstboxNomClient_DblClick *** = '0,2461 secondes'

2025-02-01 11:23:14.55 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Cell_From_BD_Client - z_Administratif_Autres non chargeables
2025-02-01 11:23:14.59 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Cell_From_BD_Client - z_Administratif_Autres non chargeables *** = '0,0430 secondes'

2025-02-01 11:23:14.64 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtClient_AfterUpdate[z_Administratif_Autres non chargeables]
2025-02-01 11:23:14.68 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtClient_AfterUpdate *** = '0,0469 secondes'

2025-02-01 11:23:21.63 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtActivite_AfterUpdate[Dossier personnel]
