2025-02-02 08:12:11.46 | GuillaumeCharron | APP_v5.N.6.xlsb | ***** Début d'une nouvelle session (modAppli:CodeEssentielDepart) *****
2025-02-02 08:12:11.49 | GuillaumeCharron | APP_v5.N.6.xlsb | Validation d'accès serveur terminée *** = '0,0156 secondes'

2025-02-02 08:12:11.52 | GuillaumeCharron | APP_v5.N.6.xlsb | ThisWorkbook:Create_User_Active_File
2025-02-02 08:12:11.56 | GuillaumeCharron | APP_v5.N.6.xlsb | ThisWorkbook:Create_User_Active_File *** = '0,0547 secondes'

2025-02-02 08:12:11.59 | GuillaumeCharron | APP_v5.N.6.xlsb | ThisWorkbook:Setup_UserDateFormat
2025-02-02 08:12:11.62 | GuillaumeCharron | APP_v5.N.6.xlsb | ThisWorkbook:Setup_UserDateFormat *** = '0,0293 secondes'

2025-02-02 08:12:11.63 | GuillaumeCharron | APP_v5.N.6.xlsb | ThisWorkbook:BackupMasterFile
2025-02-02 08:12:12.45 | GuillaumeCharron | APP_v5.N.6.xlsb | ThisWorkbook:BackupMasterFile *** = '0,8203 secondes'

2025-02-02 08:12:12.47 | GuillaumeCharron | APP_v5.N.6.xlsb | modAppli:WriteInfoOnMainMenu
2025-02-02 08:12:12.53 | GuillaumeCharron | APP_v5.N.6.xlsb | modAppli:WriteInfoOnMainMenu *** = '0,0586 secondes'

2025-02-02 08:12:12.56 | GuillaumeCharron | APP_v5.N.6.xlsb | modMenu:HideDevShapesBasedOnUsername
2025-02-02 08:12:12.58 | GuillaumeCharron | APP_v5.N.6.xlsb | modMenu:HideDevShapesBasedOnUsername *** = '0,0273 secondes'

2025-02-02 08:12:12.61 | GuillaumeCharron | APP_v5.N.6.xlsb | modAppli:CodeEssentielDepart *** = '1,1562 secondes'

2025-02-02 08:12:15.95 | GuillaumeCharron | APP_v5.N.6.xlsb | modMenu:menuComptabilite_Click
2025-02-02 08:12:16.00 | GuillaumeCharron | APP_v5.N.6.xlsb | modMenu:menuComptabilite_Click *** = '0,0605 secondes'

2025-02-02 08:12:20.12 | GuillaumeCharron | APP_v5.N.6.xlsb | wshGL_EJ:Worksheet_Activate
2025-02-02 08:12:20.15 | GuillaumeCharron | APP_v5.N.6.xlsb | modImport:GL_Trans_Import_All
2025-02-02 08:12:20.95 | GuillaumeCharron | APP_v5.N.6.xlsb | modImport:GL_Trans_Import_All *** = '0,7988 secondes'

2025-02-02 08:12:20.97 | GuillaumeCharron | APP_v5.N.6.xlsb | modImport:GL_EJ_Recurrente_Import_All
2025-02-02 08:12:21.54 | GuillaumeCharron | APP_v5.N.6.xlsb | modGL_EJ:GL_EJ_Recurrente_Build_Summary
2025-02-02 08:12:21.59 | GuillaumeCharron | APP_v5.N.6.xlsb | modGL_EJ:GL_EJ_Recurrente_Build_Summary *** = '0,0566 secondes'

2025-02-02 08:12:21.67 | GuillaumeCharron | APP_v5.N.6.xlsb | modImport:GL_EJ_Recurrente_Import_All *** = '0,7012 secondes'

2025-02-02 08:12:21.71 | GuillaumeCharron | APP_v5.N.6.xlsb | modGL_EJ:GL_EJ_Clear_All_Cells
2025-02-02 08:12:21.78 | GuillaumeCharron | APP_v5.N.6.xlsb | modGL_EJ:GL_EJ_Clear_All_Cells *** = '0,0684 secondes'

2025-02-02 08:12:21.80 | GuillaumeCharron | APP_v5.N.6.xlsb | modDev_Utils:SetTabOrder(wshGL_EJ)
