2025-02-03 07:26:31.47 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:UserForm_Terminate
2025-02-03 07:26:31.58 | vgervais | APP_v5.N.6.xlsb | modMenu:Hide_All_Worksheets_Except_Menu
2025-02-03 07:26:31.63 | vgervais | APP_v5.N.6.xlsb | modMenu:Hide_All_Worksheets_Except_Menu *** = '0,0527 secondes'

2025-02-03 07:26:31.66 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:UserForm_Terminate *** = '0,1973 secondes'

2025-02-03 07:26:33.10 | vgervais | APP_v5.N.6.xlsb | modMenu:menuTEC_Click
2025-02-03 07:26:33.15 | vgervais | APP_v5.N.6.xlsb | modMenu:menuTEC_Click *** = '0,0547 secondes'

2025-02-03 07:26:33.86 | vgervais | APP_v5.N.6.xlsb | modMENU_TEC:SaisieHeures_Click
2025-02-03 07:26:33.91 | vgervais | APP_v5.N.6.xlsb | modMENU_TEC:SaisieHeures_Click *** = '0,0645 secondes'

2025-02-03 07:26:33.96 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:UserForm_Activate
2025-02-03 07:26:34.00 | vgervais | APP_v5.N.6.xlsb | modImport:Client_List_Import_All
2025-02-03 07:26:34.39 | vgervais | APP_v5.N.6.xlsb | modImport:ResizeTable
2025-02-03 07:26:34.43 | vgervais | APP_v5.N.6.xlsb | modImport:ResizeTable *** = '0,0469 secondes'

2025-02-03 07:26:34.47 | vgervais | APP_v5.N.6.xlsb | modImport:ApplyFormatting
2025-02-03 07:26:34.50 | vgervais | APP_v5.N.6.xlsb | modImport:ApplyFormatting *** = '0,0449 secondes'

2025-02-03 07:26:34.61 | vgervais | APP_v5.N.6.xlsb | modImport:Client_List_Import_All *** = '0,6094 secondes'

2025-02-03 07:26:34.64 | vgervais | APP_v5.N.6.xlsb | modImport:TEC_Import_All
2025-02-03 07:26:35.19 | vgervais | APP_v5.N.6.xlsb | modImport:TEC_Import_All *** = '0,5488 secondes'

2025-02-03 07:26:35.23 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:UserForm_Activate *** = '1,2734 secondes'

2025-02-03 07:26:40.63 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate
2025-02-03 07:26:40.68 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate *** = '0,0469 secondes'

2025-02-03 07:26:41.31 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2025-02-03 07:26:41.36 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Complete_Date(03-02-2025, 600, 15)
2025-02-03 07:26:42.84 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Complete_Date *** = '1,4805 secondes'

2025-02-03 07:26:43.49 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2025-02-03 07:26:43.53 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Complete_Date(03-02-2025, 600, 15)
2025-02-03 07:26:44.75 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Complete_Date *** = '1,2344 secondes'

2025-02-03 07:27:08.03 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2025-02-03 07:27:08.08 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Complete_Date(2025-02-03, 600, 15)
2025-02-03 07:27:08.12 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Complete_Date *** = '0,0449 secondes'

2025-02-03 07:27:08.16 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtDate_BeforeUpdate *** = '0,1426 secondes'

2025-02-03 07:27:08.20 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtDate_AfterUpdate
2025-02-03 07:27:08.25 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 2/02-03-2025
2025-02-03 07:27:08.34 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF *** = '0,0918 secondes'

2025-02-03 07:27:08.38 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/02-03-2025
2025-02-03 07:27:08.43 | vgervais | APP_v5.N.6.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2025-02-03 07:27:08.47 | vgervais | APP_v5.N.6.xlsb | modTEC_TDB:ActualiserTEC_TDB
2025-02-03 07:27:08.52 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-02-03 07:27:08.65 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local *** = '0,1406 secondes'

2025-02-03 07:27:08.70 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-02-03 07:27:08.85 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables *** = '0,1562 secondes'

2025-02-03 07:27:08.89 | vgervais | APP_v5.N.6.xlsb | modTEC_TDB:ActualiserTEC_TDB *** = '0,4297 secondes'

2025-02-03 07:27:08.95 | vgervais | APP_v5.N.6.xlsb | modStatsHeures:Stats_Heures_AF
2025-02-03 07:27:09.15 | vgervais | APP_v5.N.6.xlsb | modStatsHeures:Stats_Heures_AF *** = '0,2051 secondes'

2025-02-03 07:27:09.20 | vgervais | APP_v5.N.6.xlsb | modAppli:UpdatePivotTables
