2025-02-07 09:36:45.86 | Guillaume | APP_v5.O.3.xlsb | ----- Début d'une nouvelle session (modAppli:CodeEssentielDepart) ----- |  | 
2025-02-07 09:36:46.16 | Guillaume | APP_v5.O.3.xlsb | Validation d'accès serveur terminée |  | 0,1992 secondes

2025-02-07 09:36:46.41 | Guillaume | APP_v5.O.3.xlsb | modAppli:CreateUserActiveFile |  | 
2025-02-07 09:36:46.91 | Guillaume | APP_v5.O.3.xlsb | modAppli:CreateUserActiveFile |  | 0,6836 secondes

2025-02-07 09:36:47.16 | Guillaume | APP_v5.O.3.xlsb | modAppli:SetupUserDateFormat |  | 
2025-02-07 09:36:47.45 | Guillaume | APP_v5.O.3.xlsb | modAppli:SetupUserDateFormat |  | 0,4727 secondes

2025-02-07 09:36:47.70 | Guillaume | APP_v5.O.3.xlsb | modAppli:BackupMasterFile |  | 
2025-02-07 09:36:50.06 | Guillaume | APP_v5.O.3.xlsb | modAppli:BackupMasterFile |  | 2,5430 secondes

2025-02-07 09:36:50.30 | Guillaume | APP_v5.O.3.xlsb | modAppli:WriteInfoOnMainMenu |  | 
2025-02-07 09:36:50.72 | Guillaume | APP_v5.O.3.xlsb | modAppli:WriteInfoOnMainMenu |  | 0,5938 secondes

2025-02-07 09:36:51.01 | Guillaume | APP_v5.O.3.xlsb | modMenu:HideDevShapesBasedOnUsername |  | 
2025-02-07 09:36:51.25 | Guillaume | APP_v5.O.3.xlsb | modMenu:HideDevShapesBasedOnUsername |  | 0,4141 secondes

2025-02-07 09:36:51.49 | Guillaume | APP_v5.O.3.xlsb | modAppli:CodeEssentielDepart |  | 5,7891 secondes

2025-02-07 09:36:51.73 | Guillaume | APP_v5.O.3.xlsb | modMenu:menuTEC_Click |  | 
2025-02-07 09:36:51.00 | Guillaume | APP_v5.O.3.xlsb | modMenu:menuTEC_Click |  | 0,4375 secondes

2025-02-07 09:36:53.24 | Guillaume | APP_v5.O.3.xlsb | modMENU_TEC:SaisieHeures_Click |  | 
2025-02-07 09:36:53.52 | Guillaume | APP_v5.O.3.xlsb | modMENU_TEC:SaisieHeures_Click |  | 0,4531 secondes

2025-02-07 09:36:53.77 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:UserForm_Activate |  | 
2025-02-07 09:36:53.00 | Guillaume | APP_v5.O.3.xlsb | modImport:Client_List_Import_All |  | 
2025-02-07 09:36:55.95 | Guillaume | APP_v5.O.3.xlsb | modImport:ResizeTable |  | 
2025-02-07 09:36:56.10 | Guillaume | APP_v5.O.3.xlsb | modImport:ResizeTable |  | 0,2148 secondes

2025-02-07 09:36:56.23 | Guillaume | APP_v5.O.3.xlsb | modImport:ApplyFormatting |  | 
2025-02-07 09:36:56.36 | Guillaume | APP_v5.O.3.xlsb | modImport:ApplyFormatting |  | 0,2031 secondes

2025-02-07 09:36:56.55 | Guillaume | APP_v5.O.3.xlsb | modImport:Client_List_Import_All |  | 2,6172 secondes

2025-02-07 09:36:56.68 | Guillaume | APP_v5.O.3.xlsb | modImport:TEC_Import_All |  | 
2025-02-07 09:36:59.22 | Guillaume | APP_v5.O.3.xlsb | modImport:TEC_Import_All |  | 2,6055 secondes

2025-02-07 09:36:59.36 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:UserForm_Activate |  | 5,6641 secondes

2025-02-07 09:37:01.24 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 
