2025-02-10 08:24:16.82 | vgervais | APP_v5.O.3.xlsb | ----- Début d'une nouvelle session (modAppli:CodeEssentielDepart) ----- |  | 
2025-02-10 08:24:16.88 | vgervais | APP_v5.O.3.xlsb | Validation d'accès serveur terminée |  | 0,0059 secondes

2025-02-10 08:24:16.91 | vgervais | APP_v5.O.3.xlsb | modAppli:CreateUserActiveFile |  | 
2025-02-10 08:24:16.98 | vgervais | APP_v5.O.3.xlsb | modAppli:CreateUserActiveFile |  | 0,0762 secondes

2025-02-10 08:24:17.02 | vgervais | APP_v5.O.3.xlsb | modAppli:SetupUserDateFormat |  | 
2025-02-10 08:24:17.05 | vgervais | APP_v5.O.3.xlsb | modAppli:SetupUserDateFormat |  | 0,0410 secondes

2025-02-10 08:24:17.09 | vgervais | APP_v5.O.3.xlsb | modAppli:BackupMasterFile |  | 
2025-02-10 08:24:17.41 | vgervais | APP_v5.O.3.xlsb | modAppli:BackupMasterFile |  | 0,3242 secondes

2025-02-10 08:24:17.44 | vgervais | APP_v5.O.3.xlsb | modAppli:WriteInfoOnMainMenu |  | 
2025-02-10 08:24:17.49 | vgervais | APP_v5.O.3.xlsb | modAppli:WriteInfoOnMainMenu |  | 0,0527 secondes

2025-02-10 08:24:17.53 | vgervais | APP_v5.O.3.xlsb | modMenu:HideDevShapesBasedOnUsername |  | 
2025-02-10 08:24:17.57 | vgervais | APP_v5.O.3.xlsb | modMenu:HideDevShapesBasedOnUsername |  | 0,0469 secondes

2025-02-10 08:24:17.61 | vgervais | APP_v5.O.3.xlsb | modAppli:CodeEssentielDepart |  | 0,7969 secondes

2025-02-10 08:24:18.19 | vgervais | APP_v5.O.3.xlsb | modMenu:menuTEC_Click |  | 
2025-02-10 08:24:18.25 | vgervais | APP_v5.O.3.xlsb | modMenu:menuTEC_Click |  | 0,0703 secondes

2025-02-10 08:24:19.20 | vgervais | APP_v5.O.3.xlsb | modMENU_TEC:SaisieHeures_Click |  | 
2025-02-10 08:24:19.26 | vgervais | APP_v5.O.3.xlsb | modMENU_TEC:SaisieHeures_Click |  | 0,0645 secondes

2025-02-10 08:24:19.30 | vgervais | APP_v5.O.3.xlsb | ufSaisieHeures:UserForm_Activate |  | 
2025-02-10 08:24:19.33 | vgervais | APP_v5.O.3.xlsb | modImport:Client_List_Import_All |  | 
