2025-02-13 05:49:38.89 | GuillaumeCharron | APP_v5.P.3.xlsb | ----- Début d'une nouvelle session (modAppli:CodeEssentielDepart) ----- |  | 
2025-02-13 05:49:38.92 | GuillaumeCharron | APP_v5.P.3.xlsb | Validation d'accès serveur terminée |  | 0,0039 secondes

2025-02-13 05:49:38.94 | GuillaumeCharron | APP_v5.P.3.xlsb | modAppli:CreateUserActiveFile |  | 
2025-02-13 05:49:38.97 | GuillaumeCharron | APP_v5.P.3.xlsb | modAppli:CreateUserActiveFile |  | 0,0391 secondes

2025-02-13 05:49:38.99 | GuillaumeCharron | APP_v5.P.3.xlsb | modAppli:SetupUserDateFormat |  | 
2025-02-13 05:49:39.01 | GuillaumeCharron | APP_v5.P.3.xlsb | modAppli:SetupUserDateFormat |  | 0,0215 secondes

2025-02-13 05:49:39.03 | GuillaumeCharron | APP_v5.P.3.xlsb | modAppli:BackupMasterFile |  | 
2025-02-13 05:49:39.79 | GuillaumeCharron | APP_v5.P.3.xlsb | modAppli:BackupMasterFile |  | 0,7734 secondes

2025-02-13 05:49:39.81 | GuillaumeCharron | APP_v5.P.3.xlsb | modAppli:WriteInfoOnMainMenu |  | 
2025-02-13 05:49:39.85 | GuillaumeCharron | APP_v5.P.3.xlsb | modAppli:WriteInfoOnMainMenu |  | 0,0371 secondes

2025-02-13 05:49:39.87 | GuillaumeCharron | APP_v5.P.3.xlsb | modMenu:HideDevShapesBasedOnUsername |  | 
2025-02-13 05:49:39.89 | GuillaumeCharron | APP_v5.P.3.xlsb | modMenu:HideDevShapesBasedOnUsername |  | 0,0215 secondes

2025-02-13 05:49:39.91 | GuillaumeCharron | APP_v5.P.3.xlsb | modAppli:CodeEssentielDepart |  | 1,0234 secondes

2025-02-13 05:49:43.65 | GuillaumeCharron | APP_v5.P.3.xlsb | modMenu:menuTEC_Click |  | 
2025-02-13 05:49:43.70 | GuillaumeCharron | APP_v5.P.3.xlsb | modMenu:menuTEC_Click |  | 0,0527 secondes

2025-02-13 05:49:44.19 | GuillaumeCharron | APP_v5.P.3.xlsb | modMENU_TEC:SaisieHeures_Click |  | 
2025-02-13 05:49:44.23 | GuillaumeCharron | APP_v5.P.3.xlsb | modMENU_TEC:SaisieHeures_Click |  | 0,0449 secondes

2025-02-13 05:49:44.25 | GuillaumeCharron | APP_v5.P.3.xlsb | ufSaisieHeures:UserForm_Activate |  | 
2025-02-13 05:49:44.27 | GuillaumeCharron | APP_v5.P.3.xlsb | modImport:Client_List_Import_All |  | 
2025-02-13 05:49:44.57 | GuillaumeCharron | APP_v5.P.3.xlsb | modImport:ResizeTable |  | 
2025-02-13 05:49:44.59 | GuillaumeCharron | APP_v5.P.3.xlsb | modImport:ResizeTable |  | 0,0215 secondes

2025-02-13 05:49:44.61 | GuillaumeCharron | APP_v5.P.3.xlsb | modImport:ApplyFormatting |  | 
2025-02-13 05:49:44.63 | GuillaumeCharron | APP_v5.P.3.xlsb | modImport:ApplyFormatting |  | 0,0215 secondes

2025-02-13 05:49:44.70 | GuillaumeCharron | APP_v5.P.3.xlsb | modImport:Client_List_Import_All |  | 0,4336 secondes

2025-02-13 05:49:44.72 | GuillaumeCharron | APP_v5.P.3.xlsb | modImport:TEC_Import_All |  | 
2025-02-13 05:49:45.51 | GuillaumeCharron | APP_v5.P.3.xlsb | modImport:TEC_Import_All |  | 0,7969 secondes

2025-02-13 05:49:45.54 | GuillaumeCharron | APP_v5.P.3.xlsb | ufSaisieHeures:UserForm_Activate |  | 1,2930 secondes

2025-02-13 05:49:46.88 | GuillaumeCharron | APP_v5.P.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 
2025-02-13 05:49:46.90 | GuillaumeCharron | APP_v5.P.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 0,0195 secondes

2025-02-13 05:49:47.24 | GuillaumeCharron | APP_v5.P.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 
2025-02-13 05:49:47.26 | GuillaumeCharron | APP_v5.P.3.xlsb | modFunctions:Fn_Complete_Date | 13/02/25, 600, 15 | 
2025-02-13 05:49:47.28 | GuillaumeCharron | APP_v5.P.3.xlsb | modFunctions:Fn_Complete_Date |  | 0,0195 secondes

2025-02-13 05:49:47.30 | GuillaumeCharron | APP_v5.P.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 0,0566 secondes

2025-02-13 05:49:47.31 | GuillaumeCharron | APP_v5.P.3.xlsb | ufSaisieHeures:txtDate_AfterUpdate |  | 
2025-02-13 05:49:47.33 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 1/13/02/25 | 
2025-02-13 05:49:47.42 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF |  | 0,0957 secondes

2025-02-13 05:49:47.44 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 1/13/02/25 | 
2025-02-13 05:49:47.47 | GuillaumeCharron | APP_v5.P.3.xlsb | wshTEC_TDB_Data:Worksheet_Change | $U$7 | 
2025-02-13 05:49:47.50 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-02-13 05:49:47.52 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-02-13 05:49:47.66 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 0,1367 secondes

2025-02-13 05:49:47.68 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
2025-02-13 05:49:47.77 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 0,0938 secondes

2025-02-13 05:49:47.79 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 0,2910 secondes

2025-02-13 05:49:47.81 | GuillaumeCharron | APP_v5.P.3.xlsb | modStatsHeures:Stats_Heures_AF |  | 
2025-02-13 05:49:47.95 | GuillaumeCharron | APP_v5.P.3.xlsb | modStatsHeures:Stats_Heures_AF |  | 0,1406 secondes

