2025-02-13 22:48:25.98 | vgervais | APP_v5.P.3.xlsb | ----- Début d'une nouvelle session (modAppli:CodeEssentielDepart) ----- |  | 
2025-02-13 22:48:26.03 | vgervais | APP_v5.P.3.xlsb | Validation d'accès serveur terminée |  | 0,0078 secondes

2025-02-13 22:48:26.06 | vgervais | APP_v5.P.3.xlsb | modAppli:CreateUserActiveFile |  | 
2025-02-13 22:48:26.13 | vgervais | APP_v5.P.3.xlsb | modAppli:CreateUserActiveFile |  | 0,0703 secondes

2025-02-13 22:48:26.16 | vgervais | APP_v5.P.3.xlsb | modAppli:SetupUserDateFormat |  | 
2025-02-13 22:48:26.20 | vgervais | APP_v5.P.3.xlsb | modAppli:SetupUserDateFormat |  | 0,0391 secondes

2025-02-13 22:48:26.23 | vgervais | APP_v5.P.3.xlsb | modAppli:BackupMasterFile |  | 
2025-02-13 22:48:26.54 | vgervais | APP_v5.P.3.xlsb | modAppli:BackupMasterFile |  | 0,3125 secondes

2025-02-13 22:48:26.57 | vgervais | APP_v5.P.3.xlsb | modAppli:WriteInfoOnMainMenu |  | 
2025-02-13 22:48:26.62 | vgervais | APP_v5.P.3.xlsb | modAppli:WriteInfoOnMainMenu |  | 0,0547 secondes

2025-02-13 22:48:26.66 | vgervais | APP_v5.P.3.xlsb | modMenu:HideDevShapesBasedOnUsername |  | 
2025-02-13 22:48:26.69 | vgervais | APP_v5.P.3.xlsb | modMenu:HideDevShapesBasedOnUsername |  | 0,0391 secondes

2025-02-13 22:48:26.73 | vgervais | APP_v5.P.3.xlsb | modAppli:CodeEssentielDepart |  | 0,7500 secondes

2025-02-13 22:48:27.46 | vgervais | APP_v5.P.3.xlsb | modMenu:menuTEC_Click |  | 
2025-02-13 22:48:27.50 | vgervais | APP_v5.P.3.xlsb | modMenu:menuTEC_Click |  | 0,0469 secondes

2025-02-13 22:48:28.60 | vgervais | APP_v5.P.3.xlsb | modMENU_TEC:SaisieHeures_Click |  | 
2025-02-13 22:48:28.67 | vgervais | APP_v5.P.3.xlsb | modMENU_TEC:SaisieHeures_Click |  | 0,0703 secondes

2025-02-13 22:48:28.70 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:UserForm_Activate |  | 
2025-02-13 22:48:28.74 | vgervais | APP_v5.P.3.xlsb | modImport:Client_List_Import_All |  | 
2025-02-13 22:48:29.02 | vgervais | APP_v5.P.3.xlsb | modImport:ResizeTable |  | 
2025-02-13 22:48:29.05 | vgervais | APP_v5.P.3.xlsb | modImport:ResizeTable |  | 0,0469 secondes

2025-02-13 22:48:29.09 | vgervais | APP_v5.P.3.xlsb | modImport:ApplyFormatting |  | 
2025-02-13 22:48:29.13 | vgervais | APP_v5.P.3.xlsb | modImport:ApplyFormatting |  | 0,0391 secondes

2025-02-13 22:48:29.20 | vgervais | APP_v5.P.3.xlsb | modImport:Client_List_Import_All |  | 0,4766 secondes

2025-02-13 22:48:29.25 | vgervais | APP_v5.P.3.xlsb | modImport:TEC_Import_All |  | 
2025-02-13 22:48:29.67 | vgervais | APP_v5.P.3.xlsb | modImport:TEC_Import_All |  | 0,4219 secondes

2025-02-13 22:48:29.71 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:UserForm_Activate |  | 1,0078 secondes

2025-02-13 22:48:30.70 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 
2025-02-13 22:48:30.73 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 0,0391 secondes

2025-02-13 22:48:34.80 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate | 930 | 
2025-02-13 22:48:34.84 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate |  | 0,0469 secondes

2025-02-13 22:48:36.50 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:lstboxNomClient_DblClick |  | 
2025-02-13 22:48:36.58 | vgervais | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client | 9307-2411 Québec Inc. [Capitaine Vap] Capt'n Vape | 
2025-02-13 22:48:36.61 | vgervais | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0391 secondes

2025-02-13 22:48:36.64 | vgervais | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client | 1388 | 
2025-02-13 22:48:36.68 | vgervais | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0391 secondes

2025-02-13 22:48:36.72 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:lstboxNomClient_DblClick |  | 0,2266 secondes

2025-02-13 22:48:36.75 | vgervais | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client | 9307-2411 Québec Inc. [Capitaine Vap] Capt'n Vape | 
2025-02-13 22:48:36.79 | vgervais | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0391 secondes

2025-02-13 22:48:36.84 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate | 9307-2411 Québec Inc. [Capitaine Vap] | 
2025-02-13 22:48:36.88 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate |  | 0,0469 secondes

2025-02-13 22:48:43.13 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 
2025-02-13 22:48:43.16 | vgervais | APP_v5.P.3.xlsb | modFunctions:Fn_Complete_Date | 2025-02-13, 600, 15 | 
2025-02-13 22:48:43.20 | vgervais | APP_v5.P.3.xlsb | modFunctions:Fn_Complete_Date |  | 0,0391 secondes

2025-02-13 22:48:43.24 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 0,1172 secondes

2025-02-13 22:48:43.27 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtDate_AfterUpdate |  | 
2025-02-13 22:48:43.31 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 2/13-02-2025 | 
2025-02-13 22:48:43.40 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF |  | 0,0859 secondes

2025-02-13 22:48:43.43 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 2/13-02-2025 | 
2025-02-13 22:48:43.48 | vgervais | APP_v5.P.3.xlsb | wshTEC_TDB_Data:Worksheet_Change | $U$7 | 
2025-02-13 22:48:43.52 | vgervais | APP_v5.P.3.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-02-13 22:48:43.55 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-02-13 22:48:43.66 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 0,1172 secondes

2025-02-13 22:48:43.70 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
2025-02-13 22:48:43.79 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 0,0938 secondes

2025-02-13 22:48:43.83 | vgervais | APP_v5.P.3.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 0,3125 secondes

2025-02-13 22:48:43.86 | vgervais | APP_v5.P.3.xlsb | modStatsHeures:Stats_Heures_AF |  | 
