2025-02-16 09:11:49.66 | User | APP_v6.A.xlsb | ----- Début d'une nouvelle session (modAppli:CodeEssentielDepart) ----- |  | 
2025-02-16 09:11:49.75 | User | APP_v6.A.xlsb | Validation d'accès serveur terminée |  | 0,0117 secondes

2025-02-16 09:11:49.80 | User | APP_v6.A.xlsb | modAppli:CreateUserActiveFile |  | 
2025-02-16 09:11:49.92 | User | APP_v6.A.xlsb | modAppli:CreateUserActiveFile |  | 0,1836 secondes

2025-02-16 09:11:50.03 | User | APP_v6.A.xlsb | modAppli:SetupUserDateFormat |  | 
2025-02-16 09:11:50.14 | User | APP_v6.A.xlsb | modAppli:SetupUserDateFormat |  | 0,1133 secondes

2025-02-16 09:11:50.18 | User | APP_v6.A.xlsb | modAppli:BackupMasterFile |  | 
2025-02-16 09:11:50.68 | User | APP_v6.A.xlsb | modAppli:BackupMasterFile |  | 0,5000 secondes

2025-02-16 09:11:50.72 | User | APP_v6.A.xlsb | modAppli:WriteInfoOnMainMenu |  | 
2025-02-16 09:11:50.77 | User | APP_v6.A.xlsb | modAppli:WriteInfoOnMainMenu |  | 0,0586 secondes

2025-02-16 09:11:50.81 | User | APP_v6.A.xlsb | modMenu:HideDevShapesBasedOnUsername |  | 
2025-02-16 09:11:50.86 | User | APP_v6.A.xlsb | modMenu:HideDevShapesBasedOnUsername |  | 0,0469 secondes

2025-02-16 09:11:50.95 | User | APP_v6.A.xlsb | modAppli:CodeEssentielDepart |  | 1,2891 secondes

2025-02-16 09:12:24.43 | User | APP_v6.A.xlsb | modMenu:menuComptabilité |  | 
2025-02-16 09:12:24.56 | User | APP_v6.A.xlsb | modMenu:menuComptabilité |  | 0,1367 secondes

2025-02-16 09:12:27.10 | User | APP_v6.A.xlsb | wshENC_Saisie:Worksheet_Activate |  | 
2025-02-16 09:12:27.14 | User | APP_v6.A.xlsb | modImport:Client_List_Import_All |  | 
2025-02-16 09:12:27.90 | User | APP_v6.A.xlsb | modImport:ResizeTable |  | 
2025-02-16 09:12:27.95 | User | APP_v6.A.xlsb | modImport:ResizeTable |  | 0,0469 secondes

2025-02-16 09:12:27.98 | User | APP_v6.A.xlsb | modImport:ApplyFormatting |  | 
2025-02-16 09:12:28.04 | User | APP_v6.A.xlsb | modImport:ApplyFormatting |  | 0,0586 secondes

2025-02-16 09:12:28.12 | User | APP_v6.A.xlsb | modImport:Client_List_Import_All |  | 0,9805 secondes

2025-02-16 09:12:28.16 | User | APP_v6.A.xlsb | modImport:FAC_Comptes_Clients_Import_All |  | 
2025-02-16 09:12:28.76 | User | APP_v6.A.xlsb | modImport:FAC_Comptes_Clients_Import_All |  | 0,6016 secondes

2025-02-16 09:12:28.80 | User | APP_v6.A.xlsb | modImport:FAC_Détails_Import_All |  | 
2025-02-16 09:12:29.72 | User | APP_v6.A.xlsb | modImport:FAC_Détails_Import_All |  | 0,9258 secondes

2025-02-16 09:12:29.76 | User | APP_v6.A.xlsb | modImport:FAC_Entête_Import_All |  | 
2025-02-16 09:12:30.25 | User | APP_v6.A.xlsb | modImport:FAC_Entête_Import_All |  | 0,5039 secondes

2025-02-16 09:12:30.30 | User | APP_v6.A.xlsb | modImport:ENC_Détails_Import_All |  | 
2025-02-16 09:12:30.81 | User | APP_v6.A.xlsb | modImport:ENC_Détails_Import_All |  | 0,5195 secondes

2025-02-16 09:12:30.85 | User | APP_v6.A.xlsb | modImport:ENC_Entête_Import_All |  | 
2025-02-16 09:12:31.35 | User | APP_v6.A.xlsb | modImport:ENC_Entête_Import_All |  | 0,5000 secondes

2025-02-16 09:12:31.39 | User | APP_v6.A.xlsb | modImport:GL_Trans_Import_All |  | 
2025-02-16 09:12:32.55 | User | APP_v6.A.xlsb | modImport:GL_Trans_Import_All |  | 1,1641 secondes

2025-02-16 09:12:32.65 | User | APP_v6.A.xlsb | modDev_Utils:SetTabOrder | wshENC_Saisie | 
2025-02-16 09:12:32.71 | User | APP_v6.A.xlsb | modDev_Utils:SetTabOrder |  | 0,0586 secondes

2025-02-16 09:12:32.75 | User | APP_v6.A.xlsb | modENC_Saisie:ENC_Remove_Check_Boxes |  | 
2025-02-16 09:12:32.80 | User | APP_v6.A.xlsb | modENC_Saisie:ENC_Remove_Check_Boxes |  | 0,0547 secondes

2025-02-16 09:12:33.09 | User | APP_v6.A.xlsb | modFunctions:Fn_Complete_Date | 16-02-2025, 30, 0 | 
2025-02-16 09:12:33.13 | User | APP_v6.A.xlsb | modFunctions:Fn_Complete_Date |  | 0,0508 secondes

2025-02-16 09:12:33.26 | User | APP_v6.A.xlsb | wshENC_Saisie:Worksheet_Activate |  | 6,1641 secondes

2025-02-16 09:12:49.39 | User | APP_v6.A.xlsb | modENC_Saisie:ENC_Remove_Check_Boxes |  | 
2025-02-16 09:12:49.46 | User | APP_v6.A.xlsb | modENC_Saisie:ENC_Remove_Check_Boxes |  | 0,0664 secondes

2025-02-16 09:12:49.52 | User | APP_v6.A.xlsb | modENC_Saisie:ENC_Get_OS_Invoices |  | 
2025-02-16 09:12:49.66 | User | APP_v6.A.xlsb | modENC_Saisie:ENC_Get_OS_Invoices_With_AF |  | 
