2025-02-19 07:51:01.22 | vgervais | APP_v6.A.xlsb | ----- Début d'une nouvelle session (modAppli:CodeEssentielDepart) ----- |  | 
2025-02-19 07:51:01.27 | vgervais | APP_v6.A.xlsb | Validation d'accès serveur terminée |  | 0,0039 secondes

2025-02-19 07:51:01.30 | vgervais | APP_v6.A.xlsb | modAppli:CreateUserActiveFile |  | 
2025-02-19 07:51:01.37 | vgervais | APP_v6.A.xlsb | modAppli:CreateUserActiveFile |  | 0,0684 secondes

2025-02-19 07:51:01.40 | vgervais | APP_v6.A.xlsb | modAppli:SetupUserDateFormat |  | 
2025-02-19 07:51:01.43 | vgervais | APP_v6.A.xlsb | modAppli:SetupUserDateFormat |  | 0,0391 secondes

2025-02-19 07:51:01.47 | vgervais | APP_v6.A.xlsb | modAppli:BackupMasterFile |  | 
2025-02-19 07:51:01.77 | vgervais | APP_v6.A.xlsb | modAppli:BackupMasterFile |  | 0,3066 secondes

2025-02-19 07:51:01.80 | vgervais | APP_v6.A.xlsb | modAppli:WriteInfoOnMainMenu |  | 
2025-02-19 07:51:01.86 | vgervais | APP_v6.A.xlsb | modAppli:WriteInfoOnMainMenu |  | 0,0547 secondes

2025-02-19 07:51:01.89 | vgervais | APP_v6.A.xlsb | modMenu:HideDevShapesBasedOnUsername |  | 
2025-02-19 07:51:01.93 | vgervais | APP_v6.A.xlsb | modMenu:HideDevShapesBasedOnUsername |  | 0,0410 secondes

2025-02-19 07:51:01.97 | vgervais | APP_v6.A.xlsb | modAppli:CodeEssentielDepart |  | 0,7539 secondes

2025-02-19 07:51:08.20 | vgervais | APP_v6.A.xlsb | modMenu:menuTEC_Click |  | 
2025-02-19 07:51:08.26 | vgervais | APP_v6.A.xlsb | modMenu:menuTEC_Click |  | 0,0664 secondes

2025-02-19 07:51:09.14 | vgervais | APP_v6.A.xlsb | modMENU_TEC:SaisieHeures_Click |  | 
2025-02-19 07:51:09.20 | vgervais | APP_v6.A.xlsb | modMENU_TEC:SaisieHeures_Click |  | 0,0684 secondes

2025-02-19 07:51:09.26 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:UserForm_Activate |  | 
2025-02-19 07:51:09.29 | vgervais | APP_v6.A.xlsb | modImport:Client_List_Import_All |  | 
2025-02-19 07:51:09.59 | vgervais | APP_v6.A.xlsb | modImport:ResizeTable |  | 
2025-02-19 07:51:09.62 | vgervais | APP_v6.A.xlsb | modImport:ResizeTable |  | 0,0410 secondes

2025-02-19 07:51:09.66 | vgervais | APP_v6.A.xlsb | modImport:ApplyFormatting |  | 
2025-02-19 07:51:09.69 | vgervais | APP_v6.A.xlsb | modImport:ApplyFormatting |  | 0,0352 secondes

2025-02-19 07:51:09.79 | vgervais | APP_v6.A.xlsb | modImport:Client_List_Import_All |  | 0,4941 secondes

2025-02-19 07:51:09.82 | vgervais | APP_v6.A.xlsb | modImport:TEC_Import_All |  | 
2025-02-19 07:51:10.25 | vgervais | APP_v6.A.xlsb | modImport:TEC_Import_All |  | 0,4375 secondes

2025-02-19 07:51:10.29 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:UserForm_Activate |  | 1,0391 secondes

2025-02-19 07:51:12.16 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 
2025-02-19 07:51:12.21 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 0,0508 secondes

2025-02-19 07:51:16.17 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtClient_AfterUpdate | au | 
2025-02-19 07:51:16.21 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtClient_AfterUpdate |  | 0,0449 secondes

2025-02-19 07:51:16.61 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:lstboxNomClient_DblClick |  | 
2025-02-19 07:51:16.68 | vgervais | APP_v6.A.xlsb | modFunctions:Fn_Cell_From_BD_Client | z_Administratif_Autres non chargeables | 
2025-02-19 07:51:16.71 | vgervais | APP_v6.A.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0371 secondes

2025-02-19 07:51:16.74 | vgervais | APP_v6.A.xlsb | modFunctions:Fn_Cell_From_BD_Client | 5 | 
2025-02-19 07:51:16.78 | vgervais | APP_v6.A.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0410 secondes

2025-02-19 07:51:16.81 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:lstboxNomClient_DblClick |  | 0,2051 secondes

2025-02-19 07:51:16.85 | vgervais | APP_v6.A.xlsb | modFunctions:Fn_Cell_From_BD_Client | z_Administratif_Autres non chargeables | 
2025-02-19 07:51:16.88 | vgervais | APP_v6.A.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0410 secondes

2025-02-19 07:51:16.92 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtClient_AfterUpdate | z_Administratif_Autres non chargeables | 
2025-02-19 07:51:16.97 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtClient_AfterUpdate |  | 0,0566 secondes

2025-02-19 07:51:18.89 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 
2025-02-19 07:51:18.93 | vgervais | APP_v6.A.xlsb | modFunctions:Fn_Complete_Date | 19-02-2025, 600, 15 | 
2025-02-19 07:51:18.96 | vgervais | APP_v6.A.xlsb | modFunctions:Fn_Complete_Date |  | 0,0410 secondes

2025-02-19 07:51:18.00 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 0,1172 secondes

2025-02-19 07:51:19.03 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtDate_AfterUpdate |  | 
2025-02-19 07:51:19.07 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 2/19-02-2025 | 
2025-02-19 07:51:19.16 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF |  | 0,0977 secondes

2025-02-19 07:51:19.20 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 2/19-02-2025 | 
2025-02-19 07:51:19.24 | vgervais | APP_v6.A.xlsb | wshTEC_TDB_Data:Worksheet_Change | $U$7 | 
2025-02-19 07:51:19.28 | vgervais | APP_v6.A.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-02-19 07:51:19.31 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-02-19 07:51:19.43 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 0,1211 secondes

2025-02-19 07:51:19.48 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
2025-02-19 07:51:19.57 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 0,0957 secondes

2025-02-19 07:51:19.60 | vgervais | APP_v6.A.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 0,3281 secondes

2025-02-19 07:51:19.65 | vgervais | APP_v6.A.xlsb | modStatsHeures:Stats_Heures_AF |  | 
2025-02-19 07:51:19.77 | vgervais | APP_v6.A.xlsb | modStatsHeures:Stats_Heures_AF |  | 0,1230 secondes

2025-02-19 07:51:19.81 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:UpdatePivotTables |  | 
2025-02-19 07:51:19.86 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:UpdatePivotTables |  | 0,0625 secondes

2025-02-19 07:51:19.90 | vgervais | APP_v6.A.xlsb | wshTEC_TDB_Data:Worksheet_Change |  | 0,6641 secondes

2025-02-19 07:51:19.98 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 2/19-02-2025 | 0,7891 secondes

2025-02-19 07:51:20.02 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtDate_AfterUpdate |  | 0,9941 secondes

2025-02-19 07:51:28.26 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | .6 | 
2025-02-19 07:51:28.32 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtHeures_AfterUpdate |  | 0,0566 secondes

2025-02-19 07:51:28.36 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtHeures_Exit | 0,60 | 
2025-02-19 07:51:28.40 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtHeures_Exit |  | 0,0430 secondes

2025-02-19 07:51:51.84 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtActivite_AfterUpdate | Suivis de dossier + Planning | 
2025-02-19 07:51:51.89 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtActivite_AfterUpdate |  | 0,0547 secondes

2025-02-19 07:51:51.93 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:chbFacturable_AfterUpdate |  | 
2025-02-19 07:51:51.97 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:chbFacturable_AfterUpdate |  | 0,0430 secondes

2025-02-19 07:51:52.92 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:cmdAdd_Click |  | 
2025-02-19 07:51:52.96 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne |  | 
2025-02-19 07:51:52.00 | vgervais | APP_v6.A.xlsb | modFunctions:Fn_Cell_From_BD_Client | z_Administratif_Autres non chargeables | 
2025-02-19 07:51:53.03 | vgervais | APP_v6.A.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0410 secondes

2025-02-19 07:51:53.07 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 0 | 
2025-02-19 07:51:53.73 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 0 | 0,6621 secondes

2025-02-19 07:51:53.77 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 0 | 
2025-02-19 07:51:53.85 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 0 | 0,0977 secondes

2025-02-19 07:51:53.90 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 2/2025-02-19 | 
2025-02-19 07:51:53.98 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF |  | 0,0859 secondes

2025-02-19 07:51:54.02 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 2/2025-02-19 | 
2025-02-19 07:51:54.06 | vgervais | APP_v6.A.xlsb | wshTEC_TDB_Data:Worksheet_Change | $U$7 | 
2025-02-19 07:51:54.09 | vgervais | APP_v6.A.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-02-19 07:51:54.13 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-02-19 07:51:54.24 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 0,1191 secondes

2025-02-19 07:51:54.29 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
2025-02-19 07:51:54.38 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 0,0957 secondes

2025-02-19 07:51:54.41 | vgervais | APP_v6.A.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 0,3242 secondes

2025-02-19 07:51:54.45 | vgervais | APP_v6.A.xlsb | modStatsHeures:Stats_Heures_AF |  | 
2025-02-19 07:51:54.56 | vgervais | APP_v6.A.xlsb | modStatsHeures:Stats_Heures_AF |  | 0,1211 secondes

2025-02-19 07:51:54.60 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:UpdatePivotTables |  | 
2025-02-19 07:51:54.65 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:UpdatePivotTables |  | 0,0547 secondes

2025-02-19 07:51:54.69 | vgervais | APP_v6.A.xlsb | wshTEC_TDB_Data:Worksheet_Change |  | 0,6367 secondes

2025-02-19 07:51:54.78 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 2/2025-02-19 | 0,7637 secondes

2025-02-19 07:51:54.81 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne |  | 1,8555 secondes

2025-02-19 07:51:54.85 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:cmdAdd_Click |  | 1,9297 secondes

2025-02-19 07:52:00.83 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 
2025-02-19 07:52:00.87 | vgervais | APP_v6.A.xlsb | modFunctions:Fn_Complete_Date | 2025-02-18, 600, 15 | 
2025-02-19 07:52:00.91 | vgervais | APP_v6.A.xlsb | modFunctions:Fn_Complete_Date |  | 0,0410 secondes

2025-02-19 07:52:00.95 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 0,1211 secondes

2025-02-19 07:52:00.98 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtDate_AfterUpdate |  | 
2025-02-19 07:52:01.02 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 2/18-02-2025 | 
2025-02-19 07:52:01.10 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF |  | 0,0859 secondes

2025-02-19 07:52:01.14 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 2/18-02-2025 | 
2025-02-19 07:52:01.19 | vgervais | APP_v6.A.xlsb | wshTEC_TDB_Data:Worksheet_Change | $U$7 | 
2025-02-19 07:52:01.23 | vgervais | APP_v6.A.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-02-19 07:52:01.27 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-02-19 07:52:01.38 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 0,1133 secondes

2025-02-19 07:52:01.42 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
2025-02-19 07:52:01.52 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 0,1016 secondes

2025-02-19 07:52:01.56 | vgervais | APP_v6.A.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 0,3281 secondes

2025-02-19 07:52:01.59 | vgervais | APP_v6.A.xlsb | modStatsHeures:Stats_Heures_AF |  | 
2025-02-19 07:52:01.69 | vgervais | APP_v6.A.xlsb | modStatsHeures:Stats_Heures_AF |  | 0,1016 secondes

2025-02-19 07:52:01.72 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:UpdatePivotTables |  | 
2025-02-19 07:52:01.78 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:UpdatePivotTables |  | 0,0566 secondes

2025-02-19 07:52:01.81 | vgervais | APP_v6.A.xlsb | wshTEC_TDB_Data:Worksheet_Change |  | 0,6250 secondes

2025-02-19 07:52:01.92 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 2/18-02-2025 | 0,7871 secondes

2025-02-19 07:52:01.96 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtDate_AfterUpdate |  | 0,9941 secondes

2025-02-19 07:52:05.82 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:lsbHresJour_dblClick | 1 | 
2025-02-19 07:52:05.87 | vgervais | APP_v6.A.xlsb | modFunctions:Fn_Find_Row_Number_TECID |  | 
2025-02-19 07:52:05.92 | vgervais | APP_v6.A.xlsb | modFunctions:Fn_Find_Row_Number_TECID - Row # = 4187 | -1 | 
2025-02-19 07:52:05.95 | vgervais | APP_v6.A.xlsb | modFunctions:Fn_Find_Row_Number_TECID |  | 0,0859 secondes

2025-02-19 07:52:06.02 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:lsbHresJour_dblClick[4188] |  | 0,1973 secondes

2025-02-19 07:52:07.52 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtClient_AfterUpdate | z_Administratif_Autres non chargeables | 
2025-02-19 07:52:07.56 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtClient_AfterUpdate |  | 0,0469 secondes

2025-02-19 07:52:18.29 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtActivite_AfterUpdate | Suivis/dossiers/planning/ télécharger logiciel + suivi engagement (discussion Olivier + Discussion Guillaume + souper Olivier  | 
2025-02-19 07:52:18.35 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtActivite_AfterUpdate |  | 0,0586 secondes

2025-02-19 07:52:20.21 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | 4.4 | 
2025-02-19 07:52:20.26 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtHeures_AfterUpdate |  | 0,0469 secondes

2025-02-19 07:52:20.29 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtHeures_Exit | 4,40 | 
2025-02-19 07:52:20.33 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtHeures_Exit |  | 0,0391 secondes

2025-02-19 07:52:21.35 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:cmdUpdate_Click | 4188 | 
2025-02-19 07:52:21.39 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Modifie_Ligne |  | 
2025-02-19 07:52:21.43 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 4188 | 
2025-02-19 07:52:22.10 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 4188 | 0,6680 secondes

2025-02-19 07:52:22.13 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 4188 | 
2025-02-19 07:52:22.17 | vgervais | APP_v6.A.xlsb | modFunctions:Fn_Find_Row_Number_TECID |  | 
2025-02-19 07:52:22.22 | vgervais | APP_v6.A.xlsb | modFunctions:Fn_Find_Row_Number_TECID - Row # = 4187 | -1 | 
2025-02-19 07:52:22.26 | vgervais | APP_v6.A.xlsb | modFunctions:Fn_Find_Row_Number_TECID |  | 0,0938 secondes

2025-02-19 07:52:22.33 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 4188 | 0,1953 secondes

2025-02-19 07:52:22.36 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 2/18-02-2025 | 
2025-02-19 07:52:22.45 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF |  | 0,0918 secondes

2025-02-19 07:52:22.49 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 2/18-02-2025 | 
2025-02-19 07:52:22.54 | vgervais | APP_v6.A.xlsb | wshTEC_TDB_Data:Worksheet_Change | $U$7 | 
2025-02-19 07:52:22.58 | vgervais | APP_v6.A.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-02-19 07:52:22.61 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-02-19 07:52:22.72 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 0,1152 secondes

2025-02-19 07:52:22.77 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
2025-02-19 07:52:22.85 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 0,0918 secondes

2025-02-19 07:52:22.89 | vgervais | APP_v6.A.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 0,3281 secondes

2025-02-19 07:52:22.94 | vgervais | APP_v6.A.xlsb | modStatsHeures:Stats_Heures_AF |  | 
2025-02-19 07:52:23.03 | vgervais | APP_v6.A.xlsb | modStatsHeures:Stats_Heures_AF |  | 0,0977 secondes

2025-02-19 07:52:23.09 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:UpdatePivotTables |  | 
2025-02-19 07:52:23.15 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:UpdatePivotTables |  | 0,0625 secondes

2025-02-19 07:52:23.20 | vgervais | APP_v6.A.xlsb | wshTEC_TDB_Data:Worksheet_Change |  | 0,6660 secondes

2025-02-19 07:52:23.32 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 2/18-02-2025 | 0,8301 secondes

2025-02-19 07:52:23.35 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Modifie_Ligne |  | 1,9629 secondes

2025-02-19 07:52:23.39 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:cmdUpdate_Click |  | 2,0410 secondes

2025-02-19 07:52:40.89 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 
2025-02-19 07:52:40.94 | vgervais | APP_v6.A.xlsb | modFunctions:Fn_Complete_Date | 2025-02-19, 600, 15 | 
2025-02-19 07:52:40.98 | vgervais | APP_v6.A.xlsb | modFunctions:Fn_Complete_Date |  | 0,0449 secondes

2025-02-19 07:52:41.01 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 0,1328 secondes

2025-02-19 07:52:41.05 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtDate_AfterUpdate |  | 
2025-02-19 07:52:41.09 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 2/19-02-2025 | 
2025-02-19 07:52:41.17 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF |  | 0,0898 secondes

2025-02-19 07:52:41.21 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 2/19-02-2025 | 
2025-02-19 07:52:41.25 | vgervais | APP_v6.A.xlsb | wshTEC_TDB_Data:Worksheet_Change | $U$7 | 
2025-02-19 07:52:41.29 | vgervais | APP_v6.A.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-02-19 07:52:41.32 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-02-19 07:52:41.43 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 0,1113 secondes

2025-02-19 07:52:41.48 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
2025-02-19 07:52:41.57 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 0,0957 secondes

