2025-02-20 06:25:56.35 | Guillaume | APP_v6.A.1.xlsb | ----- Début d'une nouvelle session (modAppli:CodeEssentielDepart) ----- |  | 
2025-02-20 06:25:57.27 | Guillaume | APP_v6.A.1.xlsb | Validation d'accès serveur terminée |  | 0,5996 secondes

2025-02-20 06:25:58.12 | Guillaume | APP_v6.A.1.xlsb | modAppli:CreateUserActiveFile |  | 
2025-02-20 06:25:59.79 | Guillaume | APP_v6.A.1.xlsb | modAppli:CreateUserActiveFile |  | 2,2207 secondes

2025-02-20 06:26:00.60 | Guillaume | APP_v6.A.1.xlsb | modAppli:SetupUserDateFormat |  | 
2025-02-20 06:26:01.49 | Guillaume | APP_v6.A.1.xlsb | modAppli:SetupUserDateFormat |  | 1,4863 secondes

2025-02-20 06:26:02.33 | Guillaume | APP_v6.A.1.xlsb | modAppli:BackupMasterFile |  | 
2025-02-20 06:26:08.97 | Guillaume | APP_v6.A.1.xlsb | modAppli:BackupMasterFile |  | 7,3027 secondes

2025-02-20 06:26:09.91 | Guillaume | APP_v6.A.1.xlsb | modAppli:WriteInfoOnMainMenu |  | 
2025-02-20 06:26:10.73 | Guillaume | APP_v6.A.1.xlsb | modAppli:WriteInfoOnMainMenu |  | 1,4453 secondes

2025-02-20 06:26:11.66 | Guillaume | APP_v6.A.1.xlsb | modMenu:HideDevShapesBasedOnUsername |  | 
2025-02-20 06:26:12.46 | Guillaume | APP_v6.A.1.xlsb | modMenu:HideDevShapesBasedOnUsername |  | 1,3594 secondes

2025-02-20 06:26:13.33 | Guillaume | APP_v6.A.1.xlsb | modAppli:CodeEssentielDepart |  | 17,5312 secondes

2025-02-20 06:31:18.19 | Guillaume | APP_v6.A.1.xlsb | modMenu:menuTEC_Click |  | 
2025-02-20 06:31:19.19 | Guillaume | APP_v6.A.1.xlsb | modMenu:menuTEC_Click |  | 1,5586 secondes

2025-02-20 06:31:20.60 | Guillaume | APP_v6.A.1.xlsb | modMENU_TEC:SaisieHeures_Click |  | 
2025-02-20 06:31:21.46 | Guillaume | APP_v6.A.1.xlsb | modMENU_TEC:SaisieHeures_Click |  | 1,4199 secondes

2025-02-20 06:31:22.31 | Guillaume | APP_v6.A.1.xlsb | ufSaisieHeures:UserForm_Activate |  | 
2025-02-20 06:31:23.10 | Guillaume | APP_v6.A.1.xlsb | modImport:Client_List_Import_All |  | 
2025-02-20 06:31:27.24 | Guillaume | APP_v6.A.1.xlsb | modImport:ResizeTable |  | 
2025-02-20 06:31:28.13 | Guillaume | APP_v6.A.1.xlsb | modImport:ResizeTable |  | 1,4297 secondes

2025-02-20 06:31:28.92 | Guillaume | APP_v6.A.1.xlsb | modImport:ApplyFormatting |  | 
2025-02-20 06:31:29.75 | Guillaume | APP_v6.A.1.xlsb | modImport:ApplyFormatting |  | 1,3535 secondes

2025-02-20 06:31:30.57 | Guillaume | APP_v6.A.1.xlsb | modImport:Client_List_Import_All |  | 8,0605 secondes

2025-02-20 06:31:31.42 | Guillaume | APP_v6.A.1.xlsb | modImport:TEC_Import_All |  | 
2025-02-20 06:31:37.13 | Guillaume | APP_v6.A.1.xlsb | modImport:TEC_Import_All |  | 6,5254 secondes

2025-02-20 06:31:38.29 | Guillaume | APP_v6.A.1.xlsb | ufSaisieHeures:UserForm_Activate |  | 16,5859 secondes

2025-02-20 06:31:45.27 | Guillaume | APP_v6.A.1.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 
2025-02-20 06:31:46.17 | Guillaume | APP_v6.A.1.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 1,4922 secondes

2025-02-20 06:31:47.51 | Guillaume | APP_v6.A.1.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 
2025-02-20 06:31:48.38 | Guillaume | APP_v6.A.1.xlsb | modFunctions:Fn_Complete_Date | 20-02-25, 600, 15 | 
2025-02-20 06:31:50.92 | Guillaume | APP_v6.A.1.xlsb | modFunctions:Fn_Complete_Date |  | 3,1074 secondes

2025-02-20 06:31:53.96 | Guillaume | APP_v6.A.1.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 
2025-02-20 06:31:54.81 | Guillaume | APP_v6.A.1.xlsb | modFunctions:Fn_Complete_Date | 20-02-25, 600, 15 | 
2025-02-20 06:32:02.22 | Guillaume | APP_v6.A.1.xlsb | modFunctions:Fn_Complete_Date |  | 8,0293 secondes

2025-02-20 06:32:12.23 | Guillaume | APP_v6.A.1.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 
2025-02-20 06:32:13.03 | Guillaume | APP_v6.A.1.xlsb | modFunctions:Fn_Complete_Date | 20/02/2025, 600, 15 | 
2025-02-20 06:32:13.89 | Guillaume | APP_v6.A.1.xlsb | modFunctions:Fn_Complete_Date |  | 1,3867 secondes

2025-02-20 06:32:14.70 | Guillaume | APP_v6.A.1.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 2,9941 secondes

2025-02-20 06:32:15.96 | Guillaume | APP_v6.A.1.xlsb | ufSaisieHeures:txtDate_AfterUpdate |  | 
2025-02-20 06:32:16.89 | Guillaume | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 1/25-02-20 | 
2025-02-20 06:32:17.88 | Guillaume | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF |  | 1,5371 secondes

2025-02-20 06:32:18.73 | Guillaume | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 1/25-02-20 | 
2025-02-20 06:32:19.55 | Guillaume | APP_v6.A.1.xlsb | wshTEC_TDB_Data:Worksheet_Change | $U$7 | 
2025-02-20 06:32:20.34 | Guillaume | APP_v6.A.1.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-02-20 06:32:21.15 | Guillaume | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-02-20 06:32:22.17 | Guillaume | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 1,5605 secondes

2025-02-20 06:32:22.96 | Guillaume | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
2025-02-20 06:32:23.80 | Guillaume | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 1,4199 secondes

