2025-02-21 07:49:51.39 | vgervais | APP_v6.A.1.xlsb | modMenu:menuTEC_Click |  | 
2025-02-21 07:49:51.49 | vgervais | APP_v6.A.1.xlsb | modMenu:menuTEC_Click |  | 0,0977 secondes

2025-02-21 07:49:55.35 | vgervais | APP_v6.A.1.xlsb | modMENU_TEC:SaisieHeures_Click |  | 
2025-02-21 07:49:55.42 | vgervais | APP_v6.A.1.xlsb | modMENU_TEC:SaisieHeures_Click |  | 0,0742 secondes

2025-02-21 07:49:55.47 | vgervais | APP_v6.A.1.xlsb | ufSaisieHeures:UserForm_Activate |  | 
2025-02-21 07:49:55.52 | vgervais | APP_v6.A.1.xlsb | modImport:Client_List_Import_All |  | 
2025-02-21 07:49:55.84 | vgervais | APP_v6.A.1.xlsb | modImport:ResizeTable |  | 
2025-02-21 07:49:55.90 | vgervais | APP_v6.A.1.xlsb | modImport:ResizeTable |  | 0,0625 secondes

2025-02-21 07:49:55.95 | vgervais | APP_v6.A.1.xlsb | modImport:ApplyFormatting |  | 
2025-02-21 07:49:56.02 | vgervais | APP_v6.A.1.xlsb | modImport:ApplyFormatting |  | 0,0703 secondes

2025-02-21 07:49:56.12 | vgervais | APP_v6.A.1.xlsb | modImport:Client_List_Import_All |  | 0,6055 secondes

2025-02-21 07:49:56.16 | vgervais | APP_v6.A.1.xlsb | modImport:TEC_Import_All |  | 
2025-02-21 07:49:56.77 | vgervais | APP_v6.A.1.xlsb | modImport:TEC_Import_All |  | 0,6172 secondes

2025-02-21 07:49:56.81 | vgervais | APP_v6.A.1.xlsb | ufSaisieHeures:UserForm_Activate |  | 1,3477 secondes

2025-02-21 07:51:15.60 | GuillaumeCharron | APP_v6.A.1.xlsb | ----- Début d'une nouvelle session (modAppli:CodeEssentielDepart) ----- |  | 
2025-02-21 07:51:15.63 | GuillaumeCharron | APP_v6.A.1.xlsb | Validation d'accès serveur terminée |  | 0,0059 secondes

2025-02-21 07:51:15.65 | GuillaumeCharron | APP_v6.A.1.xlsb | modAppli:CreateUserActiveFile |  | 
2025-02-21 07:51:15.70 | GuillaumeCharron | APP_v6.A.1.xlsb | modAppli:CreateUserActiveFile |  | 0,0605 secondes

2025-02-21 07:51:15.72 | GuillaumeCharron | APP_v6.A.1.xlsb | modAppli:SetupUserDateFormat |  | 
2025-02-21 07:51:15.75 | GuillaumeCharron | APP_v6.A.1.xlsb | modAppli:SetupUserDateFormat |  | 0,0332 secondes

