2025-02-24 22:38:20.35 | vgervais | APP_v6.A.2.xlsb | ----- Début d'une nouvelle session (modAppli:CodeEssentielDepart) ----- |  | 
2025-02-24 22:38:20.41 | vgervais | APP_v6.A.2.xlsb | Validation d'accès serveur terminée |  | 0,0078 secondes

2025-02-24 22:38:20.45 | vgervais | APP_v6.A.2.xlsb | modAppli:CreateUserActiveFile |  | 
2025-02-24 22:38:20.53 | vgervais | APP_v6.A.2.xlsb | modAppli:CreateUserActiveFile |  | 0,0781 secondes

2025-02-24 22:38:20.57 | vgervais | APP_v6.A.2.xlsb | modAppli:SetupUserDateFormat |  | 
2025-02-24 22:38:20.61 | vgervais | APP_v6.A.2.xlsb | modAppli:SetupUserDateFormat |  | 0,0469 secondes

2025-02-24 22:38:20.65 | vgervais | APP_v6.A.2.xlsb | modAppli:BackupMasterFile |  | 
2025-02-24 22:38:21.01 | vgervais | APP_v6.A.2.xlsb | modAppli:BackupMasterFile |  | 0,3594 secondes

2025-02-24 22:38:21.05 | vgervais | APP_v6.A.2.xlsb | modAppli:WriteInfoOnMainMenu |  | 
2025-02-24 22:38:21.11 | vgervais | APP_v6.A.2.xlsb | modAppli:WriteInfoOnMainMenu |  | 0,0625 secondes

2025-02-24 22:38:21.16 | vgervais | APP_v6.A.2.xlsb | modMenu:HideDevShapesBasedOnUsername |  | 
2025-02-24 22:38:21.19 | vgervais | APP_v6.A.2.xlsb | modMenu:HideDevShapesBasedOnUsername |  | 0,0391 secondes

2025-02-24 22:38:21.23 | vgervais | APP_v6.A.2.xlsb | modAppli:CodeEssentielDepart |  | 0,8906 secondes

2025-02-24 22:38:21.69 | vgervais | APP_v6.A.2.xlsb | modMenu:menuTEC_Click |  | 
2025-02-24 22:38:21.74 | vgervais | APP_v6.A.2.xlsb | modMenu:menuTEC_Click |  | 0,0625 secondes

2025-02-24 22:38:22.43 | vgervais | APP_v6.A.2.xlsb | modMENU_TEC:SaisieHeures_Click |  | 
2025-02-24 22:38:22.49 | vgervais | APP_v6.A.2.xlsb | modMENU_TEC:SaisieHeures_Click |  | 0,0703 secondes

2025-02-24 22:38:22.54 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:UserForm_Activate |  | 
2025-02-24 22:38:22.58 | vgervais | APP_v6.A.2.xlsb | modImport:Client_List_Import_All |  | 
2025-02-24 22:38:22.90 | vgervais | APP_v6.A.2.xlsb | modImport:ResizeTable |  | 
2025-02-24 22:38:22.94 | vgervais | APP_v6.A.2.xlsb | modImport:ResizeTable |  | 0,0469 secondes

